"Area","MTU","Biomass - Actual Aggregated [MW]","Energy storage - Actual Aggregated [MW]","Fossil Brown coal/Lignite - Actual Aggregated [MW]","Fossil Coal-derived gas - Actual Aggregated [MW]","Fossil Gas - Actual Aggregated [MW]","Fossil Hard coal - Actual Aggregated [MW]","Fossil Oil - Actual Aggregated [MW]","Fossil Oil shale - Actual Aggregated [MW]","Fossil Peat - Actual Aggregated [MW]","Geothermal - Actual Aggregated [MW]","Hydro Pumped Storage - Actual Aggregated [MW]","Hydro Pumped Storage - Actual Consumption [MW]","Hydro Run-of-river and poundage - Actual Aggregated [MW]","Hydro Water Reservoir - Actual Aggregated [MW]","Marine - Actual Aggregated [MW]","Nuclear - Actual Aggregated [MW]","Other - Actual Aggregated [MW]","Other renewable - Actual Aggregated [MW]","Solar - Actual Aggregated [MW]","Waste - Actual Aggregated [MW]","Wind Offshore - Actual Aggregated [MW]","Wind Onshore - Actual Aggregated [MW]"
"BZN|NO1","28.03.2025 00:00 - 28.03.2025 01:00 (CET/CEST)","0","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1315","676","n/e","n/e","n/e","n/e","0","1","n/e","369"
"BZN|NO1","28.03.2025 01:00 - 28.03.2025 02:00 (CET/CEST)","0","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1309","575","n/e","n/e","n/e","n/e","0","1","n/e","368"
"BZN|NO1","28.03.2025 02:00 - 28.03.2025 03:00 (CET/CEST)","0","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1302","415","n/e","n/e","n/e","n/e","0","1","n/e","378"
"BZN|NO1","28.03.2025 03:00 - 28.03.2025 04:00 (CET/CEST)","0","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1294","399","n/e","n/e","n/e","n/e","0","1","n/e","371"
"BZN|NO1","28.03.2025 04:00 - 28.03.2025 05:00 (CET/CEST)","0","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1297","557","n/e","n/e","n/e","n/e","0","1","n/e","370"
"BZN|NO1","28.03.2025 05:00 - 28.03.2025 06:00 (CET/CEST)","0","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1299","646","n/e","n/e","n/e","n/e","0","0","n/e","370"
"BZN|NO1","28.03.2025 06:00 - 28.03.2025 07:00 (CET/CEST)","0","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1317","766","n/e","n/e","n/e","n/e","1","1","n/e","372"
"BZN|NO1","28.03.2025 07:00 - 28.03.2025 08:00 (CET/CEST)","0","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1303","724","n/e","n/e","n/e","n/e","0","1","n/e","377"
"BZN|NO1","28.03.2025 08:00 - 28.03.2025 09:00 (CET/CEST)","0","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1299","731","n/e","n/e","n/e","n/e","2","1","n/e","377"
"BZN|NO1","28.03.2025 09:00 - 28.03.2025 10:00 (CET/CEST)","0","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1291","717","n/e","n/e","n/e","n/e","3","0","n/e","377"
"BZN|NO1","28.03.2025 10:00 - 28.03.2025 11:00 (CET/CEST)","0","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1277","490","n/e","n/e","n/e","n/e","5","1","n/e","366"
"BZN|NO1","28.03.2025 11:00 - 28.03.2025 12:00 (CET/CEST)","0","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1280","382","n/e","n/e","n/e","n/e","6","1","n/e","366"
"BZN|NO1","28.03.2025 12:00 - 28.03.2025 13:00 (CET/CEST)","0","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1286","317","n/e","n/e","n/e","n/e","5","1","n/e","368"
"BZN|NO1","28.03.2025 13:00 - 28.03.2025 14:00 (CET/CEST)","0","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1289","281","n/e","n/e","n/e","n/e","6","1","n/e","373"
"BZN|NO1","28.03.2025 14:00 - 28.03.2025 15:00 (CET/CEST)","0","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1291","505","n/e","n/e","n/e","n/e","5","1","n/e","371"
"BZN|NO1","28.03.2025 15:00 - 28.03.2025 16:00 (CET/CEST)","0","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1302","653","n/e","n/e","n/e","n/e","5","1","n/e","363"
"BZN|NO1","28.03.2025 16:00 - 28.03.2025 17:00 (CET/CEST)","0","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1314","672","n/e","n/e","n/e","n/e","4","1","n/e","369"
"BZN|NO1","28.03.2025 17:00 - 28.03.2025 18:00 (CET/CEST)","0","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1323","728","n/e","n/e","n/e","n/e","2","1","n/e","367"
"BZN|NO1","28.03.2025 18:00 - 28.03.2025 19:00 (CET/CEST)","0","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1333","764","n/e","n/e","n/e","n/e","0","1","n/e","346"
"BZN|NO1","28.03.2025 19:00 - 28.03.2025 20:00 (CET/CEST)","0","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1328","751","n/e","n/e","n/e","n/e","0","1","n/e","352"
"BZN|NO1","28.03.2025 20:00 - 28.03.2025 21:00 (CET/CEST)","0","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1330","738","n/e","n/e","n/e","n/e","0","0","n/e","355"
"BZN|NO1","28.03.2025 21:00 - 28.03.2025 22:00 (CET/CEST)","0","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1335","697","n/e","n/e","n/e","n/e","0","0","n/e","359"
"BZN|NO1","28.03.2025 22:00 - 28.03.2025 23:00 (CET/CEST)","0","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1336","617","n/e","n/e","n/e","n/e","0","0","n/e","355"
"BZN|NO1","28.03.2025 23:00 - 29.03.2025 00:00 (CET/CEST)","0","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1333","563","n/e","n/e","n/e","n/e","0","0","n/e","357"
