"Area","MTU","Biomass - Actual Aggregated [MW]","Energy storage - Actual Aggregated [MW]","Fossil Brown coal/Lignite - Actual Aggregated [MW]","Fossil Coal-derived gas - Actual Aggregated [MW]","Fossil Gas - Actual Aggregated [MW]","Fossil Hard coal - Actual Aggregated [MW]","Fossil Oil - Actual Aggregated [MW]","Fossil Oil shale - Actual Aggregated [MW]","Fossil Peat - Actual Aggregated [MW]","Geothermal - Actual Aggregated [MW]","Hydro Pumped Storage - Actual Aggregated [MW]","Hydro Pumped Storage - Actual Consumption [MW]","Hydro Run-of-river and poundage - Actual Aggregated [MW]","Hydro Water Reservoir - Actual Aggregated [MW]","Marine - Actual Aggregated [MW]","Nuclear - Actual Aggregated [MW]","Other - Actual Aggregated [MW]","Other renewable - Actual Aggregated [MW]","Solar - Actual Aggregated [MW]","Waste - Actual Aggregated [MW]","Wind Offshore - Actual Aggregated [MW]","Wind Onshore - Actual Aggregated [MW]"
"BZN|NO1","30.03.2025 00:00 - 30.03.2025 01:00 (CET/CEST)","0","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1305","716","n/e","n/e","n/e","n/e","0","0","n/e","152"
"BZN|NO1","30.03.2025 01:00 - 30.03.2025 02:00 (CET/CEST)","0","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1294","604","n/e","n/e","n/e","n/e","0","0","n/e","212"
"BZN|NO1","30.03.2025 02:00 - 30.03.2025 03:00 (CET/CEST)","","","","","","","","","","","","","","","","","","","","","",""
"BZN|NO1","30.03.2025 03:00 - 30.03.2025 04:00 (CET/CEST)","0","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1268","343","n/e","n/e","n/e","n/e","0","0","n/e","196"
"BZN|NO1","30.03.2025 04:00 - 30.03.2025 05:00 (CET/CEST)","0","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1277","375","n/e","n/e","n/e","n/e","0","0","n/e","172"
"BZN|NO1","30.03.2025 05:00 - 30.03.2025 06:00 (CET/CEST)","0","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1282","334","n/e","n/e","n/e","n/e","0","0","n/e","122"
"BZN|NO1","30.03.2025 06:00 - 30.03.2025 07:00 (CET/CEST)","0","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1275","363","n/e","n/e","n/e","n/e","1","0","n/e","132"
"BZN|NO1","30.03.2025 07:00 - 30.03.2025 08:00 (CET/CEST)","0","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1286","441","n/e","n/e","n/e","n/e","0","0","n/e","80"
"BZN|NO1","30.03.2025 08:00 - 30.03.2025 09:00 (CET/CEST)","0","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1277","379","n/e","n/e","n/e","n/e","1","0","n/e","62"
"BZN|NO1","30.03.2025 09:00 - 30.03.2025 10:00 (CET/CEST)","0","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1270","335","n/e","n/e","n/e","n/e","2","0","n/e","58"
