"Area","MTU","Biomass - Actual Aggregated [MW]","Energy storage - Actual Aggregated [MW]","Fossil Brown coal/Lignite - Actual Aggregated [MW]","Fossil Coal-derived gas - Actual Aggregated [MW]","Fossil Gas - Actual Aggregated [MW]","Fossil Hard coal - Actual Aggregated [MW]","Fossil Oil - Actual Aggregated [MW]","Fossil Oil shale - Actual Aggregated [MW]","Fossil Peat - Actual Aggregated [MW]","Geothermal - Actual Aggregated [MW]","Hydro Pumped Storage - Actual Aggregated [MW]","Hydro Pumped Storage - Actual Consumption [MW]","Hydro Run-of-river and poundage - Actual Aggregated [MW]","Hydro Water Reservoir - Actual Aggregated [MW]","Marine - Actual Aggregated [MW]","Nuclear - Actual Aggregated [MW]","Other - Actual Aggregated [MW]","Other renewable - Actual Aggregated [MW]","Solar - Actual Aggregated [MW]","Waste - Actual Aggregated [MW]","Wind Offshore - Actual Aggregated [MW]","Wind Onshore - Actual Aggregated [MW]"
"BZN|NO1","12.03.2025 00:00 - 12.03.2025 01:00 (CET/CEST)","0","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1503","977","n/e","n/e","n/e","n/e","0","5","n/e","82"
"BZN|NO1","12.03.2025 01:00 - 12.03.2025 02:00 (CET/CEST)","0","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1501","982","n/e","n/e","n/e","n/e","0","6","n/e","65"
"BZN|NO1","12.03.2025 02:00 - 12.03.2025 03:00 (CET/CEST)","0","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1496","966","n/e","n/e","n/e","n/e","0","7","n/e","62"
"BZN|NO1","12.03.2025 03:00 - 12.03.2025 04:00 (CET/CEST)","0","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1488","902","n/e","n/e","n/e","n/e","0","7","n/e","53"
"BZN|NO1","12.03.2025 04:00 - 12.03.2025 05:00 (CET/CEST)","0","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1487","893","n/e","n/e","n/e","n/e","0","6","n/e","40"
"BZN|NO1","12.03.2025 05:00 - 12.03.2025 06:00 (CET/CEST)","0","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1489","914","n/e","n/e","n/e","n/e","0","7","n/e","39"
"BZN|NO1","12.03.2025 06:00 - 12.03.2025 07:00 (CET/CEST)","0","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1508","982","n/e","n/e","n/e","n/e","0","7","n/e","33"
"BZN|NO1","12.03.2025 07:00 - 12.03.2025 08:00 (CET/CEST)","0","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1509","1041","n/e","n/e","n/e","n/e","0","6","n/e","27"
"BZN|NO1","12.03.2025 08:00 - 12.03.2025 09:00 (CET/CEST)","0","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1500","1116","n/e","n/e","n/e","n/e","1","5","n/e","22"
"BZN|NO1","12.03.2025 09:00 - 12.03.2025 10:00 (CET/CEST)","0","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1497","1099","n/e","n/e","n/e","n/e","2","5","n/e","18"
