"Area","MTU","Biomass - Actual Aggregated [MW]","Energy storage - Actual Aggregated [MW]","Fossil Brown coal/Lignite - Actual Aggregated [MW]","Fossil Coal-derived gas - Actual Aggregated [MW]","Fossil Gas - Actual Aggregated [MW]","Fossil Hard coal - Actual Aggregated [MW]","Fossil Oil - Actual Aggregated [MW]","Fossil Oil shale - Actual Aggregated [MW]","Fossil Peat - Actual Aggregated [MW]","Geothermal - Actual Aggregated [MW]","Hydro Pumped Storage - Actual Aggregated [MW]","Hydro Pumped Storage - Actual Consumption [MW]","Hydro Run-of-river and poundage - Actual Aggregated [MW]","Hydro Water Reservoir - Actual Aggregated [MW]","Marine - Actual Aggregated [MW]","Nuclear - Actual Aggregated [MW]","Other - Actual Aggregated [MW]","Other renewable - Actual Aggregated [MW]","Solar - Actual Aggregated [MW]","Waste - Actual Aggregated [MW]","Wind Offshore - Actual Aggregated [MW]","Wind Onshore - Actual Aggregated [MW]"
"BZN|NO1","13.03.2025 00:00 - 13.03.2025 01:00 (CET/CEST)","0","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1456","858","n/e","n/e","n/e","n/e","0","4","n/e","51"
"BZN|NO1","13.03.2025 01:00 - 13.03.2025 02:00 (CET/CEST)","0","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1452","849","n/e","n/e","n/e","n/e","0","4","n/e","44"
"BZN|NO1","13.03.2025 02:00 - 13.03.2025 03:00 (CET/CEST)","0","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1454","839","n/e","n/e","n/e","n/e","0","5","n/e","33"
"BZN|NO1","13.03.2025 03:00 - 13.03.2025 04:00 (CET/CEST)","0","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1447","842","n/e","n/e","n/e","n/e","0","6","n/e","31"
"BZN|NO1","13.03.2025 04:00 - 13.03.2025 05:00 (CET/CEST)","0","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1443","842","n/e","n/e","n/e","n/e","0","5","n/e","32"
"BZN|NO1","13.03.2025 05:00 - 13.03.2025 06:00 (CET/CEST)","0","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1444","895","n/e","n/e","n/e","n/e","0","5","n/e","31"
"BZN|NO1","13.03.2025 06:00 - 13.03.2025 07:00 (CET/CEST)","0","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1452","1068","n/e","n/e","n/e","n/e","0","6","n/e","26"
"BZN|NO1","13.03.2025 07:00 - 13.03.2025 08:00 (CET/CEST)","0","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1457","1100","n/e","n/e","n/e","n/e","0","5","n/e","23"
"BZN|NO1","13.03.2025 08:00 - 13.03.2025 09:00 (CET/CEST)","0","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1448","1079","n/e","n/e","n/e","n/e","2","4","n/e","20"
"BZN|NO1","13.03.2025 09:00 - 13.03.2025 10:00 (CET/CEST)","0","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1442","1075","n/e","n/e","n/e","n/e","3","5","n/e","12"
