"Area","MTU","Biomass - Actual Aggregated [MW]","Energy storage - Actual Aggregated [MW]","Fossil Brown coal/Lignite - Actual Aggregated [MW]","Fossil Coal-derived gas - Actual Aggregated [MW]","Fossil Gas - Actual Aggregated [MW]","Fossil Hard coal - Actual Aggregated [MW]","Fossil Oil - Actual Aggregated [MW]","Fossil Oil shale - Actual Aggregated [MW]","Fossil Peat - Actual Aggregated [MW]","Geothermal - Actual Aggregated [MW]","Hydro Pumped Storage - Actual Aggregated [MW]","Hydro Pumped Storage - Actual Consumption [MW]","Hydro Run-of-river and poundage - Actual Aggregated [MW]","Hydro Water Reservoir - Actual Aggregated [MW]","Marine - Actual Aggregated [MW]","Nuclear - Actual Aggregated [MW]","Other - Actual Aggregated [MW]","Other renewable - Actual Aggregated [MW]","Solar - Actual Aggregated [MW]","Waste - Actual Aggregated [MW]","Wind Offshore - Actual Aggregated [MW]","Wind Onshore - Actual Aggregated [MW]"
"BZN|NO1","26.03.2025 00:00 - 26.03.2025 01:00 (CET/CEST)","0","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1314","760","n/e","n/e","n/e","n/e","0","1","n/e","156"
"BZN|NO1","26.03.2025 01:00 - 26.03.2025 02:00 (CET/CEST)","0","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1319","765","n/e","n/e","n/e","n/e","0","0","n/e","141"
"BZN|NO1","26.03.2025 02:00 - 26.03.2025 03:00 (CET/CEST)","0","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1322","706","n/e","n/e","n/e","n/e","0","0","n/e","83"
"BZN|NO1","26.03.2025 03:00 - 26.03.2025 04:00 (CET/CEST)","0","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1317","733","n/e","n/e","n/e","n/e","0","1","n/e","61"
"BZN|NO1","26.03.2025 04:00 - 26.03.2025 05:00 (CET/CEST)","0","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1315","726","n/e","n/e","n/e","n/e","0","0","n/e","64"
"BZN|NO1","26.03.2025 05:00 - 26.03.2025 06:00 (CET/CEST)","0","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1321","722","n/e","n/e","n/e","n/e","0","1","n/e","42"
"BZN|NO1","26.03.2025 06:00 - 26.03.2025 07:00 (CET/CEST)","0","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1323","757","n/e","n/e","n/e","n/e","1","1","n/e","34"
"BZN|NO1","26.03.2025 07:00 - 26.03.2025 08:00 (CET/CEST)","0","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1319","854","n/e","n/e","n/e","n/e","2","1","n/e","20"
"BZN|NO1","26.03.2025 08:00 - 26.03.2025 09:00 (CET/CEST)","0","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1317","826","n/e","n/e","n/e","n/e","3","1","n/e","27"
"BZN|NO1","26.03.2025 09:00 - 26.03.2025 10:00 (CET/CEST)","0","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1326","855","n/e","n/e","n/e","n/e","5","1","n/e","18"
"BZN|NO1","26.03.2025 10:00 - 26.03.2025 11:00 (CET/CEST)","0","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1311","823","n/e","n/e","n/e","n/e","6","1","n/e","13"
"BZN|NO1","26.03.2025 11:00 - 26.03.2025 12:00 (CET/CEST)","0","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1293","762","n/e","n/e","n/e","n/e","6","1","n/e","18"
"BZN|NO1","26.03.2025 12:00 - 26.03.2025 13:00 (CET/CEST)","0","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1286","799","n/e","n/e","n/e","n/e","5","1","n/e","42"
"BZN|NO1","26.03.2025 13:00 - 26.03.2025 14:00 (CET/CEST)","0","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1282","729","n/e","n/e","n/e","n/e","4","1","n/e","54"
"BZN|NO1","26.03.2025 14:00 - 26.03.2025 15:00 (CET/CEST)","0","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1290","729","n/e","n/e","n/e","n/e","4","1","n/e","78"
"BZN|NO1","26.03.2025 15:00 - 26.03.2025 16:00 (CET/CEST)","0","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1307","756","n/e","n/e","n/e","n/e","3","1","n/e","116"
"BZN|NO1","26.03.2025 16:00 - 26.03.2025 17:00 (CET/CEST)","0","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1314","761","n/e","n/e","n/e","n/e","2","1","n/e","137"
"BZN|NO1","26.03.2025 17:00 - 26.03.2025 18:00 (CET/CEST)","0","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1325","753","n/e","n/e","n/e","n/e","0","1","n/e","137"
"BZN|NO1","26.03.2025 18:00 - 26.03.2025 19:00 (CET/CEST)","0","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1330","840","n/e","n/e","n/e","n/e","0","1","n/e","209"
"BZN|NO1","26.03.2025 19:00 - 26.03.2025 20:00 (CET/CEST)","0","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1326","847","n/e","n/e","n/e","n/e","0","0","n/e","297"
"BZN|NO1","26.03.2025 20:00 - 26.03.2025 21:00 (CET/CEST)","0","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1311","835","n/e","n/e","n/e","n/e","0","1","n/e","324"
"BZN|NO1","26.03.2025 21:00 - 26.03.2025 22:00 (CET/CEST)","0","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1311","753","n/e","n/e","n/e","n/e","0","1","n/e","317"
"BZN|NO1","26.03.2025 22:00 - 26.03.2025 23:00 (CET/CEST)","0","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1314","743","n/e","n/e","n/e","n/e","0","1","n/e","317"
"BZN|NO1","26.03.2025 23:00 - 27.03.2025 00:00 (CET/CEST)","0","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1317","765","n/e","n/e","n/e","n/e","0","0","n/e","333"
