timestamp,BZN|NO1 > BZN|NO1A [MW],BZN|NO1 > BZN|NO2 [MW],BZN|NO1 > BZN|NO3 [MW],BZN|NO1 > BZN|NO5 [MW],BZN|NO1 > BZN|SE3 [MW],BZN|NO1A > BZN|NO1 [MW],BZN|NO2 > BZN|NO1 [MW],BZN|NO3 > BZN|NO1 [MW],BZN|NO5 > BZN|NO1 [MW],BZN|SE3 > BZN|NO1 [MW]
01.03.2025 09:00 - 01.03.2025 09:15,0.0,70.0,0.0,0.0,0.0,0.0,0.0,355.0,2771.0,0.0
01.03.2025 09:00 - 01.03.2025 10:00,0.0,0.0,0.0,0.0,520.0,0.0,0.0,0.0,0.0,0.0
01.03.2025 09:15 - 01.03.2025 09:30,0.0,63.0,0.0,0.0,0.0,0.0,0.0,361.0,2762.0,0.0
01.03.2025 09:30 - 01.03.2025 09:45,0.0,50.0,0.0,0.0,0.0,0.0,0.0,369.0,2766.0,0.0
01.03.2025 09:45 - 01.03.2025 10:00,0.0,35.0,0.0,0.0,0.0,0.0,0.0,383.0,2776.0,0.0
01.03.2025 10:00 - 01.03.2025 10:15,0.0,129.0,0.0,0.0,0.0,0.0,0.0,405.0,2617.0,0.0
01.03.2025 10:00 - 01.03.2025 11:00,0.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0
01.03.2025 10:15 - 01.03.2025 10:30,0.0,373.0,0.0,0.0,0.0,0.0,0.0,421.0,2672.0,0.0
01.03.2025 10:30 - 01.03.2025 10:45,0.0,397.0,0.0,0.0,0.0,0.0,0.0,419.0,2642.0,0.0
01.03.2025 10:45 - 01.03.2025 11:00,0.0,426.0,0.0,0.0,0.0,0.0,0.0,430.0,2623.0,0.0
01.03.2025 11:00 - 01.03.2025 11:15,0.0,696.0,0.0,0.0,0.0,0.0,0.0,451.0,2657.0,0.0
01.03.2025 11:00 - 01.03.2025 12:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,264.0
01.03.2025 11:15 - 01.03.2025 11:30,0.0,720.0,0.0,0.0,0.0,0.0,0.0,464.0,2644.0,0.0
01.03.2025 11:30 - 01.03.2025 11:45,0.0,705.0,0.0,0.0,0.0,0.0,0.0,449.0,2620.0,0.0
01.03.2025 11:45 - 01.03.2025 12:00,0.0,690.0,0.0,0.0,0.0,0.0,0.0,451.0,2575.0,0.0
01.03.2025 12:00 - 01.03.2025 12:15,0.0,764.0,0.0,0.0,0.0,0.0,0.0,445.0,2622.0,0.0
01.03.2025 12:00 - 01.03.2025 13:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,534.0
01.03.2025 12:15 - 01.03.2025 12:30,0.0,850.0,0.0,0.0,0.0,0.0,0.0,437.0,2641.0,0.0
01.03.2025 12:30 - 01.03.2025 12:45,0.0,889.0,0.0,0.0,0.0,0.0,0.0,443.0,2609.0,0.0
01.03.2025 12:45 - 01.03.2025 13:00,0.0,966.0,0.0,0.0,0.0,0.0,0.0,457.0,2541.0,0.0
01.03.2025 13:00 - 01.03.2025 13:15,0.0,1063.0,0.0,0.0,0.0,0.0,0.0,456.0,2559.0,0.0
01.03.2025 13:00 - 01.03.2025 14:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,926.0
01.03.2025 13:15 - 01.03.2025 13:30,0.0,1135.0,0.0,0.0,0.0,0.0,0.0,451.0,2579.0,0.0
01.03.2025 13:30 - 01.03.2025 13:45,0.0,1149.0,0.0,0.0,0.0,0.0,0.0,449.0,2548.0,0.0
01.03.2025 13:45 - 01.03.2025 14:00,0.0,1167.0,0.0,0.0,0.0,0.0,0.0,453.0,2515.0,0.0
01.03.2025 14:00 - 01.03.2025 14:15,0.0,1327.0,0.0,0.0,0.0,0.0,0.0,439.0,2502.0,0.0
01.03.2025 14:00 - 01.03.2025 15:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1028.0
01.03.2025 14:15 - 01.03.2025 14:30,0.0,1351.0,0.0,0.0,0.0,0.0,0.0,442.0,2503.0,0.0
01.03.2025 14:30 - 01.03.2025 14:45,0.0,1392.0,0.0,0.0,0.0,0.0,0.0,455.0,2437.0,0.0
01.03.2025 14:45 - 01.03.2025 15:00,0.0,1400.0,0.0,0.0,0.0,0.0,0.0,454.0,2382.0,0.0
01.03.2025 15:00 - 01.03.2025 15:15,0.0,1414.0,0.0,0.0,0.0,0.0,0.0,455.0,2349.0,0.0
01.03.2025 15:00 - 01.03.2025 16:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1239.0
01.03.2025 15:15 - 01.03.2025 15:30,0.0,1417.0,0.0,0.0,0.0,0.0,0.0,462.0,2358.0,0.0
01.03.2025 15:30 - 01.03.2025 15:45,0.0,1435.0,0.0,0.0,0.0,0.0,0.0,472.0,2345.0,0.0
01.03.2025 15:45 - 01.03.2025 16:00,0.0,1407.0,0.0,0.0,0.0,0.0,0.0,467.0,2348.0,0.0
01.03.2025 16:00 - 01.03.2025 16:15,0.0,1442.0,0.0,0.0,0.0,0.0,0.0,445.0,2218.0,0.0
01.03.2025 16:00 - 01.03.2025 17:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1252.0
01.03.2025 16:15 - 01.03.2025 16:30,0.0,1457.0,0.0,0.0,0.0,0.0,0.0,453.0,2208.0,0.0
01.03.2025 16:30 - 01.03.2025 16:45,0.0,1383.0,0.0,0.0,0.0,0.0,0.0,464.0,2188.0,0.0
01.03.2025 16:45 - 01.03.2025 17:00,0.0,1308.0,0.0,0.0,0.0,0.0,0.0,455.0,2267.0,0.0
01.03.2025 17:00 - 01.03.2025 17:15,0.0,934.0,0.0,0.0,0.0,0.0,0.0,437.0,2429.0,0.0
01.03.2025 17:00 - 01.03.2025 18:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,709.0
01.03.2025 17:15 - 01.03.2025 17:30,0.0,901.0,0.0,0.0,0.0,0.0,0.0,438.0,2501.0,0.0
01.03.2025 17:30 - 01.03.2025 17:45,0.0,921.0,0.0,0.0,0.0,0.0,0.0,447.0,2480.0,0.0
01.03.2025 17:45 - 01.03.2025 18:00,0.0,972.0,0.0,0.0,0.0,0.0,0.0,454.0,2445.0,0.0
01.03.2025 18:00 - 01.03.2025 18:15,0.0,970.0,0.0,0.0,0.0,0.0,0.0,425.0,2487.0,0.0
01.03.2025 18:00 - 01.03.2025 19:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,829.0
01.03.2025 18:15 - 01.03.2025 18:30,0.0,974.0,0.0,0.0,0.0,0.0,0.0,426.0,2529.0,0.0
01.03.2025 18:30 - 01.03.2025 18:45,0.0,1085.0,0.0,0.0,0.0,0.0,0.0,428.0,2499.0,0.0
01.03.2025 18:45 - 01.03.2025 19:00,0.0,1149.0,0.0,0.0,0.0,0.0,0.0,438.0,2455.0,0.0
01.03.2025 19:00 - 01.03.2025 19:15,0.0,1218.0,0.0,0.0,0.0,0.0,0.0,392.0,2283.0,0.0
01.03.2025 19:00 - 01.03.2025 20:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1335.0
01.03.2025 19:15 - 01.03.2025 19:30,0.0,1309.0,0.0,0.0,0.0,0.0,0.0,393.0,2230.0,0.0
01.03.2025 19:30 - 01.03.2025 19:45,0.0,1282.0,0.0,0.0,0.0,0.0,0.0,395.0,2236.0,0.0
01.03.2025 19:45 - 01.03.2025 20:00,0.0,1297.0,0.0,0.0,0.0,0.0,0.0,424.0,2143.0,0.0
01.03.2025 20:00 - 01.03.2025 20:15,0.0,1222.0,0.0,0.0,0.0,0.0,0.0,413.0,1966.0,0.0
01.03.2025 20:00 - 01.03.2025 21:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1633.0
01.03.2025 20:15 - 01.03.2025 20:30,0.0,1197.0,0.0,0.0,0.0,0.0,0.0,377.0,1950.0,0.0
01.03.2025 20:30 - 01.03.2025 20:45,0.0,1275.0,0.0,0.0,0.0,0.0,0.0,389.0,1847.0,0.0
01.03.2025 20:45 - 01.03.2025 21:00,0.0,1341.0,0.0,0.0,0.0,0.0,0.0,399.0,1730.0,0.0
01.03.2025 21:00 - 01.03.2025 21:15,0.0,1241.0,0.0,0.0,0.0,0.0,0.0,432.0,1368.0,0.0
01.03.2025 21:00 - 01.03.2025 22:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1929.0
01.03.2025 21:15 - 01.03.2025 21:30,0.0,1148.0,0.0,0.0,0.0,0.0,0.0,434.0,1390.0,0.0
01.03.2025 21:30 - 01.03.2025 21:45,0.0,1168.0,0.0,0.0,0.0,0.0,0.0,406.0,1358.0,0.0
01.03.2025 21:45 - 01.03.2025 22:00,0.0,1158.0,0.0,0.0,0.0,0.0,0.0,402.0,1300.0,0.0
01.03.2025 22:00 - 01.03.2025 22:15,0.0,1077.0,0.0,0.0,0.0,0.0,0.0,380.0,1119.0,0.0
01.03.2025 22:00 - 01.03.2025 23:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1845.0
01.03.2025 22:15 - 01.03.2025 22:30,0.0,1029.0,0.0,0.0,0.0,0.0,0.0,371.0,1096.0,0.0
01.03.2025 22:30 - 01.03.2025 22:45,0.0,944.0,0.0,0.0,0.0,0.0,0.0,355.0,1112.0,0.0
01.03.2025 22:45 - 01.03.2025 23:00,0.0,915.0,0.0,0.0,0.0,0.0,0.0,350.0,1113.0,0.0
01.03.2025 23:00 - 01.03.2025 23:15,0.0,998.0,0.0,0.0,0.0,0.0,0.0,353.0,1202.0,0.0
01.03.2025 23:00 - 02.03.2025 00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1813.0
01.03.2025 23:15 - 01.03.2025 23:30,0.0,1025.0,0.0,0.0,0.0,0.0,0.0,355.0,1184.0,0.0
01.03.2025 23:30 - 01.03.2025 23:45,0.0,1057.0,0.0,0.0,0.0,0.0,0.0,354.0,1161.0,0.0
01.03.2025 23:45 - 02.03.2025 00:00,0.0,1137.0,0.0,0.0,0.0,0.0,0.0,353.0,1122.0,0.0
02.03.2025 00:00 - 02.03.2025 00:15,0.0,1056.0,0.0,0.0,0.0,0.0,0.0,356.0,1126.0,0.0
02.03.2025 00:00 - 02.03.2025 01:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1831.0
02.03.2025 00:15 - 02.03.2025 00:30,0.0,1011.0,0.0,0.0,0.0,0.0,0.0,354.0,1119.0,0.0
02.03.2025 00:30 - 02.03.2025 00:45,0.0,1203.0,0.0,0.0,0.0,0.0,0.0,372.0,1109.0,0.0
02.03.2025 00:45 - 02.03.2025 01:00,0.0,1189.0,0.0,0.0,0.0,0.0,0.0,367.0,1140.0,0.0
02.03.2025 01:00 - 02.03.2025 01:15,0.0,1216.0,0.0,0.0,0.0,0.0,0.0,372.0,1176.0,0.0
02.03.2025 01:00 - 02.03.2025 02:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1822.0
02.03.2025 01:15 - 02.03.2025 01:30,0.0,1227.0,0.0,0.0,0.0,0.0,0.0,362.0,1166.0,0.0
02.03.2025 01:30 - 02.03.2025 01:45,0.0,1215.0,0.0,0.0,0.0,0.0,0.0,357.0,1163.0,0.0
02.03.2025 01:45 - 02.03.2025 02:00,0.0,1227.0,0.0,0.0,0.0,0.0,0.0,371.0,1152.0,0.0
02.03.2025 02:00 - 02.03.2025 02:15,0.0,1314.0,0.0,0.0,0.0,0.0,0.0,380.0,1143.0,0.0
02.03.2025 02:00 - 02.03.2025 03:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1870.0
02.03.2025 02:15 - 02.03.2025 02:30,0.0,1281.0,0.0,0.0,0.0,0.0,0.0,368.0,1140.0,0.0
02.03.2025 02:30 - 02.03.2025 02:45,0.0,1267.0,0.0,0.0,0.0,0.0,0.0,365.0,1141.0,0.0
02.03.2025 02:45 - 02.03.2025 03:00,0.0,1276.0,0.0,0.0,0.0,0.0,0.0,368.0,1131.0,0.0
02.03.2025 03:00 - 02.03.2025 03:15,0.0,1377.0,0.0,0.0,0.0,0.0,0.0,366.0,1145.0,0.0
02.03.2025 03:00 - 02.03.2025 04:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1876.0
02.03.2025 03:15 - 02.03.2025 03:30,0.0,1417.0,0.0,0.0,0.0,0.0,0.0,357.0,1142.0,0.0
02.03.2025 03:30 - 02.03.2025 03:45,0.0,1409.0,0.0,0.0,0.0,0.0,0.0,356.0,1143.0,0.0
02.03.2025 03:45 - 02.03.2025 04:00,0.0,1402.0,0.0,0.0,0.0,0.0,0.0,345.0,1135.0,0.0
02.03.2025 04:00 - 02.03.2025 04:15,0.0,1462.0,0.0,0.0,0.0,0.0,0.0,359.0,1132.0,0.0
02.03.2025 04:00 - 02.03.2025 05:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1912.0
02.03.2025 04:15 - 02.03.2025 04:30,0.0,1489.0,0.0,0.0,0.0,0.0,0.0,356.0,1133.0,0.0
02.03.2025 04:30 - 02.03.2025 04:45,0.0,1476.0,0.0,0.0,0.0,0.0,0.0,357.0,1128.0,0.0
02.03.2025 04:45 - 02.03.2025 05:00,0.0,1472.0,0.0,0.0,0.0,0.0,0.0,365.0,1130.0,0.0
02.03.2025 05:00 - 02.03.2025 05:15,0.0,1482.0,0.0,0.0,0.0,0.0,0.0,321.0,1161.0,0.0
02.03.2025 05:00 - 02.03.2025 06:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1866.0
02.03.2025 05:15 - 02.03.2025 05:30,0.0,1492.0,0.0,0.0,0.0,0.0,0.0,319.0,1169.0,0.0
02.03.2025 05:30 - 02.03.2025 05:45,0.0,1533.0,0.0,0.0,0.0,0.0,0.0,337.0,1144.0,0.0
02.03.2025 05:45 - 02.03.2025 06:00,0.0,1506.0,0.0,0.0,0.0,0.0,0.0,326.0,1154.0,0.0
02.03.2025 06:00 - 02.03.2025 06:15,0.0,1470.0,0.0,0.0,0.0,0.0,0.0,308.0,1106.0,0.0
02.03.2025 06:00 - 02.03.2025 07:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014.0
02.03.2025 06:15 - 02.03.2025 06:30,0.0,1482.0,0.0,0.0,0.0,0.0,0.0,319.0,1039.0,0.0
02.03.2025 06:30 - 02.03.2025 06:45,0.0,1477.0,0.0,0.0,0.0,0.0,0.0,317.0,1022.0,0.0
02.03.2025 06:45 - 02.03.2025 07:00,0.0,1484.0,0.0,0.0,0.0,0.0,0.0,319.0,1001.0,0.0
02.03.2025 07:00 - 02.03.2025 07:15,0.0,1463.0,0.0,0.0,0.0,0.0,0.0,303.0,1097.0,0.0
02.03.2025 07:00 - 02.03.2025 08:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1904.0
02.03.2025 07:15 - 02.03.2025 07:30,0.0,1410.0,0.0,0.0,0.0,0.0,0.0,281.0,1129.0,0.0
02.03.2025 07:30 - 02.03.2025 07:45,0.0,1400.0,0.0,0.0,0.0,0.0,0.0,282.0,1166.0,0.0
02.03.2025 07:45 - 02.03.2025 08:00,0.0,1424.0,0.0,0.0,0.0,0.0,0.0,287.0,1186.0,0.0
02.03.2025 08:00 - 02.03.2025 08:15,0.0,1390.0,0.0,0.0,0.0,0.0,0.0,299.0,1232.0,0.0
02.03.2025 08:00 - 02.03.2025 09:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1873.0
02.03.2025 08:15 - 02.03.2025 08:30,0.0,1364.0,0.0,0.0,0.0,0.0,0.0,310.0,1224.0,0.0
02.03.2025 08:30 - 02.03.2025 08:45,0.0,1381.0,0.0,0.0,0.0,0.0,0.0,315.0,1227.0,0.0
