EicCode;EicDisplayName;EicLongName;EicParent;EicResponsibleParty;EicStatus;MarketParticipantPostalCode;MarketParticipantIsoCountryCode;MarketParticipantVatCode;EicTypeFunctionList;type
18XBIOTR-12345-4;BIOTR;BIOTRACTAMENTS VILA-SANA,S.L.;;;Active;;;ESB25587585;Production Responsible Party;X
18XBIOV-12345-1R;BIOV;BIOVENT ENERGIA S.A.;;;Active;;;ESA47497789;Production Responsible Party;X
18XBIROU-12345-V;BIROU;BIROU GAS SL;;;Active;;;ESB39806062;Trade Responsible Party;X
18XBISCO-12345-9;BISCO;BIS SUMINISTRO DE GAS SL;;;Active;;;ESB65465569;Trade Responsible Party;X
18XBISUR-12345-O;BISUR;BIS SUMINISTRO DE GAS SUR SL;;;Active;;;ESB65465528;Trade Responsible Party;X
18XBIZE-12345-04;BIZE;BIZKAIA ENERGIA, S.L.;;;Active;;;ESB48948830;Production Responsible Party;X
18XBKW-1234567-J;BKW;BKW BIOKRAFTWERKE FÜRSTERNWALDE GmbH;;;Active;;;DE176078172;Production Responsible Party;X
18XBLANC-12345-L;BLANC;FOTO BLANC SOLAR, S..L;;;Active;;;ESB84946466;Production Responsible Party;X
18XBOIRO-12345-8;BOIRO;COGENERACION BOIRO ENERGIA, S.A.;;;Active;;;ESA15571078;Production Responsible Party;X
18XBOIX-123456-L;BOIX;BOIXADORS SOLAR;;;Active;;;ESB64544141;Production Responsible Party;X
18XBONAR-12345-M;BONAR;BOÑAR ENERGIA, S.L.;;;Active;;;ESB24484248;Production Responsible Party;X
18XBONNY-12345-E;BONNY;BONNYSA AGROALIMENTARIA, S.A.;;;Active;;;ESA03052867;Production Responsible Party;X
18XBONYS-12345-W;BONYS;BONNY, S.A.;;;Active;;;ESA35001122;Trade Responsible Party;X
18XBORE2-12345-F;BORE2;BOREAS EÓLICA 2, S.A.;;;Active;;;ESA09401878;Production Responsible Party;X
18XBOREA-12345-H;BOREA;BOREAS EÓLICA, S.A.;;;Active;;;ESA09309329;Production Responsible Party;X
18XBOTAR-12345-U;BOTAR;CONSORCI PER A LA GESTIO DE RESIDUS MUNICIPALS DEL BAIX CAMP;;;Active;;;ESP9312508F;Production Responsible Party;X
18XBP-1234567-3K;BP;BP GAS & POWER IBERIA, SAU;;;Active;;;ESA82422031;Trade Responsible Party;X
18XBPOIL-12345-A;BPOIL;BP OIL REFINERIA DE CASTELLON, S.A.U;;;Active;;;ESA12487245;Production Responsible Party;X
18XBPSOL-1234-1V;BPSOL;BP-SOLAR ESPAÑA S.A.U.;;;Active;;;ESA28778397;Production Responsible Party;X
18XBRENA-12345-Y;BRENA;SALTO DE LA BREÑA S.A.;;;Active;;;ESA78484466;Production Responsible Party;X
18XBRETO-12345-X;BRETO;BRETON SOLAR, S.L.;;;Active;;;ESB84429877;Trade Responsible Party;X
18XBRILE-12345-B;BRILE;BRILEN, S.A.;;;Active;;;ESA08356313;Production Responsible Party;X
18XBRIVI-12345-N;BRIVI;BIOMASA BRIVIESCA, S.A.;;;Active;;;ESA09484833;Production Responsible Party;X
18XBRUJULA-12-1A;BRUJULA;EOLICA LA BRUJULA S.A.;;;Active;;;ESA31696164;Production Responsible Party;X
18XBRULL-12345-1;BRULL;BRULLES EÓLICA, S.L.U.;;;Active;;;ESB84923051;Production Responsible Party;X
18XBSANT-12345-6;BSANT;BANCO SANTANDER S.A.;;;Active;;;ESA39000013;Trade Responsible Party;X
18XBSINT-12345-T;BSINT;BARNASINTEX S.L.;;;Active;;;ESB61041141;Production Responsible Party;X
18XBSISG--123-1S;BSISG;PARQUE EÓLICO DE LA BOBIA Y SAN ISIDRO, S.L.;;;Active;;;ESB74020074;Production Responsible Party;X
18XBUENAV-123-17;BUENAV;DESARROLLOS EÓLICOS BUENAVISTA, S.A.U.;;;Active;;;ESA41822214;Production Responsible Party;X
18XBUGUI-12345-J;BUGUI;BURGOS GUINEA CB;;;Active;;;ESE85196525;Production Responsible Party;X
18XBURGE-1234--I;BURGE;BURGALESA DE GENERACIÓN EÓLICA S.A.;;;Active;;;ESB09333543;Production Responsible Party;X
18XBUTAR-12345-W;BUTAR;U.T.E. SECADO TÉRMICO BUTARQUE;;;Active;;;ESU82477985;Production Responsible Party;X
18XBVCOR-12345-U;BVCOR;BON VENT CORBERA S.L.U.;;;Active;;;ESB63595482;Production Responsible Party;X
18XBVVIL-12345-9;BVVIL;Bon Vent de Vilalba, S.L.U.;;;Active;;;ESB63623425;Production Responsible Party;X
18XCA18R-12345-W;CA18R;ELECVAL COMERCIALIZADORA VALENCIANA DE ELECTRICIDAD S.L.;;;Active;;;ESB98190051;Trade Responsible Party;X
18XCABAN-12345-C;CABAN;E-COGENERACION CABANILLAS, S.L.;;;Active;;;ESB31948664;Production Responsible Party;X
18XCABEZ-12345-C;CABEZ;SISTEMAS ENERGETICOS LAS CABEZAS, S.A.U.;;;Active;;;ESA91552968;Production Responsible Party;X
18XCABRE-12345-Y;CABRE;SALTOS DEL CABRERA, SL;;;Active;;;ESB24291833;Grid Access Provider;X
18XCABSL-12345-Z;CABSL;Parque Eólico Cabo Vilano S.L.;;;Active;;;ESB81256729;Production Responsible Party;X
18XCADES-12345-G;CADES;CADES PENEDES, S.A.;;;Active;;;ESA08297509;Production Responsible Party;X
18XCADOS-12345-R;CADOS;CADÓS 99, S.A.;;;Active;;;ESA32230401;Production Responsible Party;X
18XCAI-1234567-L;CAI;Coren Agroindustrial;;;Active;;;ESA32242588;Consumption Responsible Party;X
18XCALAV-12345-F;CALAV;COGENERACION ALAVESA, S.L.;;;Active;;;ESB01405265;Production Responsible Party;X
18XCALDA-12345-Q;CALDA;NUESTRA SEÑORA DE LAS CALDAS, S.A.;;;Active;;;ESA39001201;Production Responsible Party;X
18XCALDE-12345-R;CALDE;LA CALDERA ENERGÍA BURGOS, S.L.;;;Active;;;ESB09398249;Production Responsible Party;X
18XCALL-123456-4;CALL;ELECTRICA CALLOSINA, S.L;;;Active;;;ESB53480547;Trade Responsible Party;X
18XCALLO-12345-5;CALLO;ELECTRICA DE CALLOSA DE SEGURA, COOPERATIVA VALENCIANA;;;Active;;;ESF03013331;Grid Access Provider;X
18XCALLU-12345-P;CALLU;Inversions Callús S.L.;;;Active;;;ESB60431814;Production Responsible Party;X
18XCAMON-12345-A;CAMON;COMUNIDAD GENERAL DE USUARIOS DEL CANAL DE MONTIJO;;;Active;;;ESG06525141;Consumption Responsible Party;X
18XCAMP-123456-R;CAMP;Pizarras de la Campa, SLU;;;Active;;;ESB32116873;Consumption Responsible Party;X
18XCAMPI-12345-8;CAMPI;SISTEMAS ENERGETICOS LOS CAMPILLOS SA;;;Active;;;ESA47525498;Production Responsible Party;X
18XCAMPO-12345-S;CAMPO;ENERGIAS DE LA VILLA DE CAMPO, S.L.U.;;;Active;;;ESB22280259;Grid Access Provider;X
18XCAMPO3GENERAZ;C3GEN;CAMPO3 GENERACION S.L.;;;Active;;;ESB13477930;Production Responsible Party;X
18XCANAV-12345-U;CANAV;SOCIEDAD MERCANTIL ESTATAL CANAL DE NAVARRA, S.A.;;;Active;;;ESA50826189;Production Responsible Party;X
18XCANCA-12345-E;CANCA;CAN CABALLE SL;;;Active;;;ESB08729782;Production Responsible Party;X
18XCANDA-12345-4;CANDA;PIRENAICA DE TURISMO SA;;;Active;;;ESA22013957;Production Responsible Party;X
18XCANDE-12345-5;CANDE;ESCANDELLA COGENERACIÓN S.A.;;;Active;;;ESA81743791;Production Responsible Party;X
18XCANDY-12345-A;CANDY;CANDY SPAIN, S.L.;;;Active;;;ESB30065221;Consumption Responsible Party;X
18XCANMA-12345-P;CANMA;ECOENERGIA DE CAN MATA A.I.E.;;;Active;;;ESG62170352;Production Responsible Party;X
18XCANSL-12345-E;CANSL;CANALSOLAR 2006, S.L.;;;Active;;;ESB97764831;Production Responsible Party;X
18XCANTA-12345-T;CANTA;P.E. LOS CANTALES, S.L.;;;Active;;;ESB99014656;Production Responsible Party;X
18XCAOLE-12345-P;CAOLE;CAOLESA S.L.;;;Active;;;ESB43030303;Production Responsible Party;X
18XCAPAS-12345-Z;CAPAS;CALIDAD PASCUAL S.A.U.;;;Active;;;ESA09006172;Consumption Responsible Party;X
18XCAPE-12345-1A;CAPE;PARQUE EÓLICO A CAPELADA, A.I.E.;;;Active;;;ESV81009656;Production Responsible Party;X
18XCAPER-12345-4;CAPER;CAPITAL ENERGY READ, S.L.;;;Active;;;ESB84594340;Trade Responsible Party;X
18XCAPSA-12345-H;CAPSA;CORPORACIÓN ALIMENTARIA PEÑASANTA;;;Active;;;ESA03161270;Production Responsible Party;X
18XCARAG-12345-A;CARAG;Molino de Caragüeyes;;;Active;;;ESB50939586;Production Responsible Party;X
18XCAR-ARINAGA-E;CARIN;PARQUE EÓLICO CARRETERA DE ARINAGA, S.A.;;;Active;;;ESA35677384;Production Responsible Party;X
18XCARBA-12345-H;CARBA;P.E. SIERRA DE LAS CARBAS;;;Active;;;ESB84486307;Production Responsible Party;X
18XCARBI-12345-J;CARBI;CARTAGENA BIOGAS, S.L.;;;Active;;;ESB91904953;Production Responsible Party;X
18XCARBL-12345-T;CARBL;ENERGYWORKS CARBALLO;;;Active;;;ESB15805930;Production Responsible Party;X
18XCARBO-12345-2;CARBO;COGENERACIÓN CARBONÍFERA S.L.U.;;;Active;;;ESB50768233;Production Responsible Party;X
18XCARDU-12345-2;CARDU;COLL CARDUS GAS S.L.;;;Active;;;ESB62208186;Production Responsible Party;X
18XCAROG-1234-1W;CAROG;EOLICA CABEZO SAN ROQUE, S.A.;;;Active;;;ESA50796283;Production Responsible Party;X
18XCARRA-12345-5;CARAS;SISTEMAS ENERGETICOS EL CARRASCAL, S.A.;;;Active;;;ESA91335703;Production Responsible Party;X
18XCARRA-1234--N;HOSA;Gnera Energia y Tecnologia SL;;;Active;;;ESB85910529;Production Responsible Party;X
18XCARRG-1234-12;CARRG;PARQUE EÓLICO LA CARRACHA, S.L.;;;Active;;;ESB50799824;Production Responsible Party;X
18XCARTA-1234-01;CARTA;ENGIE CARTAGENA S.L.;;;Active;;;ESB96766928;Production Responsible Party;X
18XCARTO-12345-7;CARTO;CARTONAJES ONDULADOS LEVANTINOS, S.A.;;;Active;;;ESB46095790;Production Responsible Party;X
18XCARVISAENERGQ;CARVI;Carvisa Energia S.L.;;;Active;;;ESB85969491;Trade Responsible Party;X
18XCASER-12345-8;CASER;Comercializadora Energetica Castellana, S.L.;;;Active;;;ESB13555586;Trade Responsible Party;X
18XCASOL-1234--H;CASOL;CENTRAL HIDROELECTRICA CAMPOSOLILLO S.L.;;;Active;;;ESB24394736;Production Responsible Party;X
18XCASTE-1234-1Q;CASTE;ENERGÍAS ESPECIALES DE CASTELO, S.A.;;;Active;;;ESA82544388;Production Responsible Party;X
18XCASTI-12345-D;CASTI;EOLICA CASTIL DE TIERRA S.L;;;Active;;;ESB42182758;Production Responsible Party;X
18XCASTRIO-12-12;CAST;CASTRÍOS;;;Active;;;ESA09416603;Production Responsible Party;X
18XCATEG-12345-M;CATEG;CATENVA, S.L.;;;Active;;;ESB46241246;Production Responsible Party;X
18XCATENERIBAS-K;RIBAS;CATENERIBAS S.L.;;;Active;;;ESB64376395;Grid Access Provider;X
18XCATER-12345-Y;CATER;CATALANA D¿ENERGIES RENOVABLES, S.L.;;;Active;;;ESB43606953;Production Responsible Party;X
18XCATFARRATGESF;FARRA;CATALANA DE FARRATGES, S.L.;;;Active;;;ESB25214040;Production Responsible Party;X
18XCATGA-12345-J;CATGA;CATGAS ENERGIA S.A;;;Active;;;ESA61293387;Trade Responsible Party;X
18XCATRA-12345-K;CATRA;ELÉCTRICA CATRALENSE, S.L.;;;Active;;;ESB53485140;Trade Responsible Party;X
18XCAUXA-1234-10;CAUXA;HIDROELECTRICA DEL CAUXA, S.L.;;;Active;;;ESB33427550;Production Responsible Party;X
18XCAYPA--123-1S;CAYPA;CAILÀ PARÉS, S.A.;;;Active;;;ESA58865130;Production Responsible Party;X
18XCAZA-123456-Y;CAZA;DE CAZA Y CONTROL S.L;;;Active;;;ESB99344285;Consumption Responsible Party;X
18XCBERN-12345-J;CBERN;CARTONAJES BERNABEU, S.A.;;;Active;;;ESA46052809;Consumer;X
18XCBROG-1234-1K;CBROG;COGENERACION DEL EBRO, SA;;;Active;;;ESA50727411;Production Responsible Party;X
18XCCATR-12345-W;CCATR;COOPERATIVA ELECTRICA BENEF. CATRALENSE, COOP.V.;;;Active;;;ESF03013349;Trade Responsible Party;X
18XCCORA-12345-E;CCORA;COGENERACION CORA;;;Active;;;ESB84195205;Production Responsible Party;X
18XCCSR4-12345-O;CCSR4;CENTRAL TERMICA CICLO COMBINADO GRUPO 4, S.L.;;;Active;;;ESB74233958;Production Responsible Party;X
18XCCSR5-12345-F;CCSR5;CICLO COMBINADO SOTO 5, S.L.;;;Active;;;ESB74272543;Production Responsible Party;X
18XCEARG-1234-1U;CEAR;COMPAÑÍA EÓLICA ARAGONESA, S.A.;;;Active;;;ESA22174932;Production Responsible Party;X
18XCEASA-1234-4V;CEASA;CELULOSA DE ASTURIAS S.A.;;;Active;;;ESA78380748;Production Responsible Party;X
18XCEBAG-1234-14;CEBAG;CORPORACIÓN EÓLICA DE BARRUELO, S.L.;;;Active;;;ESB82636739;Production Responsible Party;X
18XCECA-123456-H;CECA;COOPERATIVA ELECTRICA DE CASTELLAR, S.C.V.;;;Active;;;ESF46025136;Trade Responsible Party;X
18XCECBG-1234-1K;CECBG;COMPAÑÍA EÓLICA CAMPO DE BORJA, S.A.;;;Active;;;ESA50791995;Production Responsible Party;X
18XCECGSEE-----9;CECGS;Constellation Energy Commodities Group Ltd Sucursal en Espana;;;Active;;;ESN0060091F;Trade Responsible Party;X
18XCECHE-1234-1F;CECHE;COGENERACIÓN ECHEZARRETA A.I.E.;;;Active;;;ESG20737383;Production Responsible Party;X
18XCECOM-1234-3H;CECOM;CANAL ENERGÍA COMERCIALIZACIÓN, S.L.;;;Active;;;ESB83410563;Trade Responsible Party;X
18XCECON-12345-Z;CECON;CESPA CONTEN SA;;;Active;;;ESA48060057;Production Responsible Party;X
18XCEDEP-12345-W;CEDEP;CEDEPA DE DON BENITO, S.L.;;;Active;;;ESB06211239;Consumption Responsible Party;X
18XCEDSL-12345-2;CEDSL;COMERCIALIZADORA DE ENERGIA DIRECTA S.L.;;;Active;;;ESB12965059;Trade Responsible Party;X
18XCEEE-123456-T;CEEE;Compañía Escandinava de Electricidad en España;;;Active;;;ESB85551273;Trade Responsible Party;X
18XCEFEN-12345-S;CEFEN;COMERCIALIZADORA ENERGÉTICA FINANCIERA, S.L.;;;Active;;;ESB87314431;Trade Responsible Party;X
18XCEFXG-1234-1Q;CEFXG;CERAMICA DE FOIX, S.A.;;;Active;;;ESA08435547;Production Responsible Party;X
18XCEG-123456-1F;CEG;ENERGYA VM GENERACIÓN S.L.;;;Active;;;ESB84070036;Trade Responsible Party;X
18XCEGRG-1234-11;CEGRG;COMPAÑÍA EÓLICA GRANADINA S.A.;;;Active;;;ESA18455154;Production Responsible Party;X
18XCEHNG-1234-1U;CEHNG;ACCIONA GENERACIÓN RENOVABLE S.A.;;;Active;;;ESA31768138;Production Responsible Party;X
18XCEIB-123456-F;CEIB;IBEROLCORENSE S.L;;;Active;;;ESB12006623;Consumption Responsible Party;X
18XCEIBERENERGY7;CEIBR;CEIBER ENERGY S.L.;;;Active;;;ESB95726956;Trade Responsible Party;X
18XCEIRE-12345-K;CEIRE;CONTROL E INSPECCION REGLAMENTARIA SL;;;Active;;;ES94053659;Consumer;X
18XCELAD-12345-I;CELAD;PARQUES EOLICOS CELADAS, S.L.;;;Active;;;ESB85690550;Production Responsible Party;X
18XCELEC-12345-O;CELEC;COMPAÑÍA DE ELECTRIFICACIÓN, S.L.;;;Active;;;ESB36000917;Grid Access Provider;X
18XCELI-123456-N;CELI;Compañía Energética de Linares, S.L.;;;Active;;;ESB9159561;Production Responsible Party;X
18XCELL-123456-U;CELL;CELLTECH S.L.U;;;Active;;;ESB82634197;Consumption Responsible Party;X
18XCELM-123456-K;CELM;CELM & FUNS;;;Active;;;ESB85205524;Trade Responsible Party;X
18XCELTICAENERG7;CELT;Céltica Energía, S.L;;;Active;;;ESB86150315;Trade Responsible Party;X
18XCELVI-12345-M;CELVI;Compañía Energética Las Villas, S.L.;;;Active;;;ESB23541709;Production Responsible Party;X
18XCEMAG-1234-1V;CEMA;CORPORACIÓN EÓLICA DE MANZANEDO, S.L.;;;Active;;;ESB82073503;Production Responsible Party;X
18XCEMOI-12345-7;CEMOI;CEMOI ELECTRICITE, S.L.;;;Active;;;ESB66319138;Trade Responsible Party;X
18XCEMOS-12345-S;CEMOS;Celulosas Moldeadas, S.A.;;;Active;;;ESA48034177;Production Responsible Party;X
18XCEMR-123456-X;CEMR;COGENERACIÓN, ENERGÍAS RENOVABLES Y MEDIOAMBIENTE, S.L;;;Active;;;ESB20960191;Production Responsible Party;X
18XCENAR-12345-I;CENAR;SISTEMAS ENERGÉTICOS EL CENTENAR, S.A.U;;;Active;;;ESA91553040;Production Responsible Party;X
18XCENCO-12345-P;CENCO;CENTRAL DE COMPRAS DE SUPERMERCADOS CANARIOS SL;;;Active;;;ESB35105055;Consumption Responsible Party;X
18XCENER-1234-1T;CENER;CELULOSA ENERGÍA S.A.U;;;Active;;;ESA21203237;Production Responsible Party;X
18XCENES-12345-6;CENES;ENERGYA VM ENERGIAS ESPECIALES S.L.U.;;;Active;;;ESB84317593;Trade Responsible Party;X
18XCENTE-1234-3T;CENTE;ENERGYA VM GESTIÓN DE ENERGÍA;;;Active;;;ESB83393066;Trade Responsible Party;X
18XCENTS-12345-4;CENTS;ELECTRACOMERCIAL CENTELLES, S.L.U.;;;Active;;;ESB62419015;Trade Responsible Party;X
18XCENU-12345-19;CENU;CERAMICA NULENSE, S.A.;;;Active;;;ESA12016101;Production Responsible Party;X
18XCENVE-1234--H;CENVE;CENTRAL DE VENTAS DE SUPERMERCADOS CANARIOS SL;;;Active;;;ESB76133644;Consumption Responsible Party;X
18XCEOLI-12345-F;CEOLI;CEOLICA HISPANIA, S.L.;;;Active;;;ESB82956517;Production Responsible Party;X
18XCEPA-12345-12;CEPA;CERAMICA CUATRO PALOMAS S.A;;;Active;;;ESA78113602;Production Responsible Party;X
18XCEPLG--123-1S;CEPLG;SISTEMAS ENERGÉTICOS LA PLANA S.A.;;;Active;;;ESA50807478;Production Responsible Party;X
18XCEPM-12345-1U;CEPM;COMPAÑÍA ENERGÉTICA PATA DE MULO, S.L.;;;Active;;;ESB91189084;Production Responsible Party;X
18XCEPSA-12345-6;CEPSA;Compañía Española de Petróleos, S.A.;;;Active;;;ESA28003119;Production Responsible Party;X
18XCEPUE-12345-O;CEPUE;CIA. ENERGETICA PUENTE DEL OBISPO,S.L.;;;Active;;;ESB91448514;Production Responsible Party;X
18XCERABRICKSA-0;CERAB;CERABRICK GRUPO CERAMICA, S.A.;;;Active;;;ESA26270322;Production Responsible Party;X
18XCERAD-12345-Q;CERAD;SISTEMAS ENERGÉTICOS LA CERRADILLA, S.A.U.;;;Active;;;ESA91336040;Production Responsible Party;X
18XCERAM-12345-J;CERAM;LA CERAMICA S.L.;;;Active;;;ESB47566583;Production Responsible Party;X
18XCERAMFUSTESAB;CEFUS;CERAMICA FUSTE, S.A.;;;Active;;;ESA25021478;Production Responsible Party;X
18XCEREG-1234-1A;CER;CASTELLANA DE ENERGÍA RENOVABLE S.L.;;;Active;;;ESB37331709;Production Responsible Party;X
18XCEREH-12345-O;CEREH;Centrales y Recursos Hidráulicos, S. A.;;;Active;;;ESA78656683;Production Responsible Party;X
18XCERES-1234--H;CERES;Cogen Eresma;;;Active;;;ESB40187106;Production Responsible Party;X
18XCERRA-12345-V;CERRA;P.E. DE CERRATO S.L.;;;Active;;;ESB84299999;Production Responsible Party;X
18XCES-1234567-B;CES;COMERCIAL EÓLICA SUMINISTRO DE ENERGÍA S.L;;;Active;;;ESB86618709;Trade Responsible Party;X
18XCESCG-12345-5;CESCG;CLECE,DRAGADOS,SOCOIN ING Y CONST INDUST Y GAS NATURAL UTE;;;Active;;;ESU86018769;Production Responsible Party;X
18XCESDC-12345-V;CESDC;COMERCIALIZADORA ELECTRICA DE SOT DE CHERA S.L.;;;Active;;;ESB98220734;Trade Responsible Party;X
18XCESEN-1234-1A;CESEN;COMPAÑÍA DE EXPLOTACIONES ENERGÉTICAS, S.L.;;;Active;;;ESB61492203;Production Responsible Party;X
18XCESPA-1234--L;CESPA;PREZERO ESPAÑA, S.A.U.;;;Active;;;ESA82741067;Production Responsible Party;X
18XCESRE-1234--2;CESRE;CESPA GESTIÓN DE RESIDUOS S.A;;;Active;;;ESA59202861;Production Responsible Party;X
18XCESURENERGIA2;CESUL;COMERCIALIZADORA ELECTRICA DEL SURESTE;;;Active;;;ESB73748097;Trade Responsible Party;X
18XCETAG-1234-1S;CETA;COMPAÑÍA ENERGÉTICA PARA EL TABLERO, S.A.;;;Active;;;ESA82321068;Production Responsible Party;X
18XCETAL-12345-6;CETAL;COMERCIALIZADORA ELECTRICA TALAYUELAS S.L.;;;Active;;;ESB16322042;Trade Responsible Party;X
18XCETU-12345-1H;CETU;CERAMICA TUDELANA S.A.;;;Active;;;ESA31086671;Production Responsible Party;X
18XCEVAG-1234-16;CEVAG;CORPORACIÓN EOLICA  DE VALDIVIA, S.A.;;;Active;;;ESB82956707;Production Responsible Party;X
18XCEVI-12345-14;CEVI;CERAMICA VIVES, S.A.;;;Active;;;ESA12015541;Production Responsible Party;X
18XCEYRE-12345-T;CEYRE;CONTROL E INSPECCION REGLAMENTARIA SL;;;Active;;;ESB94053659;Trade Responsible Party;X
18XCEZAG--123-1S;CEZAG;CORPORACIÓN EÓLICA DE ZAMORA, S.L.;;;Active;;;ESB82368028;Production Responsible Party;X
18XCEZAR-12345-Y;CEZAR;Corporación Eólica de Zaragoza, S.L;;;Active;;;ESB81490484;Production Responsible Party;X
18XCGRVO-12345-Q;CGRVO;CONSORCI PER A LA GESTIO DE RESIDUS DEL VALLES ORIENTAL;;;Active;;;ESP5809509B;Production Responsible Party;X
18XCH4-1234567-H;CH4;METHANE LOGISTICS, S.L.;;;Active;;;ESB64741127;Trade Responsible Party;X
18XCHANG-12345-K;CHANG;CHANGOA, S.A.;;;Active;;;ESA31229842;Production Responsible Party;X
18XCHAPA-12345-H;CHAPA;SISTEMAS ENERGÉTICOS EL CHAPARRAL, S.A.U.;;;Active;;;ESA91335679;Production Responsible Party;X
18XCHC-1234567-3;CHC;CIDE HCENERGIA, S.A.;;;Active;;;ESA74255282;Trade Responsible Party;X
18XCHCOR-12345-0;CHCOR;CHC Comercializador de Referencia, S.L.U.;;;Active;;;ESB86986684;Trade Responsible Party;X
18XCHDUE-12345-9;CHDUE;Gnera Energia y Tecnologia SL;;;Active;;;ESQ4717001D;Production Responsible Party;X
18XCHERA-12345-R;CHERA;ELECTRICA DE SOT DE CHERA, SCV;;;Active;;;ESF46027298;Grid Access Provider;X
18XCHESA-12345-H;CHESA;CHESTE AGRARIA COOP.V.;;;Active;;;ESF96127949;Consumption Responsible Party;X
18XCHORT-12345-5;CHORT;FINCA EL CHORTAL S.A.;;;Active;;;ESA61080511;Consumption Responsible Party;X
18XCIATE-12345-3;CIATE;Compañía Industrial de Aplicaicones Termicas, S.A.;;;Active;;;ESA14079396;Production Responsible Party;X
18XCIDE-123456-T;CIDE;CIDE Asociación de Distribuidores;;;Active;;;ESG18038463;Grid Access Provider;X
18XCIEN-123456-2;CIEN;CIENER S.A.;;;Active;;;ESA48513071;Production Responsible Party;X
18XCIINT-12345-P;CIINT;CIRSA INTERACTIVE CORPORATION, S.L.;;;Active;;;ESB61818381;Consumption Responsible Party;X
18XCINCA-12345-T;CINCA;TRATAMIENTOS CINCA MEDIO, S.L.;;;Active;;;ESB84902832;Production Responsible Party;X
18XCINCO-12345-E;CINCO;MINICENTRALES ACEQUIA CINCO VILLAS, A.I.E.;;;Active;;;ESV50731611;Production Responsible Party;X
18XCINSG-1234-1E;CINSG;PARQUE EÓLICO CINSEIRO, S.L.;;;Active;;;ESB49199276;Production Responsible Party;X
18XCIPRI-12345-7;CIPRI;CIPRIANO MOLINA ALBERO, S.L.;;;Active;;;ESB03047586;Consumption Responsible Party;X
18XCIRO4-12345-U;CIRO4;INVERSIONES CIRO 4, S.L.;;;Active;;;ESB86249547;Trade Responsible Party;X
18XCIRSA-12345-A;CIRSA;CIRSA SERVICIOS CORPORATIVOS, SLU;;;Active;;;ESB25421199;Consumption Responsible Party;X
18XCISAB-12345-M;CISAB;CANAL DE ISABEL II;;;Active;;;ESQ2817017C;Production Responsible Party;X
18XCISAQ-12345-Z;CISAQ;CIRO SANCHEZ;;;Active;;;ES26030631J;Consumption Responsible Party;X
18XCIUDADJARDIN5;CJARD;APARTAMENTOS CIUDAD JARDIN SL;18XINGENIACONSUL;;Active;;;ESB35545433;Consumption Responsible Party;X
18XCIUREAL-12-1W;CIUREAL;PARQUES EÓLICOS DE CIUDAD REAL, S.A.;;;Active;;;ESB13374038;Production Responsible Party;X
18XCIVA--1234-10;CIVA;CITRICOS VALENCIANOS;;;Active;;;ESF96670393;Production Responsible Party;X
18XCIVER-12345-R;CIVER;NEOELECTRA SC CINCA VERDE S.L. UNIPERSONAL;;;Active;;;ESB66445255;Production Responsible Party;X
18XCJVIL-12345-T;CJVIL;Cogeneracion J. Vilaseca AIE;;;Active;;;ESG60947298;Production Responsible Party;X
18XCLADA-12345-F;CLADA;CLADA SLU;;;Active;;;ESB32376428;Consumption Responsible Party;X
18XCLARI-12345-P;CLARI;CLARIANA, S.A.;;;Active;;;ESA46034591;Production Responsible Party;X
18XCLECE-12345-J;CLECE;CLECE S.A.;;;Active;;;ESA80364243;Trade Responsible Party;X
18XCLICA-12345-B;CLICA;COMIOLICA, S.L.;;;Active;;;ESB25447202;Production Responsible Party;X
18XCLIDM-12345-4;CLIDM;HOLALUZ-CLIDOM, S.A.;;;Active;;;ESA65445033;Trade Responsible Party;X
18XCLLUT-12345-Y;CLLUT;COOPERATIVA DEL CAMP DE LLUTXENT OTOS;;;Active;;;ESF46026084;Consumption Responsible Party;X
18XCLSFC-12345-1;CLSFC;Clínica San Francisco, S.L.;;;Active;;;ESB24518367;Consumption Responsible Party;X
18XCLUBNSANTAOLL;NSO;club natación santa olaya;;;Active;;;ESG33619214;Consumption Responsible Party;X
18XCMH-123456-1J;CMH;CERAMICA MILLAS HIJOS, S.A.;;;Active;;;ESA45036241;Production Responsible Party;X
18XCMMH-123456-0;CMMH;COMUNIDAD DE BIENES CORTIJO LOS MIMBRALES;;;Active;;;ESE21006176;Consumption Responsible Party;X
18XCMORE-12345-6;CMORE;MOLINOS DEL CERRO MORENO, S.L.;;;Active;;;ESB45534245;Production Responsible Party;X
18XCMORO-12345-R;CMORO;PARC EOLIC COLL DEL MORO SLU;;;Active;;;ESB17575705;Production Responsible Party;X
18XCMT-123456-1Z;CMT;COGENERACIÓN MOTRIL, S.A.;;;Active;;;ESA41797408;Production Responsible Party;X
18XCNDER-12345-H;CNDER;FUNDACION CENER-CIEMAT;;;Active;;;ESG31679889;Production Responsible Party;X
18XCNEGR-12345-N;CNEGR;SISTEMAS ENERGÉTICOS CABEZO NEGRO, S.A.;;;Active;;;ESA99141913;Production Responsible Party;X
18XCNTS--1234-30;CNTS;ELECTRADISTRIBUCIÓ CENTELLES S.L.U.;;;Active;;;ESB62418983;Trade Responsible Party;X
18XCOA-1234567-F;COA;COA ENERGY;;;Active;;;ESB87333001;Trade Responsible Party;X
18XCOAL-12345-1B;COAL;COGENERACIÓN DE ALCALÁ A.I.E.;;;Active;;;ESG81904377;Production Responsible Party;X
