EicCode;EicDisplayName;EicLongName;EicParent;EicResponsibleParty;EicStatus;MarketParticipantPostalCode;MarketParticipantIsoCountryCode;MarketParticipantVatCode;EicTypeFunctionList;type
10XCS-SERBIATSO8;EMSTSO;JP Elektromreža Srbije;;;Active;11000;;103921661;Market Operator,System Operator;X
10XCZ-CEPS-GRIDE;CEPS;ČEPS, a.s.;;;Active;101 52;CZ;CZ25702556;System Operator;X
10XDE-ENBW--TNGX;DE-TRANSNETBWTSO;TransnetBW GmbH;;;Active;70173;DE;DE191008872;System Operator;X
10XDE-EON-NETZ-C;TTG_DE;TenneT TSO GmbH;;;Active;95448;;DE815073514;System Operator;X
10XDE-RWENET---W;DE-AMPRION-TSO;Amprion GmbH;;;Active;D-50259;DE;DE813761356;System Operator;X
10XDE-VE-TRANSMK;50HERTZ_DE_TSO;50Hertz Transmission GmbH;;;Active;10557;DE;DE813473551;Balance Responsible Party,System Operator;X
10XES-REE------E;REE;Red Eléctrica de España S.A.U.;;;Active;28109;ES;ESA85309219;System Operator;X
10XFR-RTE------Q;RTE;Réseau de Transport d'Electricité (RTE);;;Active;92919;FR;FR19444619258;System Operator;X
26X00000105793-3;IT-LIGHT_ENERGYS;LIGHT ENERGY;;;Active;;;IT06616800964;Market Operator;X
10XGR-HTSO-----B;ADMIE;Independent Power Transmission Operator S.A.;;;Active;10443;GR;EL099877486;System Operator;X
10XHR-HEP-OPS--A;HOPS;Croatian Transmission System Operator Plc.;;;Active;10000;HR;HR13148821633;System Operator;X
10XMK-MEPSO----M;AD_MEPSO;MEPSO - Operator na elektroprenosniot sistem na Makedonija. AD. vo dr;;;Active;1000;MK;MK403000452960;System Operator;X
10XNITSO-12345-O;SONI;System Operator Northern Ireland Ltd;;;Active;BT6 9RT;GB;GB945676869;System Operator;X
10XPL-TSO------P;PSE;Polskie Sieci Elektroenergetyczne Spółka Akcyjna;;;Active;05-520;PL;PL5262748966;System Operator;X
10XPT-REN------9;REN;Rede Eléctrica Nacional, S.A;;;Active;1749-061;PT;PT507866673;System Operator;X
10XRKS-KOSTT-007;KOSOVA-TSMO;KOSTT JSC;;;Active;10000;UN;;System Operator;X
10XRO-TEL------2;TEL;CNTEE TRANSELECTRICA SA;;;Active;RO-030236;RO;RO13328043;System Operator;X
10XSI-ELES-----1;ELES;ELES, d.o.o.;;;Active;1000;SI;SI20874731;System Operator;X
10XSK-SEPS-GRIDB;SEPS;SLOVENSKA ELEKTRIZACNA PRENOSOVA SUSTAVA a.s.;;;Active;824 84;SK;SK2020261342;System Operator;X
10XTR-TEIAS----9;TEIAS;TEIAS (TURKISH ELECTRICITY TRANSMISSION CORPORATION);;;Active;06100;TR;8790304314;System Operator;X
10XUA-WPS------K;UA_WPS;UKRENERGO, WESTERN POWER SYSTEM;;;Active;790011;UA;20851817;System Operator;X
11X0-0000-0075-3;WIK;Iberdrola Renovables Deutschland GmbH;;;Active;;;DE271596416;Producer;X
11X0-0000-0112-V;FRITZWAHR;Fritz Wahr Energie GmbH;;;Active;;;DE281812148;Balance Responsible Party;X
11X0-0000-0122-R;ENERGY4U;energy4u GmbH & Co. KG;;;Active;;;DE312447492;Balance Responsible Party;X
11X0-0000-0170-D;COWAXGMBH;Cowax GmbH;;;Active;;;DE814683776;Capacity Trader;X
11X0-0000-0171-A;ENERGY_FACTORY;EnBW Energy Factory GmbH;;;Active;;;DE263309375;Balance Responsible Party;X
11X0-0000-0173-4;SWWITTEN-LIEF;Stadtwerke Witten GmbH;;;Active;;;DE812658174;Balance Responsible Party;X
11X0-0000-0204-O;CC-MCAY-ST;Castleton Commodities Merchant Cayman Ltd;;;Active;;;NONE;Balance Responsible Party;X
