"Time (CET/CEST)","BZN|SE3 > BZN|NO1 [MW]","BZN|NO1 > BZN|SE3 [MW]"
"19.03.2025 00:00 - 19.03.2025 01:00","849","0"
"19.03.2025 01:00 - 19.03.2025 02:00","779","0"
"19.03.2025 02:00 - 19.03.2025 03:00","723","0"
"19.03.2025 03:00 - 19.03.2025 04:00","719","0"
"19.03.2025 04:00 - 19.03.2025 05:00","747","0"
"19.03.2025 05:00 - 19.03.2025 06:00","355","0"
"19.03.2025 06:00 - 19.03.2025 07:00","55","0"
"19.03.2025 07:00 - 19.03.2025 08:00","81","0"
"19.03.2025 08:00 - 19.03.2025 09:00","159","0"
"19.03.2025 09:00 - 19.03.2025 10:00","199","0"
"19.03.2025 10:00 - 19.03.2025 11:00","1528","0"
"19.03.2025 11:00 - 19.03.2025 12:00","1919","0"
"19.03.2025 12:00 - 19.03.2025 13:00","1924","0"
"19.03.2025 13:00 - 19.03.2025 14:00","1861","0"
"19.03.2025 14:00 - 19.03.2025 15:00","1726","0"
"19.03.2025 15:00 - 19.03.2025 16:00","312","0"
"19.03.2025 16:00 - 19.03.2025 17:00","72","0"
"19.03.2025 17:00 - 19.03.2025 18:00","0","688"
"19.03.2025 18:00 - 19.03.2025 19:00","0","742"
"19.03.2025 19:00 - 19.03.2025 20:00","0","366"
"19.03.2025 20:00 - 19.03.2025 21:00","0","17"
"19.03.2025 21:00 - 19.03.2025 22:00","355","0"
"19.03.2025 22:00 - 19.03.2025 23:00","328","0"
"19.03.2025 23:00 - 20.03.2025 00:00","361","0"
