"Time (CET/CEST)","BZN|SE3 > BZN|NO1 [MW]","BZN|NO1 > BZN|SE3 [MW]"
"26.03.2025 00:00 - 26.03.2025 01:00","206","0"
"26.03.2025 01:00 - 26.03.2025 02:00","275","0"
"26.03.2025 02:00 - 26.03.2025 03:00","243","0"
"26.03.2025 03:00 - 26.03.2025 04:00","353","0"
"26.03.2025 04:00 - 26.03.2025 05:00","393","0"
"26.03.2025 05:00 - 26.03.2025 06:00","423","0"
"26.03.2025 06:00 - 26.03.2025 07:00","143","0"
"26.03.2025 07:00 - 26.03.2025 08:00","0","208"
"26.03.2025 08:00 - 26.03.2025 09:00","93","0"
"26.03.2025 09:00 - 26.03.2025 10:00","582","0"
"26.03.2025 10:00 - 26.03.2025 11:00","595","0"
"26.03.2025 11:00 - 26.03.2025 12:00","522","0"
"26.03.2025 12:00 - 26.03.2025 13:00","491","0"
"26.03.2025 13:00 - 26.03.2025 14:00","540","0"
"26.03.2025 14:00 - 26.03.2025 15:00","458","0"
"26.03.2025 15:00 - 26.03.2025 16:00","240","0"
"26.03.2025 16:00 - 26.03.2025 17:00","116","0"
"26.03.2025 17:00 - 26.03.2025 18:00","0","896"
"26.03.2025 18:00 - 26.03.2025 19:00","0","986"
"26.03.2025 19:00 - 26.03.2025 20:00","0","1187"
"26.03.2025 20:00 - 26.03.2025 21:00","0","1038"
"26.03.2025 21:00 - 26.03.2025 22:00","0","770"
"26.03.2025 22:00 - 26.03.2025 23:00","0","87"
"26.03.2025 23:00 - 27.03.2025 00:00","85","0"
