"Time (CET/CEST)","BZN|SE3 > BZN|NO1 [MW]","BZN|NO1 > BZN|SE3 [MW]"
"24.03.2025 00:00 - 24.03.2025 01:00","885","0"
"24.03.2025 01:00 - 24.03.2025 02:00","867","0"
"24.03.2025 02:00 - 24.03.2025 03:00","828","0"
"24.03.2025 03:00 - 24.03.2025 04:00","610","0"
"24.03.2025 04:00 - 24.03.2025 05:00","322","0"
"24.03.2025 05:00 - 24.03.2025 06:00","0","158"
"24.03.2025 06:00 - 24.03.2025 07:00","0","578"
"24.03.2025 07:00 - 24.03.2025 08:00","0","425"
"24.03.2025 08:00 - 24.03.2025 09:00","0","365"
"24.03.2025 09:00 - 24.03.2025 10:00","0","124"
"24.03.2025 10:00 - 24.03.2025 11:00","0","33"
"24.03.2025 11:00 - 24.03.2025 12:00","82","0"
"24.03.2025 12:00 - 24.03.2025 13:00","9","0"
"24.03.2025 13:00 - 24.03.2025 14:00","0","13"
"24.03.2025 14:00 - 24.03.2025 15:00","150","0"
"24.03.2025 15:00 - 24.03.2025 16:00","0","78"
"24.03.2025 16:00 - 24.03.2025 17:00","0","823"
"24.03.2025 17:00 - 24.03.2025 18:00","0","1027"
"24.03.2025 18:00 - 24.03.2025 19:00","0","1094"
"24.03.2025 19:00 - 24.03.2025 20:00","0","1026"
"24.03.2025 20:00 - 24.03.2025 21:00","0","352"
"24.03.2025 21:00 - 24.03.2025 22:00","61","0"
"24.03.2025 22:00 - 24.03.2025 23:00","476","0"
"24.03.2025 23:00 - 25.03.2025 00:00","897","0"
