"Time (CET/CEST)","BZN|NO2 > BZN|NO1 [MW]","BZN|NO1 > BZN|NO2 [MW]"
"29.03.2025 00:00 - 29.03.2025 00:15","0","1587"
"29.03.2025 00:15 - 29.03.2025 00:30","0","1551"
"29.03.2025 00:30 - 29.03.2025 00:45","0","1519"
"29.03.2025 00:45 - 29.03.2025 01:00","0","1476"
"29.03.2025 01:00 - 29.03.2025 01:15","0","1425"
"29.03.2025 01:15 - 29.03.2025 01:30","0","1400"
"29.03.2025 01:30 - 29.03.2025 01:45","0","1394"
"29.03.2025 01:45 - 29.03.2025 02:00","0","1467"
"29.03.2025 02:00 - 29.03.2025 02:15","0","1398"
"29.03.2025 02:15 - 29.03.2025 02:30","0","1453"
"29.03.2025 02:30 - 29.03.2025 02:45","0","1516"
"29.03.2025 02:45 - 29.03.2025 03:00","0","1396"
"29.03.2025 03:00 - 29.03.2025 03:15","0","1412"
"29.03.2025 03:15 - 29.03.2025 03:30","0","1428"
"29.03.2025 03:30 - 29.03.2025 03:45","0","1451"
"29.03.2025 03:45 - 29.03.2025 04:00","0","1483"
"29.03.2025 04:00 - 29.03.2025 04:15","0","1619"
"29.03.2025 04:15 - 29.03.2025 04:30","0","1581"
"29.03.2025 04:30 - 29.03.2025 04:45","0","1599"
"29.03.2025 04:45 - 29.03.2025 05:00","0","1641"
"29.03.2025 05:00 - 29.03.2025 05:15","0","1603"
"29.03.2025 05:15 - 29.03.2025 05:30","0","1556"
"29.03.2025 05:30 - 29.03.2025 05:45","0","1536"
"29.03.2025 05:45 - 29.03.2025 06:00","0","1483"
"29.03.2025 06:00 - 29.03.2025 06:15","0","1640"
"29.03.2025 06:15 - 29.03.2025 06:30","0","1698"
"29.03.2025 06:30 - 29.03.2025 06:45","0","1753"
"29.03.2025 06:45 - 29.03.2025 07:00","0","1706"
"29.03.2025 07:00 - 29.03.2025 07:15","0","1707"
"29.03.2025 07:15 - 29.03.2025 07:30","0","1755"
"29.03.2025 07:30 - 29.03.2025 07:45","0","1701"
"29.03.2025 07:45 - 29.03.2025 08:00","0","1668"
"29.03.2025 08:00 - 29.03.2025 08:15","0","1731"
"29.03.2025 08:15 - 29.03.2025 08:30","0","1758"
"29.03.2025 08:30 - 29.03.2025 08:45","0","1753"
"29.03.2025 08:45 - 29.03.2025 09:00","0","1660"
"29.03.2025 09:00 - 29.03.2025 09:15","0","1735"
"29.03.2025 09:15 - 29.03.2025 09:30","0","1648"
"29.03.2025 09:30 - 29.03.2025 09:45","0","1530"
"29.03.2025 09:45 - 29.03.2025 10:00","0","1452"
"29.03.2025 10:00 - 29.03.2025 10:15","0","1423"
"29.03.2025 10:15 - 29.03.2025 10:30","0","1275"
"29.03.2025 10:30 - 29.03.2025 10:45","0","1163"
"29.03.2025 10:45 - 29.03.2025 11:00","0","1024"
"29.03.2025 11:00 - 29.03.2025 11:15","0","1160"
"29.03.2025 11:15 - 29.03.2025 11:30","0","1312"
"29.03.2025 11:30 - 29.03.2025 11:45","0","1183"
"29.03.2025 11:45 - 29.03.2025 12:00","0","1218"
"29.03.2025 12:00 - 29.03.2025 12:15","0","1389"
"29.03.2025 12:15 - 29.03.2025 12:30","0","1318"
"29.03.2025 12:30 - 29.03.2025 12:45","0","1113"
"29.03.2025 12:45 - 29.03.2025 13:00","0","1063"
"29.03.2025 13:00 - 29.03.2025 13:15","0","870"
