"Time (CET/CEST)","BZN|NO5 > BZN|NO1 [MW]","BZN|NO1 > BZN|NO5 [MW]"
"20.03.2025 00:00 - 20.03.2025 00:15","2443","0"
"20.03.2025 00:15 - 20.03.2025 00:30","2428","0"
"20.03.2025 00:30 - 20.03.2025 00:45","2436","0"
"20.03.2025 00:45 - 20.03.2025 01:00","2413","0"
"20.03.2025 01:00 - 20.03.2025 01:15","2401","0"
"20.03.2025 01:15 - 20.03.2025 01:30","2333","0"
"20.03.2025 01:30 - 20.03.2025 01:45","2291","0"
"20.03.2025 01:45 - 20.03.2025 02:00","2225","0"
"20.03.2025 02:00 - 20.03.2025 02:15","2230","0"
"20.03.2025 02:15 - 20.03.2025 02:30","2234","0"
"20.03.2025 02:30 - 20.03.2025 02:45","2293","0"
"20.03.2025 02:45 - 20.03.2025 03:00","2301","0"
"20.03.2025 03:00 - 20.03.2025 03:15","2262","0"
"20.03.2025 03:15 - 20.03.2025 03:30","2220","0"
"20.03.2025 03:30 - 20.03.2025 03:45","2182","0"
"20.03.2025 03:45 - 20.03.2025 04:00","2163","0"
"20.03.2025 04:00 - 20.03.2025 04:15","2120","0"
"20.03.2025 04:15 - 20.03.2025 04:30","2201","0"
"20.03.2025 04:30 - 20.03.2025 04:45","2242","0"
"20.03.2025 04:45 - 20.03.2025 05:00","2255","0"
"20.03.2025 05:00 - 20.03.2025 05:15","1857","0"
"20.03.2025 05:15 - 20.03.2025 05:30","1819","0"
"20.03.2025 05:30 - 20.03.2025 05:45","1869","0"
"20.03.2025 05:45 - 20.03.2025 06:00","2007","0"
"20.03.2025 06:00 - 20.03.2025 06:15","2233","0"
"20.03.2025 06:15 - 20.03.2025 06:30","2299","0"
"20.03.2025 06:30 - 20.03.2025 06:45","2357","0"
"20.03.2025 06:45 - 20.03.2025 07:00","2430","0"
"20.03.2025 07:00 - 20.03.2025 07:15","2546","0"
"20.03.2025 07:15 - 20.03.2025 07:30","2675","0"
"20.03.2025 07:30 - 20.03.2025 07:45","2771","0"
"20.03.2025 07:45 - 20.03.2025 08:00","2737","0"
"20.03.2025 08:00 - 20.03.2025 08:15","2518","0"
