"Time (CET/CEST)","BZN|NO2 > BZN|NO1 [MW]","BZN|NO1 > BZN|NO2 [MW]"
"20.03.2025 00:00 - 20.03.2025 00:15","0","1163"
"20.03.2025 00:15 - 20.03.2025 00:30","0","1062"
"20.03.2025 00:30 - 20.03.2025 00:45","0","1133"
"20.03.2025 00:45 - 20.03.2025 01:00","0","1103"
"20.03.2025 01:00 - 20.03.2025 01:15","0","1196"
"20.03.2025 01:15 - 20.03.2025 01:30","0","1234"
"20.03.2025 01:30 - 20.03.2025 01:45","0","1229"
"20.03.2025 01:45 - 20.03.2025 02:00","0","1159"
"20.03.2025 02:00 - 20.03.2025 02:15","0","1134"
"20.03.2025 02:15 - 20.03.2025 02:30","0","1086"
"20.03.2025 02:30 - 20.03.2025 02:45","0","1165"
"20.03.2025 02:45 - 20.03.2025 03:00","0","1186"
"20.03.2025 03:00 - 20.03.2025 03:15","0","1201"
"20.03.2025 03:15 - 20.03.2025 03:30","0","1290"
"20.03.2025 03:30 - 20.03.2025 03:45","0","1302"
"20.03.2025 03:45 - 20.03.2025 04:00","0","1331"
"20.03.2025 04:00 - 20.03.2025 04:15","0","1240"
"20.03.2025 04:15 - 20.03.2025 04:30","0","1183"
"20.03.2025 04:30 - 20.03.2025 04:45","0","1162"
"20.03.2025 04:45 - 20.03.2025 05:00","0","1191"
"20.03.2025 05:00 - 20.03.2025 05:15","0","905"
"20.03.2025 05:15 - 20.03.2025 05:30","0","827"
"20.03.2025 05:30 - 20.03.2025 05:45","0","813"
"20.03.2025 05:45 - 20.03.2025 06:00","0","783"
"20.03.2025 06:00 - 20.03.2025 06:15","0","264"
"20.03.2025 06:15 - 20.03.2025 06:30","0","131"
"20.03.2025 06:30 - 20.03.2025 06:45","0","194"
"20.03.2025 06:45 - 20.03.2025 07:00","0","125"
"20.03.2025 07:00 - 20.03.2025 07:15","0","170"
"20.03.2025 07:15 - 20.03.2025 07:30","0","201"
"20.03.2025 07:30 - 20.03.2025 07:45","0","156"
"20.03.2025 07:45 - 20.03.2025 08:00","0","93"
"20.03.2025 08:00 - 20.03.2025 08:15","0","551"
"20.03.2025 08:15 - 20.03.2025 08:30","0","585"
"20.03.2025 08:30 - 20.03.2025 08:45","0","514"
"20.03.2025 08:45 - 20.03.2025 09:00","0","437"
"20.03.2025 09:00 - 20.03.2025 09:15","0","783"
"20.03.2025 09:15 - 20.03.2025 09:30","0","827"
"20.03.2025 09:30 - 20.03.2025 09:45","0","827"
"20.03.2025 09:45 - 20.03.2025 10:00","0","892"
"20.03.2025 10:00 - 20.03.2025 10:15","0","1311"
"20.03.2025 10:15 - 20.03.2025 10:30","0","1194"
"20.03.2025 10:30 - 20.03.2025 10:45","0","856"
"20.03.2025 10:45 - 20.03.2025 11:00","0","657"
"20.03.2025 11:00 - 20.03.2025 11:15","0","889"
"20.03.2025 11:15 - 20.03.2025 11:30","0","999"
"20.03.2025 11:30 - 20.03.2025 11:45","0","994"
"20.03.2025 11:45 - 20.03.2025 12:00","0","946"
"20.03.2025 12:00 - 20.03.2025 12:15","0","859"
"20.03.2025 12:15 - 20.03.2025 12:30","0","723"
"20.03.2025 12:30 - 20.03.2025 12:45","0","506"
"20.03.2025 12:45 - 20.03.2025 13:00","0","633"
"20.03.2025 13:00 - 20.03.2025 13:15","0","532"
"20.03.2025 13:15 - 20.03.2025 13:30","0","476"
"20.03.2025 13:30 - 20.03.2025 13:45","0","417"
"20.03.2025 13:45 - 20.03.2025 14:00","0","607"
