"Time (CET/CEST)","BZN|SE3 > BZN|NO1 [MW]","BZN|NO1 > BZN|SE3 [MW]"
"08.03.2025 00:00 - 08.03.2025 01:00","681","0"
"08.03.2025 01:00 - 08.03.2025 02:00","602","0"
"08.03.2025 02:00 - 08.03.2025 03:00","606","0"
"08.03.2025 03:00 - 08.03.2025 04:00","608","0"
"08.03.2025 04:00 - 08.03.2025 05:00","769","0"
"08.03.2025 05:00 - 08.03.2025 06:00","534","0"
"08.03.2025 06:00 - 08.03.2025 07:00","608","0"
"08.03.2025 07:00 - 08.03.2025 08:00","363","0"
"08.03.2025 08:00 - 08.03.2025 09:00","318","0"
"08.03.2025 09:00 - 08.03.2025 10:00","620","0"
"08.03.2025 10:00 - 08.03.2025 11:00","1955","0"
"08.03.2025 11:00 - 08.03.2025 12:00","1965","0"
"08.03.2025 12:00 - 08.03.2025 13:00","1644","0"
"08.03.2025 13:00 - 08.03.2025 14:00","1893","0"
"08.03.2025 14:00 - 08.03.2025 15:00","1731","0"
"08.03.2025 15:00 - 08.03.2025 16:00","0","151"
"08.03.2025 16:00 - 08.03.2025 17:00","0","778"
"08.03.2025 17:00 - 08.03.2025 18:00","0","1278"
"08.03.2025 18:00 - 08.03.2025 19:00","0","1300"
"08.03.2025 19:00 - 08.03.2025 20:00","0","1322"
"08.03.2025 20:00 - 08.03.2025 21:00","0","1158"
"08.03.2025 21:00 - 08.03.2025 22:00","0","792"
"08.03.2025 22:00 - 08.03.2025 23:00","0","468"
"08.03.2025 23:00 - 09.03.2025 00:00","0","335"
