"Time (CET/CEST)","BZN|SE3 > BZN|NO1 [MW]","BZN|NO1 > BZN|SE3 [MW]"
"01.03.2025 00:00 - 01.03.2025 01:00","79","0"
"01.03.2025 01:00 - 01.03.2025 02:00","539","0"
"01.03.2025 02:00 - 01.03.2025 03:00","617","0"
"01.03.2025 03:00 - 01.03.2025 04:00","565","0"
"01.03.2025 04:00 - 01.03.2025 05:00","463","0"
"01.03.2025 05:00 - 01.03.2025 06:00","478","0"
"01.03.2025 06:00 - 01.03.2025 07:00","305","0"
"01.03.2025 07:00 - 01.03.2025 08:00","142","0"
"01.03.2025 08:00 - 01.03.2025 09:00","0","359"
"01.03.2025 09:00 - 01.03.2025 10:00","0","520"
"01.03.2025 10:00 - 01.03.2025 11:00","0","38"
"01.03.2025 11:00 - 01.03.2025 12:00","264","0"
"01.03.2025 12:00 - 01.03.2025 13:00","534","0"
"01.03.2025 13:00 - 01.03.2025 14:00","926","0"
"01.03.2025 14:00 - 01.03.2025 15:00","1028","0"
"01.03.2025 15:00 - 01.03.2025 16:00","1239","0"
"01.03.2025 16:00 - 01.03.2025 17:00","1252","0"
"01.03.2025 17:00 - 01.03.2025 18:00","709","0"
"01.03.2025 18:00 - 01.03.2025 19:00","829","0"
"01.03.2025 19:00 - 01.03.2025 20:00","1335","0"
"01.03.2025 20:00 - 01.03.2025 21:00","1633","0"
"01.03.2025 21:00 - 01.03.2025 22:00","1929","0"
"01.03.2025 22:00 - 01.03.2025 23:00","1845","0"
"01.03.2025 23:00 - 02.03.2025 00:00","1813","0"
