"Time (CET/CEST)","BZN|SE3 > BZN|NO1 [MW]","BZN|NO1 > BZN|SE3 [MW]"
"04.03.2025 00:00 - 04.03.2025 01:00","1825","0"
"04.03.2025 01:00 - 04.03.2025 02:00","1735","0"
"04.03.2025 02:00 - 04.03.2025 03:00","1737","0"
"04.03.2025 03:00 - 04.03.2025 04:00","1758","0"
"04.03.2025 04:00 - 04.03.2025 05:00","1757","0"
"04.03.2025 05:00 - 04.03.2025 06:00","1461","0"
"04.03.2025 06:00 - 04.03.2025 07:00","1620","0"
"04.03.2025 07:00 - 04.03.2025 08:00","1767","0"
"04.03.2025 08:00 - 04.03.2025 09:00","1882","0"
"04.03.2025 09:00 - 04.03.2025 10:00","2037","0"
"04.03.2025 10:00 - 04.03.2025 11:00","2054","0"
"04.03.2025 11:00 - 04.03.2025 12:00","1660","0"
"04.03.2025 12:00 - 04.03.2025 13:00","1713","0"
"04.03.2025 13:00 - 04.03.2025 14:00","1650","0"
"04.03.2025 14:00 - 04.03.2025 15:00","1742","0"
"04.03.2025 15:00 - 04.03.2025 16:00","1759","0"
"04.03.2025 16:00 - 04.03.2025 17:00","1870","0"
"04.03.2025 17:00 - 04.03.2025 18:00","1417","0"
"04.03.2025 18:00 - 04.03.2025 19:00","1618","0"
"04.03.2025 19:00 - 04.03.2025 20:00","1796","0"
"04.03.2025 20:00 - 04.03.2025 21:00","2056","0"
"04.03.2025 21:00 - 04.03.2025 22:00","2073","0"
"04.03.2025 22:00 - 04.03.2025 23:00","1865","0"
"04.03.2025 23:00 - 05.03.2025 00:00","1857","0"
