"Time (CET/CEST)","BZN|NO5 > BZN|NO1 [MW]","BZN|NO1 > BZN|NO5 [MW]"
"19.03.2025 00:00 - 19.03.2025 00:15","1877","0"
"19.03.2025 00:15 - 19.03.2025 00:30","1888","0"
"19.03.2025 00:30 - 19.03.2025 00:45","1955","0"
"19.03.2025 00:45 - 19.03.2025 01:00","1926","0"
"19.03.2025 01:00 - 19.03.2025 01:15","1892","0"
"19.03.2025 01:15 - 19.03.2025 01:30","1949","0"
"19.03.2025 01:30 - 19.03.2025 01:45","1901","0"
"19.03.2025 01:45 - 19.03.2025 02:00","1821","0"
"19.03.2025 02:00 - 19.03.2025 02:15","1875","0"
"19.03.2025 02:15 - 19.03.2025 02:30","1927","0"
"19.03.2025 02:30 - 19.03.2025 02:45","1943","0"
"19.03.2025 02:45 - 19.03.2025 03:00","1968","0"
"19.03.2025 03:00 - 19.03.2025 03:15","1987","0"
"19.03.2025 03:15 - 19.03.2025 03:30","1912","0"
"19.03.2025 03:30 - 19.03.2025 03:45","1922","0"
"19.03.2025 03:45 - 19.03.2025 04:00","1981","0"
"19.03.2025 04:00 - 19.03.2025 04:15","2020","0"
"19.03.2025 04:15 - 19.03.2025 04:30","1923","0"
"19.03.2025 04:30 - 19.03.2025 04:45","1930","0"
"19.03.2025 04:45 - 19.03.2025 05:00","2003","0"
"19.03.2025 05:00 - 19.03.2025 05:15","2096","0"
"19.03.2025 05:15 - 19.03.2025 05:30","2186","0"
"19.03.2025 05:30 - 19.03.2025 05:45","2285","0"
"19.03.2025 05:45 - 19.03.2025 06:00","2358","0"
"19.03.2025 06:00 - 19.03.2025 06:15","2322","0"
"19.03.2025 06:15 - 19.03.2025 06:30","2439","0"
"19.03.2025 06:30 - 19.03.2025 06:45","2492","0"
"19.03.2025 06:45 - 19.03.2025 07:00","2663","0"
"19.03.2025 07:00 - 19.03.2025 07:15","2635","0"
"19.03.2025 07:15 - 19.03.2025 07:30","2736","0"
"19.03.2025 07:30 - 19.03.2025 07:45","2753","0"
"19.03.2025 07:45 - 19.03.2025 08:00","2838","0"
"19.03.2025 08:00 - 19.03.2025 08:15","2693","0"
"19.03.2025 08:15 - 19.03.2025 08:30","2667","0"
"19.03.2025 08:30 - 19.03.2025 08:45","2601","0"
"19.03.2025 08:45 - 19.03.2025 09:00","2496","0"
"19.03.2025 09:00 - 19.03.2025 09:15","2505","0"
"19.03.2025 09:15 - 19.03.2025 09:30","2491","0"
"19.03.2025 09:30 - 19.03.2025 09:45","2422","0"
"19.03.2025 09:45 - 19.03.2025 10:00","2159","0"
"19.03.2025 10:00 - 19.03.2025 10:15","1466","0"
"19.03.2025 10:15 - 19.03.2025 10:30","1198","0"
"19.03.2025 10:30 - 19.03.2025 10:45","1079","0"
"19.03.2025 10:45 - 19.03.2025 11:00","955","0"
"19.03.2025 11:00 - 19.03.2025 11:15","917","0"
"19.03.2025 11:15 - 19.03.2025 11:30","953","0"
"19.03.2025 11:30 - 19.03.2025 11:45","946","0"
"19.03.2025 11:45 - 19.03.2025 12:00","842","0"
"19.03.2025 12:00 - 19.03.2025 12:15","858","0"
"19.03.2025 12:15 - 19.03.2025 12:30","780","0"
"19.03.2025 12:30 - 19.03.2025 12:45","755","0"
"19.03.2025 12:45 - 19.03.2025 13:00","729","0"
"19.03.2025 13:00 - 19.03.2025 13:15","755","0"
"19.03.2025 13:15 - 19.03.2025 13:30","747","0"
"19.03.2025 13:30 - 19.03.2025 13:45","743","0"
"19.03.2025 13:45 - 19.03.2025 14:00","805","0"
"19.03.2025 14:00 - 19.03.2025 14:15","759","0"
"19.03.2025 14:15 - 19.03.2025 14:30","796","0"
"19.03.2025 14:30 - 19.03.2025 14:45","871","0"
"19.03.2025 14:45 - 19.03.2025 15:00","974","0"
"19.03.2025 15:00 - 19.03.2025 15:15","1597","0"
"19.03.2025 15:15 - 19.03.2025 15:30","2124","0"
"19.03.2025 15:30 - 19.03.2025 15:45","2144","0"
"19.03.2025 15:45 - 19.03.2025 16:00","2179","0"
"19.03.2025 16:00 - 19.03.2025 16:15","1679","0"
"19.03.2025 16:15 - 19.03.2025 16:30","1619","0"
"19.03.2025 16:30 - 19.03.2025 16:45","1667","0"
"19.03.2025 16:45 - 19.03.2025 17:00","1781","0"
"19.03.2025 17:00 - 19.03.2025 17:15","2346","0"
"19.03.2025 17:15 - 19.03.2025 17:30","2543","0"
"19.03.2025 17:30 - 19.03.2025 17:45","2595","0"
"19.03.2025 17:45 - 19.03.2025 18:00","2600","0"
"19.03.2025 18:00 - 19.03.2025 18:15","2604","0"
"19.03.2025 18:15 - 19.03.2025 18:30","2600","0"
"19.03.2025 18:30 - 19.03.2025 18:45","2570","0"
"19.03.2025 18:45 - 19.03.2025 19:00","2569","0"
"19.03.2025 19:00 - 19.03.2025 19:15","2562","0"
"19.03.2025 19:15 - 19.03.2025 19:30","2515","0"
"19.03.2025 19:30 - 19.03.2025 19:45","2480","0"
"19.03.2025 19:45 - 19.03.2025 20:00","2534","0"
"19.03.2025 20:00 - 19.03.2025 20:15","2445","0"
"19.03.2025 20:15 - 19.03.2025 20:30","2395","0"
"19.03.2025 20:30 - 19.03.2025 20:45","2359","0"
"19.03.2025 20:45 - 19.03.2025 21:00","2278","0"
"19.03.2025 21:00 - 19.03.2025 21:15","2126","0"
"19.03.2025 21:15 - 19.03.2025 21:30","2160","0"
