"Time (CET/CEST)","BZN|NO5 > BZN|NO1 [MW]","BZN|NO1 > BZN|NO5 [MW]"
"31.03.2025 00:00 - 31.03.2025 00:15","1439","0"
"31.03.2025 00:15 - 31.03.2025 00:30","1376","0"
"31.03.2025 00:30 - 31.03.2025 00:45","1423","0"
"31.03.2025 00:45 - 31.03.2025 01:00","1408","0"
"31.03.2025 01:00 - 31.03.2025 01:15","1374","0"
"31.03.2025 01:15 - 31.03.2025 01:30","1425","0"
"31.03.2025 01:30 - 31.03.2025 01:45","1355","0"
"31.03.2025 01:45 - 31.03.2025 02:00","1335","0"
"31.03.2025 02:00 - 31.03.2025 02:15","1238","0"
"31.03.2025 02:15 - 31.03.2025 02:30","1277","0"
"31.03.2025 02:30 - 31.03.2025 02:45","1268","0"
"31.03.2025 02:45 - 31.03.2025 03:00","1195","0"
"31.03.2025 03:00 - 31.03.2025 03:15","1101","0"
"31.03.2025 03:15 - 31.03.2025 03:30","1050","0"
"31.03.2025 03:30 - 31.03.2025 03:45","981","0"
"31.03.2025 03:45 - 31.03.2025 04:00","1027","0"
"31.03.2025 04:00 - 31.03.2025 04:15","1203","0"
"31.03.2025 04:15 - 31.03.2025 04:30","1294","0"
"31.03.2025 04:30 - 31.03.2025 04:45","1260","0"
"31.03.2025 04:45 - 31.03.2025 05:00","1284","0"
"31.03.2025 05:00 - 31.03.2025 05:15","1300","0"
"31.03.2025 05:15 - 31.03.2025 05:30","1346","0"
"31.03.2025 05:30 - 31.03.2025 05:45","1477","0"
"31.03.2025 05:45 - 31.03.2025 06:00","1567","0"
"31.03.2025 06:00 - 31.03.2025 06:15","1626","0"
"31.03.2025 06:15 - 31.03.2025 06:30","1596","0"
"31.03.2025 06:30 - 31.03.2025 06:45","1653","0"
"31.03.2025 06:45 - 31.03.2025 07:00","1782","0"
"31.03.2025 07:00 - 31.03.2025 07:15","1942","0"
"31.03.2025 07:15 - 31.03.2025 07:30","1960","0"
"31.03.2025 07:30 - 31.03.2025 07:45","1971","0"
"31.03.2025 07:45 - 31.03.2025 08:00","2104","0"
"31.03.2025 08:00 - 31.03.2025 08:15","2110","0"
"31.03.2025 08:15 - 31.03.2025 08:30","2191","0"
"31.03.2025 08:30 - 31.03.2025 08:45","2272","0"
"31.03.2025 08:45 - 31.03.2025 09:00","2247","0"
"31.03.2025 09:00 - 31.03.2025 09:15","2048","0"
"31.03.2025 09:15 - 31.03.2025 09:30","1933","0"
"31.03.2025 09:30 - 31.03.2025 09:45","1881","0"
"31.03.2025 09:45 - 31.03.2025 10:00","1858","0"
"31.03.2025 10:00 - 31.03.2025 10:15","1715","0"
"31.03.2025 10:15 - 31.03.2025 10:30","1668","0"
"31.03.2025 10:30 - 31.03.2025 10:45","1645","0"
"31.03.2025 10:45 - 31.03.2025 11:00","1597","0"
"31.03.2025 11:00 - 31.03.2025 11:15","1685","0"
"31.03.2025 11:15 - 31.03.2025 11:30","1610","0"
"31.03.2025 11:30 - 31.03.2025 11:45","1594","0"
"31.03.2025 11:45 - 31.03.2025 12:00","1588","0"
"31.03.2025 12:00 - 31.03.2025 12:15","1564","0"
"31.03.2025 12:15 - 31.03.2025 12:30","1556","0"
"31.03.2025 12:30 - 31.03.2025 12:45","1525","0"
"31.03.2025 12:45 - 31.03.2025 13:00","1509","0"
"31.03.2025 13:00 - 31.03.2025 13:15","1506","0"
"31.03.2025 13:15 - 31.03.2025 13:30","1546","0"
"31.03.2025 13:30 - 31.03.2025 13:45","1629","0"
"31.03.2025 13:45 - 31.03.2025 14:00","1556","0"
"31.03.2025 14:00 - 31.03.2025 14:15","1567","0"
"31.03.2025 14:15 - 31.03.2025 14:30","1557","0"
"31.03.2025 14:30 - 31.03.2025 14:45","1511","0"
"31.03.2025 14:45 - 31.03.2025 15:00","1381","0"
"31.03.2025 15:00 - 31.03.2025 15:15","1450","0"
"31.03.2025 15:15 - 31.03.2025 15:30","1575","0"
"31.03.2025 15:30 - 31.03.2025 15:45","1606","0"
"31.03.2025 15:45 - 31.03.2025 16:00","1590","0"
"31.03.2025 16:00 - 31.03.2025 16:15","1384","0"
"31.03.2025 16:15 - 31.03.2025 16:30","1385","0"
"31.03.2025 16:30 - 31.03.2025 16:45","1419","0"
"31.03.2025 16:45 - 31.03.2025 17:00","1443","0"
"31.03.2025 17:00 - 31.03.2025 17:15","1423","0"
"31.03.2025 17:15 - 31.03.2025 17:30","1399","0"
"31.03.2025 17:30 - 31.03.2025 17:45","1441","0"
"31.03.2025 17:45 - 31.03.2025 18:00","1475","0"
"31.03.2025 18:00 - 31.03.2025 18:15","1611","0"
"31.03.2025 18:15 - 31.03.2025 18:30","1640","0"
"31.03.2025 18:30 - 31.03.2025 18:45","1702","0"
"31.03.2025 18:45 - 31.03.2025 19:00","1745","0"
"31.03.2025 19:00 - 31.03.2025 19:15","1780","0"
"31.03.2025 19:15 - 31.03.2025 19:30","1771","0"
"31.03.2025 19:30 - 31.03.2025 19:45","1829","0"
"31.03.2025 19:45 - 31.03.2025 20:00","1880","0"
"31.03.2025 20:00 - 31.03.2025 20:15","1956","0"
"31.03.2025 20:15 - 31.03.2025 20:30","1918","0"
"31.03.2025 20:30 - 31.03.2025 20:45","1887","0"
"31.03.2025 20:45 - 31.03.2025 21:00","1916","0"
"31.03.2025 21:00 - 31.03.2025 21:15","1857","0"
"31.03.2025 21:15 - 31.03.2025 21:30","1854","0"
"31.03.2025 21:30 - 31.03.2025 21:45","1803","0"
"31.03.2025 21:45 - 31.03.2025 22:00","1733","0"
"31.03.2025 22:00 - 31.03.2025 22:15","1641","0"
"31.03.2025 22:15 - 31.03.2025 22:30","1572","0"
"31.03.2025 22:30 - 31.03.2025 22:45","1566","0"
"31.03.2025 22:45 - 31.03.2025 23:00","1570","0"
"31.03.2025 23:00 - 31.03.2025 23:15","1412","0"
"31.03.2025 23:15 - 31.03.2025 23:30","1390","0"
"31.03.2025 23:30 - 31.03.2025 23:45","1315","0"
"31.03.2025 23:45 - 01.04.2025 00:00","1291","0"
