"Time (CET/CEST)","BZN|SE3 > BZN|NO1 [MW]","BZN|NO1 > BZN|SE3 [MW]"
"10.03.2025 00:00 - 10.03.2025 01:00","0","505"
"10.03.2025 01:00 - 10.03.2025 02:00","0","355"
"10.03.2025 02:00 - 10.03.2025 03:00","0","182"
"10.03.2025 03:00 - 10.03.2025 04:00","0","293"
"10.03.2025 04:00 - 10.03.2025 05:00","0","458"
"10.03.2025 05:00 - 10.03.2025 06:00","0","811"
"10.03.2025 06:00 - 10.03.2025 07:00","0","1136"
"10.03.2025 07:00 - 10.03.2025 08:00","0","1238"
"10.03.2025 08:00 - 10.03.2025 09:00","0","696"
"10.03.2025 09:00 - 10.03.2025 10:00","0","598"
"10.03.2025 10:00 - 10.03.2025 11:00","0","708"
"10.03.2025 11:00 - 10.03.2025 12:00","0","758"
"10.03.2025 12:00 - 10.03.2025 13:00","0","746"
"10.03.2025 13:00 - 10.03.2025 14:00","0","621"
"10.03.2025 14:00 - 10.03.2025 15:00","0","408"
"10.03.2025 15:00 - 10.03.2025 16:00","0","613"
"10.03.2025 16:00 - 10.03.2025 17:00","0","717"
"10.03.2025 17:00 - 10.03.2025 18:00","0","730"
"10.03.2025 18:00 - 10.03.2025 19:00","0","705"
"10.03.2025 19:00 - 10.03.2025 20:00","0","791"
"10.03.2025 20:00 - 10.03.2025 21:00","0","772"
"10.03.2025 21:00 - 10.03.2025 22:00","0","609"
"10.03.2025 22:00 - 10.03.2025 23:00","0","350"
"10.03.2025 23:00 - 11.03.2025 00:00","0","238"
