"Time (CET/CEST)","BZN|SE3 > BZN|NO1 [MW]","BZN|NO1 > BZN|SE3 [MW]"
"09.03.2025 00:00 - 09.03.2025 01:00","0","227"
"09.03.2025 01:00 - 09.03.2025 02:00","0","77"
"09.03.2025 02:00 - 09.03.2025 03:00","0","42"
"09.03.2025 03:00 - 09.03.2025 04:00","110","0"
"09.03.2025 04:00 - 09.03.2025 05:00","80","0"
"09.03.2025 05:00 - 09.03.2025 06:00","0","124"
"09.03.2025 06:00 - 09.03.2025 07:00","23","0"
"09.03.2025 07:00 - 09.03.2025 08:00","0","234"
"09.03.2025 08:00 - 09.03.2025 09:00","0","4"
"09.03.2025 09:00 - 09.03.2025 10:00","905","0"
"09.03.2025 10:00 - 09.03.2025 11:00","1847","0"
"09.03.2025 11:00 - 09.03.2025 12:00","1630","0"
"09.03.2025 12:00 - 09.03.2025 13:00","1515","0"
"09.03.2025 13:00 - 09.03.2025 14:00","1890","0"
"09.03.2025 14:00 - 09.03.2025 15:00","1976","0"
"09.03.2025 15:00 - 09.03.2025 16:00","805","0"
"09.03.2025 16:00 - 09.03.2025 17:00","0","811"
"09.03.2025 17:00 - 09.03.2025 18:00","0","1243"
"09.03.2025 18:00 - 09.03.2025 19:00","0","1334"
"09.03.2025 19:00 - 09.03.2025 20:00","0","1231"
"09.03.2025 20:00 - 09.03.2025 21:00","0","960"
"09.03.2025 21:00 - 09.03.2025 22:00","0","864"
"09.03.2025 22:00 - 09.03.2025 23:00","0","705"
"09.03.2025 23:00 - 10.03.2025 00:00","0","460"
