"Time (CET/CEST)","BZN|NO3 > BZN|NO1 [MW]","BZN|NO1 > BZN|NO3 [MW]"
"22.03.2025 00:00 - 22.03.2025 00:15","197","0"
"22.03.2025 00:15 - 22.03.2025 00:30","204","0"
"22.03.2025 00:30 - 22.03.2025 00:45","190","0"
"22.03.2025 00:45 - 22.03.2025 01:00","190","0"
"22.03.2025 01:00 - 22.03.2025 01:15","160","0"
"22.03.2025 01:15 - 22.03.2025 01:30","149","0"
"22.03.2025 01:30 - 22.03.2025 01:45","129","0"
"22.03.2025 01:45 - 22.03.2025 02:00","135","0"
"22.03.2025 02:00 - 22.03.2025 02:15","130","0"
"22.03.2025 02:15 - 22.03.2025 02:30","131","0"
"22.03.2025 02:30 - 22.03.2025 02:45","127","0"
"22.03.2025 02:45 - 22.03.2025 03:00","123","0"
"22.03.2025 03:00 - 22.03.2025 03:15","116","0"
"22.03.2025 03:15 - 22.03.2025 03:30","127","0"
"22.03.2025 03:30 - 22.03.2025 03:45","114","0"
"22.03.2025 03:45 - 22.03.2025 04:00","111","0"
"22.03.2025 04:00 - 22.03.2025 04:15","117","0"
"22.03.2025 04:15 - 22.03.2025 04:30","122","0"
"22.03.2025 04:30 - 22.03.2025 04:45","127","0"
"22.03.2025 04:45 - 22.03.2025 05:00","130","0"
"22.03.2025 05:00 - 22.03.2025 05:15","132","0"
"22.03.2025 05:15 - 22.03.2025 05:30","138","0"
"22.03.2025 05:30 - 22.03.2025 05:45","148","0"
"22.03.2025 05:45 - 22.03.2025 06:00","145","0"
"22.03.2025 06:00 - 22.03.2025 06:15","156","0"
"22.03.2025 06:15 - 22.03.2025 06:30","155","0"
"22.03.2025 06:30 - 22.03.2025 06:45","148","0"
"22.03.2025 06:45 - 22.03.2025 07:00","159","0"
"22.03.2025 07:00 - 22.03.2025 07:15","178","0"
"22.03.2025 07:15 - 22.03.2025 07:30","175","0"
"22.03.2025 07:30 - 22.03.2025 07:45","180","0"
"22.03.2025 07:45 - 22.03.2025 08:00","174","0"
"22.03.2025 08:00 - 22.03.2025 08:15","219","0"
"22.03.2025 08:15 - 22.03.2025 08:30","242","0"
"22.03.2025 08:30 - 22.03.2025 08:45","211","0"
"22.03.2025 08:45 - 22.03.2025 09:00","217","0"
"22.03.2025 09:00 - 22.03.2025 09:15","186","0"
"22.03.2025 09:15 - 22.03.2025 09:30","191","0"
"22.03.2025 09:30 - 22.03.2025 09:45","199","0"
"22.03.2025 09:45 - 22.03.2025 10:00","199","0"
"22.03.2025 10:00 - 22.03.2025 10:15","148","0"
"22.03.2025 10:15 - 22.03.2025 10:30","157","0"
"22.03.2025 10:30 - 22.03.2025 10:45","157","0"
"22.03.2025 10:45 - 22.03.2025 11:00","154","0"
"22.03.2025 11:00 - 22.03.2025 11:15","137","0"
"22.03.2025 11:15 - 22.03.2025 11:30","135","0"
"22.03.2025 11:30 - 22.03.2025 11:45","148","0"
"22.03.2025 11:45 - 22.03.2025 12:00","156","0"
"22.03.2025 12:00 - 22.03.2025 12:15","83","0"
"22.03.2025 12:15 - 22.03.2025 12:30","79","0"
"22.03.2025 12:30 - 22.03.2025 12:45","91","0"
"22.03.2025 12:45 - 22.03.2025 13:00","105","0"
"22.03.2025 13:00 - 22.03.2025 13:15","89","0"
"22.03.2025 13:15 - 22.03.2025 13:30","79","0"
"22.03.2025 13:30 - 22.03.2025 13:45","73","0"
"22.03.2025 13:45 - 22.03.2025 14:00","79","0"
"22.03.2025 14:00 - 22.03.2025 14:15","139","0"
"22.03.2025 14:15 - 22.03.2025 14:30","147","0"
"22.03.2025 14:30 - 22.03.2025 14:45","128","0"
"22.03.2025 14:45 - 22.03.2025 15:00","126","0"
"22.03.2025 15:00 - 22.03.2025 15:15","163","0"
"22.03.2025 15:15 - 22.03.2025 15:30","196","0"
"22.03.2025 15:30 - 22.03.2025 15:45","145","0"
"22.03.2025 15:45 - 22.03.2025 16:00","163","0"
"22.03.2025 16:00 - 22.03.2025 16:15","204","0"
"22.03.2025 16:15 - 22.03.2025 16:30","230","0"
"22.03.2025 16:30 - 22.03.2025 16:45","224","0"
"22.03.2025 16:45 - 22.03.2025 17:00","248","0"
"22.03.2025 17:00 - 22.03.2025 17:15","198","0"
"22.03.2025 17:15 - 22.03.2025 17:30","219","0"
"22.03.2025 17:30 - 22.03.2025 17:45","255","0"
"22.03.2025 17:45 - 22.03.2025 18:00","266","0"
"22.03.2025 18:00 - 22.03.2025 18:15","283","0"
"22.03.2025 18:15 - 22.03.2025 18:30","263","0"
"22.03.2025 18:30 - 22.03.2025 18:45","237","0"
"22.03.2025 18:45 - 22.03.2025 19:00","216","0"
"22.03.2025 19:00 - 22.03.2025 19:15","203","0"
"22.03.2025 19:15 - 22.03.2025 19:30","212","0"
"22.03.2025 19:30 - 22.03.2025 19:45","212","0"
"22.03.2025 19:45 - 22.03.2025 20:00","221","0"
"22.03.2025 20:00 - 22.03.2025 20:15","233","0"
"22.03.2025 20:15 - 22.03.2025 20:30","232","0"
"22.03.2025 20:30 - 22.03.2025 20:45","224","0"
"22.03.2025 20:45 - 22.03.2025 21:00","233","0"
"22.03.2025 21:00 - 22.03.2025 21:15","244","0"
"22.03.2025 21:15 - 22.03.2025 21:30","255","0"
"22.03.2025 21:30 - 22.03.2025 21:45","250","0"
"22.03.2025 21:45 - 22.03.2025 22:00","253","0"
"22.03.2025 22:00 - 22.03.2025 22:15","250","0"
"22.03.2025 22:15 - 22.03.2025 22:30","228","0"
"22.03.2025 22:30 - 22.03.2025 22:45","231","0"
"22.03.2025 22:45 - 22.03.2025 23:00","242","0"
"22.03.2025 23:00 - 22.03.2025 23:15","252","0"
"22.03.2025 23:15 - 22.03.2025 23:30","249","0"
"22.03.2025 23:30 - 22.03.2025 23:45","248","0"
"22.03.2025 23:45 - 23.03.2025 00:00","287","0"
