"Time (CET/CEST)","BZN|NO3 > BZN|NO1 [MW]","BZN|NO1 > BZN|NO3 [MW]"
"07.03.2025 00:00 - 07.03.2025 00:15","383","0"
"07.03.2025 00:15 - 07.03.2025 00:30","380","0"
"07.03.2025 00:30 - 07.03.2025 00:45","368","0"
"07.03.2025 00:45 - 07.03.2025 01:00","361","0"
"07.03.2025 01:00 - 07.03.2025 01:15","339","0"
"07.03.2025 01:15 - 07.03.2025 01:30","347","0"
"07.03.2025 01:30 - 07.03.2025 01:45","353","0"
"07.03.2025 01:45 - 07.03.2025 02:00","356","0"
"07.03.2025 02:00 - 07.03.2025 02:15","375","0"
"07.03.2025 02:15 - 07.03.2025 02:30","394","0"
"07.03.2025 02:30 - 07.03.2025 02:45","370","0"
"07.03.2025 02:45 - 07.03.2025 03:00","355","0"
"07.03.2025 03:00 - 07.03.2025 03:15","351","0"
"07.03.2025 03:15 - 07.03.2025 03:30","363","0"
"07.03.2025 03:30 - 07.03.2025 03:45","360","0"
"07.03.2025 03:45 - 07.03.2025 04:00","372","0"
"07.03.2025 04:00 - 07.03.2025 04:15","372","0"
"07.03.2025 04:15 - 07.03.2025 04:30","372","0"
"07.03.2025 04:30 - 07.03.2025 04:45","350","0"
"07.03.2025 04:45 - 07.03.2025 05:00","346","0"
"07.03.2025 05:00 - 07.03.2025 05:15","350","0"
"07.03.2025 05:15 - 07.03.2025 05:30","354","0"
"07.03.2025 05:30 - 07.03.2025 05:45","354","0"
"07.03.2025 05:45 - 07.03.2025 06:00","365","0"
"07.03.2025 06:00 - 07.03.2025 06:15","353","0"
"07.03.2025 06:15 - 07.03.2025 06:30","370","0"
"07.03.2025 06:30 - 07.03.2025 06:45","372","0"
"07.03.2025 06:45 - 07.03.2025 07:00","355","0"
"07.03.2025 07:00 - 07.03.2025 07:15","360","0"
"07.03.2025 07:15 - 07.03.2025 07:30","345","0"
"07.03.2025 07:30 - 07.03.2025 07:45","336","0"
"07.03.2025 07:45 - 07.03.2025 08:00","328","0"
"07.03.2025 08:00 - 07.03.2025 08:15","325","0"
"07.03.2025 08:15 - 07.03.2025 08:30","349","0"
"07.03.2025 08:30 - 07.03.2025 08:45","366","0"
"07.03.2025 08:45 - 07.03.2025 09:00","367","0"
"07.03.2025 09:00 - 07.03.2025 09:15","354","0"
"07.03.2025 09:15 - 07.03.2025 09:30","356","0"
"07.03.2025 09:30 - 07.03.2025 09:45","360","0"
"07.03.2025 09:45 - 07.03.2025 10:00","358","0"
"07.03.2025 10:00 - 07.03.2025 10:15","400","0"
"07.03.2025 10:15 - 07.03.2025 10:30","389","0"
"07.03.2025 10:30 - 07.03.2025 10:45","377","0"
"07.03.2025 10:45 - 07.03.2025 11:00","361","0"
"07.03.2025 11:00 - 07.03.2025 11:15","367","0"
"07.03.2025 11:15 - 07.03.2025 11:30","392","0"
"07.03.2025 11:30 - 07.03.2025 11:45","396","0"
"07.03.2025 11:45 - 07.03.2025 12:00","392","0"
"07.03.2025 12:00 - 07.03.2025 12:15","402","0"
"07.03.2025 12:15 - 07.03.2025 12:30","364","0"
"07.03.2025 12:30 - 07.03.2025 12:45","340","0"
"07.03.2025 12:45 - 07.03.2025 13:00","338","0"
"07.03.2025 13:00 - 07.03.2025 13:15","328","0"
"07.03.2025 13:15 - 07.03.2025 13:30","334","0"
"07.03.2025 13:30 - 07.03.2025 13:45","364","0"
"07.03.2025 13:45 - 07.03.2025 14:00","345","0"
"07.03.2025 14:00 - 07.03.2025 14:15","302","0"
"07.03.2025 14:15 - 07.03.2025 14:30","337","0"
"07.03.2025 14:30 - 07.03.2025 14:45","362","0"
"07.03.2025 14:45 - 07.03.2025 15:00","345","0"
"07.03.2025 15:00 - 07.03.2025 15:15","349","0"
"07.03.2025 15:15 - 07.03.2025 15:30","356","0"
"07.03.2025 15:30 - 07.03.2025 15:45","353","0"
"07.03.2025 15:45 - 07.03.2025 16:00","370","0"
"07.03.2025 16:00 - 07.03.2025 16:15","368","0"
"07.03.2025 16:15 - 07.03.2025 16:30","390","0"
"07.03.2025 16:30 - 07.03.2025 16:45","403","0"
"07.03.2025 16:45 - 07.03.2025 17:00","418","0"
"07.03.2025 17:00 - 07.03.2025 17:15","394","0"
"07.03.2025 17:15 - 07.03.2025 17:30","410","0"
"07.03.2025 17:30 - 07.03.2025 17:45","423","0"
"07.03.2025 17:45 - 07.03.2025 18:00","419","0"
"07.03.2025 18:00 - 07.03.2025 18:15","380","0"
"07.03.2025 18:15 - 07.03.2025 18:30","357","0"
"07.03.2025 18:30 - 07.03.2025 18:45","363","0"
"07.03.2025 18:45 - 07.03.2025 19:00","373","0"
"07.03.2025 19:00 - 07.03.2025 19:15","398","0"
"07.03.2025 19:15 - 07.03.2025 19:30","401","0"
"07.03.2025 19:30 - 07.03.2025 19:45","395","0"
"07.03.2025 19:45 - 07.03.2025 20:00","396","0"
"07.03.2025 20:00 - 07.03.2025 20:15","434","0"
"07.03.2025 20:15 - 07.03.2025 20:30","410","0"
"07.03.2025 20:30 - 07.03.2025 20:45","415","0"
"07.03.2025 20:45 - 07.03.2025 21:00","425","0"
"07.03.2025 21:00 - 07.03.2025 21:15","397","0"
"07.03.2025 21:15 - 07.03.2025 21:30","394","0"
"07.03.2025 21:30 - 07.03.2025 21:45","399","0"
"07.03.2025 21:45 - 07.03.2025 22:00","396","0"
"07.03.2025 22:00 - 07.03.2025 22:15","406","0"
"07.03.2025 22:15 - 07.03.2025 22:30","402","0"
"07.03.2025 22:30 - 07.03.2025 22:45","397","0"
"07.03.2025 22:45 - 07.03.2025 23:00","398","0"
"07.03.2025 23:00 - 07.03.2025 23:15","387","0"
"07.03.2025 23:15 - 07.03.2025 23:30","380","0"
"07.03.2025 23:30 - 07.03.2025 23:45","394","0"
"07.03.2025 23:45 - 08.03.2025 00:00","377","0"
