"Time (CET/CEST)","BZN|NO5 > BZN|NO1 [MW]","BZN|NO1 > BZN|NO5 [MW]"
"27.03.2025 00:00 - 27.03.2025 00:15","2094","0"
"27.03.2025 00:15 - 27.03.2025 00:30","2040","0"
"27.03.2025 00:30 - 27.03.2025 00:45","2095","0"
"27.03.2025 00:45 - 27.03.2025 01:00","2077","0"
"27.03.2025 01:00 - 27.03.2025 01:15","1943","0"
"27.03.2025 01:15 - 27.03.2025 01:30","1901","0"
"27.03.2025 01:30 - 27.03.2025 01:45","1921","0"
"27.03.2025 01:45 - 27.03.2025 02:00","1901","0"
"27.03.2025 02:00 - 27.03.2025 02:15","1883","0"
"27.03.2025 02:15 - 27.03.2025 02:30","1886","0"
"27.03.2025 02:30 - 27.03.2025 02:45","1844","0"
"27.03.2025 02:45 - 27.03.2025 03:00","1795","0"
"27.03.2025 03:00 - 27.03.2025 03:15","1789","0"
"27.03.2025 03:15 - 27.03.2025 03:30","1773","0"
"27.03.2025 03:30 - 27.03.2025 03:45","1777","0"
"27.03.2025 03:45 - 27.03.2025 04:00","1744","0"
"27.03.2025 04:00 - 27.03.2025 04:15","1769","0"
"27.03.2025 04:15 - 27.03.2025 04:30","1760","0"
"27.03.2025 04:30 - 27.03.2025 04:45","1756","0"
"27.03.2025 04:45 - 27.03.2025 05:00","1860","0"
"27.03.2025 05:00 - 27.03.2025 05:15","1984","0"
"27.03.2025 05:15 - 27.03.2025 05:30","1968","0"
"27.03.2025 05:30 - 27.03.2025 05:45","2076","0"
"27.03.2025 05:45 - 27.03.2025 06:00","2152","0"
"27.03.2025 06:00 - 27.03.2025 06:15","2194","0"
"27.03.2025 06:15 - 27.03.2025 06:30","2203","0"
"27.03.2025 06:30 - 27.03.2025 06:45","2274","0"
"27.03.2025 06:45 - 27.03.2025 07:00","2382","0"
"27.03.2025 07:00 - 27.03.2025 07:15","2422","0"
"27.03.2025 07:15 - 27.03.2025 07:30","2522","0"
"27.03.2025 07:30 - 27.03.2025 07:45","2620","0"
"27.03.2025 07:45 - 27.03.2025 08:00","2579","0"
"27.03.2025 08:00 - 27.03.2025 08:15","2588","0"
"27.03.2025 08:15 - 27.03.2025 08:30","2581","0"
"27.03.2025 08:30 - 27.03.2025 08:45","2468","0"
"27.03.2025 08:45 - 27.03.2025 09:00","2384","0"
"27.03.2025 09:00 - 27.03.2025 09:15","2483","0"
"27.03.2025 09:15 - 27.03.2025 09:30","2472","0"
"27.03.2025 09:30 - 27.03.2025 09:45","2124","0"
"27.03.2025 09:45 - 27.03.2025 10:00","2055","0"
"27.03.2025 10:00 - 27.03.2025 10:15","2026","0"
"27.03.2025 10:15 - 27.03.2025 10:30","1656","0"
"27.03.2025 10:30 - 27.03.2025 10:45","1508","0"
"27.03.2025 10:45 - 27.03.2025 11:00","1518","0"
"27.03.2025 11:00 - 27.03.2025 11:15","1617","0"
"27.03.2025 11:15 - 27.03.2025 11:30","1330","0"
"27.03.2025 11:30 - 27.03.2025 11:45","1233","0"
"27.03.2025 11:45 - 27.03.2025 12:00","1192","0"
"27.03.2025 12:00 - 27.03.2025 12:15","1120","0"
"27.03.2025 12:15 - 27.03.2025 12:30","912","0"
"27.03.2025 12:30 - 27.03.2025 12:45","780","0"
"27.03.2025 12:45 - 27.03.2025 13:00","757","0"
"27.03.2025 13:00 - 27.03.2025 13:15","668","0"
"27.03.2025 13:15 - 27.03.2025 13:30","648","0"
"27.03.2025 13:30 - 27.03.2025 13:45","643","0"
"27.03.2025 13:45 - 27.03.2025 14:00","798","0"
"27.03.2025 14:00 - 27.03.2025 14:15","939","0"
"27.03.2025 14:15 - 27.03.2025 14:30","1038","0"
"27.03.2025 14:30 - 27.03.2025 14:45","1116","0"
"27.03.2025 14:45 - 27.03.2025 15:00","1339","0"
"27.03.2025 15:00 - 27.03.2025 15:15","1623","0"
"27.03.2025 15:15 - 27.03.2025 15:30","1881","0"
"27.03.2025 15:30 - 27.03.2025 15:45","1925","0"
"27.03.2025 15:45 - 27.03.2025 16:00","1979","0"
"27.03.2025 16:00 - 27.03.2025 16:15","2029","0"
"27.03.2025 16:15 - 27.03.2025 16:30","2103","0"
"27.03.2025 16:30 - 27.03.2025 16:45","2197","0"
"27.03.2025 16:45 - 27.03.2025 17:00","2283","0"
"27.03.2025 17:00 - 27.03.2025 17:15","2178","0"
"27.03.2025 17:15 - 27.03.2025 17:30","2259","0"
"27.03.2025 17:30 - 27.03.2025 17:45","2284","0"
"27.03.2025 17:45 - 27.03.2025 18:00","2493","0"
"27.03.2025 18:00 - 27.03.2025 18:15","2551","0"
