"Time (CET/CEST)","BZN|NO2 > BZN|NO1 [MW]","BZN|NO1 > BZN|NO2 [MW]"
"31.03.2025 00:00 - 31.03.2025 00:15","0","68"
"31.03.2025 00:15 - 31.03.2025 00:30","54","0"
"31.03.2025 00:30 - 31.03.2025 00:45","4","0"
"31.03.2025 00:45 - 31.03.2025 01:00","0","42"
"31.03.2025 01:00 - 31.03.2025 01:15","0","182"
"31.03.2025 01:15 - 31.03.2025 01:30","0","232"
"31.03.2025 01:30 - 31.03.2025 01:45","0","298"
"31.03.2025 01:45 - 31.03.2025 02:00","0","376"
"31.03.2025 02:00 - 31.03.2025 02:15","0","379"
"31.03.2025 02:15 - 31.03.2025 02:30","0","478"
"31.03.2025 02:30 - 31.03.2025 02:45","0","548"
"31.03.2025 02:45 - 31.03.2025 03:00","0","597"
"31.03.2025 03:00 - 31.03.2025 03:15","0","695"
"31.03.2025 03:15 - 31.03.2025 03:30","0","736"
"31.03.2025 03:30 - 31.03.2025 03:45","0","834"
"31.03.2025 03:45 - 31.03.2025 04:00","0","856"
"31.03.2025 04:00 - 31.03.2025 04:15","0","895"
"31.03.2025 04:15 - 31.03.2025 04:30","0","908"
"31.03.2025 04:30 - 31.03.2025 04:45","0","959"
"31.03.2025 04:45 - 31.03.2025 05:00","0","922"
"31.03.2025 05:00 - 31.03.2025 05:15","0","492"
"31.03.2025 05:15 - 31.03.2025 05:30","0","508"
"31.03.2025 05:30 - 31.03.2025 05:45","0","439"
"31.03.2025 05:45 - 31.03.2025 06:00","0","479"
"31.03.2025 06:00 - 31.03.2025 06:15","0","349"
"31.03.2025 06:15 - 31.03.2025 06:30","0","477"
"31.03.2025 06:30 - 31.03.2025 06:45","0","620"
"31.03.2025 06:45 - 31.03.2025 07:00","0","592"
"31.03.2025 07:00 - 31.03.2025 07:15","0","396"
"31.03.2025 07:15 - 31.03.2025 07:30","0","244"
"31.03.2025 07:30 - 31.03.2025 07:45","0","95"
"31.03.2025 07:45 - 31.03.2025 08:00","0","39"
"31.03.2025 08:00 - 31.03.2025 08:15","0","143"
"31.03.2025 08:15 - 31.03.2025 08:30","0","143"
"31.03.2025 08:30 - 31.03.2025 08:45","0","55"
"31.03.2025 08:45 - 31.03.2025 09:00","0","176"
"31.03.2025 09:00 - 31.03.2025 09:15","0","229"
"31.03.2025 09:15 - 31.03.2025 09:30","0","136"
"31.03.2025 09:30 - 31.03.2025 09:45","0","100"
"31.03.2025 09:45 - 31.03.2025 10:00","0","101"
"31.03.2025 10:00 - 31.03.2025 10:15","0","288"
"31.03.2025 10:15 - 31.03.2025 10:30","0","305"
"31.03.2025 10:30 - 31.03.2025 10:45","0","281"
"31.03.2025 10:45 - 31.03.2025 11:00","0","220"
"31.03.2025 11:00 - 31.03.2025 11:15","0","216"
"31.03.2025 11:15 - 31.03.2025 11:30","0","119"
"31.03.2025 11:30 - 31.03.2025 11:45","0","65"
"31.03.2025 11:45 - 31.03.2025 12:00","0","141"
"31.03.2025 12:00 - 31.03.2025 12:15","0","154"
"31.03.2025 12:15 - 31.03.2025 12:30","0","106"
"31.03.2025 12:30 - 31.03.2025 12:45","0","125"
"31.03.2025 12:45 - 31.03.2025 13:00","0","147"
"31.03.2025 13:00 - 31.03.2025 13:15","0","21"
"31.03.2025 13:15 - 31.03.2025 13:30","84","0"
"31.03.2025 13:30 - 31.03.2025 13:45","18","0"
"31.03.2025 13:45 - 31.03.2025 14:00","0","97"
"31.03.2025 14:00 - 31.03.2025 14:15","0","74"
"31.03.2025 14:15 - 31.03.2025 14:30","0","137"
"31.03.2025 14:30 - 31.03.2025 14:45","0","191"
"31.03.2025 14:45 - 31.03.2025 15:00","0","33"
"31.03.2025 15:00 - 31.03.2025 15:15","60","0"
"31.03.2025 15:15 - 31.03.2025 15:30","0","57"
"31.03.2025 15:30 - 31.03.2025 15:45","0","191"
"31.03.2025 15:45 - 31.03.2025 16:00","0","140"
"31.03.2025 16:00 - 31.03.2025 16:15","179","0"
"31.03.2025 16:15 - 31.03.2025 16:30","130","0"
"31.03.2025 16:30 - 31.03.2025 16:45","23","0"
"31.03.2025 16:45 - 31.03.2025 17:00","8","0"
"31.03.2025 17:00 - 31.03.2025 17:15","0","12"
"31.03.2025 17:15 - 31.03.2025 17:30","0","51"
"31.03.2025 17:30 - 31.03.2025 17:45","0","53"
"31.03.2025 17:45 - 31.03.2025 18:00","0","35"
"31.03.2025 18:00 - 31.03.2025 18:15","96","0"
"31.03.2025 18:15 - 31.03.2025 18:30","59","0"
"31.03.2025 18:30 - 31.03.2025 18:45","38","0"
"31.03.2025 18:45 - 31.03.2025 19:00","104","0"
"31.03.2025 19:00 - 31.03.2025 19:15","105","0"
"31.03.2025 19:15 - 31.03.2025 19:30","50","0"
"31.03.2025 19:30 - 31.03.2025 19:45","88","0"
"31.03.2025 19:45 - 31.03.2025 20:00","141","0"
"31.03.2025 20:00 - 31.03.2025 20:15","222","0"
"31.03.2025 20:15 - 31.03.2025 20:30","164","0"
"31.03.2025 20:30 - 31.03.2025 20:45","126","0"
"31.03.2025 20:45 - 31.03.2025 21:00","94","0"
"31.03.2025 21:00 - 31.03.2025 21:15","16","0"
"31.03.2025 21:15 - 31.03.2025 21:30","50","0"
"31.03.2025 21:30 - 31.03.2025 21:45","10","0"
"31.03.2025 21:45 - 31.03.2025 22:00","0","9"
"31.03.2025 22:00 - 31.03.2025 22:15","0","408"
"31.03.2025 22:15 - 31.03.2025 22:30","0","449"
"31.03.2025 22:30 - 31.03.2025 22:45","0","439"
"31.03.2025 22:45 - 31.03.2025 23:00","0","377"
"31.03.2025 23:00 - 31.03.2025 23:15","0","469"
"31.03.2025 23:15 - 31.03.2025 23:30","0","451"
"31.03.2025 23:30 - 31.03.2025 23:45","0","590"
"31.03.2025 23:45 - 01.04.2025 00:00","0","603"
