"Time (CET/CEST)","BZN|SE3 > BZN|NO1 [MW]","BZN|NO1 > BZN|SE3 [MW]"
"17.03.2025 00:00 - 17.03.2025 01:00","462","0"
"17.03.2025 01:00 - 17.03.2025 02:00","358","0"
"17.03.2025 02:00 - 17.03.2025 03:00","243","0"
"17.03.2025 03:00 - 17.03.2025 04:00","298","0"
"17.03.2025 04:00 - 17.03.2025 05:00","105","0"
"17.03.2025 05:00 - 17.03.2025 06:00","0","62"
"17.03.2025 06:00 - 17.03.2025 07:00","0","206"
"17.03.2025 07:00 - 17.03.2025 08:00","29","0"
"17.03.2025 08:00 - 17.03.2025 09:00","310","0"
"17.03.2025 09:00 - 17.03.2025 10:00","396","0"
"17.03.2025 10:00 - 17.03.2025 11:00","759","0"
"17.03.2025 11:00 - 17.03.2025 12:00","857","0"
"17.03.2025 12:00 - 17.03.2025 13:00","1345","0"
"17.03.2025 13:00 - 17.03.2025 14:00","1364","0"
"17.03.2025 14:00 - 17.03.2025 15:00","842","0"
"17.03.2025 15:00 - 17.03.2025 16:00","728","0"
"17.03.2025 16:00 - 17.03.2025 17:00","512","0"
"17.03.2025 17:00 - 17.03.2025 18:00","0","807"
"17.03.2025 18:00 - 17.03.2025 19:00","0","1011"
"17.03.2025 19:00 - 17.03.2025 20:00","0","809"
"17.03.2025 20:00 - 17.03.2025 21:00","392","0"
"17.03.2025 21:00 - 17.03.2025 22:00","579","0"
"17.03.2025 22:00 - 17.03.2025 23:00","923","0"
"17.03.2025 23:00 - 18.03.2025 00:00","1050","0"
