"Time (CET/CEST)","BZN|SE3 > BZN|NO1 [MW]","BZN|NO1 > BZN|SE3 [MW]"
"14.03.2025 00:00 - 14.03.2025 01:00","0","275"
"14.03.2025 01:00 - 14.03.2025 02:00","0","508"
"14.03.2025 02:00 - 14.03.2025 03:00","0","577"
"14.03.2025 03:00 - 14.03.2025 04:00","0","647"
"14.03.2025 04:00 - 14.03.2025 05:00","0","424"
"14.03.2025 05:00 - 14.03.2025 06:00","0","677"
"14.03.2025 06:00 - 14.03.2025 07:00","0","562"
"14.03.2025 07:00 - 14.03.2025 08:00","0","261"
"14.03.2025 08:00 - 14.03.2025 09:00","0","594"
"14.03.2025 09:00 - 14.03.2025 10:00","0","765"
"14.03.2025 10:00 - 14.03.2025 11:00","0","702"
"14.03.2025 11:00 - 14.03.2025 12:00","0","880"
"14.03.2025 12:00 - 14.03.2025 13:00","0","922"
"14.03.2025 13:00 - 14.03.2025 14:00","0","521"
"14.03.2025 14:00 - 14.03.2025 15:00","0","936"
"14.03.2025 15:00 - 14.03.2025 16:00","0","959"
"14.03.2025 16:00 - 14.03.2025 17:00","0","926"
"14.03.2025 17:00 - 14.03.2025 18:00","0","792"
"14.03.2025 18:00 - 14.03.2025 19:00","0","775"
"14.03.2025 19:00 - 14.03.2025 20:00","0","852"
"14.03.2025 20:00 - 14.03.2025 21:00","0","789"
"14.03.2025 21:00 - 14.03.2025 22:00","0","709"
"14.03.2025 22:00 - 14.03.2025 23:00","0","959"
"14.03.2025 23:00 - 15.03.2025 00:00","0","1342"
