"Time (CET/CEST)","BZN|NO3 > BZN|NO1 [MW]","BZN|NO1 > BZN|NO3 [MW]"
"08.03.2025 00:00 - 08.03.2025 00:15","257","0"
"08.03.2025 00:15 - 08.03.2025 00:30","250","0"
"08.03.2025 00:30 - 08.03.2025 00:45","236","0"
"08.03.2025 00:45 - 08.03.2025 01:00","246","0"
"08.03.2025 01:00 - 08.03.2025 01:15","235","0"
"08.03.2025 01:15 - 08.03.2025 01:30","205","0"
"08.03.2025 01:30 - 08.03.2025 01:45","213","0"
"08.03.2025 01:45 - 08.03.2025 02:00","205","0"
"08.03.2025 02:00 - 08.03.2025 02:15","217","0"
"08.03.2025 02:15 - 08.03.2025 02:30","277","0"
"08.03.2025 02:30 - 08.03.2025 02:45","286","0"
"08.03.2025 02:45 - 08.03.2025 03:00","260","0"
"08.03.2025 03:00 - 08.03.2025 03:15","248","0"
"08.03.2025 03:15 - 08.03.2025 03:30","250","0"
"08.03.2025 03:30 - 08.03.2025 03:45","260","0"
"08.03.2025 03:45 - 08.03.2025 04:00","258","0"
"08.03.2025 04:00 - 08.03.2025 04:15","305","0"
"08.03.2025 04:15 - 08.03.2025 04:30","328","0"
"08.03.2025 04:30 - 08.03.2025 04:45","311","0"
"08.03.2025 04:45 - 08.03.2025 05:00","302","0"
"08.03.2025 05:00 - 08.03.2025 05:15","309","0"
"08.03.2025 05:15 - 08.03.2025 05:30","311","0"
"08.03.2025 05:30 - 08.03.2025 05:45","327","0"
"08.03.2025 05:45 - 08.03.2025 06:00","323","0"
"08.03.2025 06:00 - 08.03.2025 06:15","347","0"
"08.03.2025 06:15 - 08.03.2025 06:30","370","0"
"08.03.2025 06:30 - 08.03.2025 06:45","373","0"
"08.03.2025 06:45 - 08.03.2025 07:00","364","0"
"08.03.2025 07:00 - 08.03.2025 07:15","371","0"
"08.03.2025 07:15 - 08.03.2025 07:30","369","0"
"08.03.2025 07:30 - 08.03.2025 07:45","367","0"
"08.03.2025 07:45 - 08.03.2025 08:00","370","0"
"08.03.2025 08:00 - 08.03.2025 08:15","390","0"
"08.03.2025 08:15 - 08.03.2025 08:30","397","0"
"08.03.2025 08:30 - 08.03.2025 08:45","403","0"
"08.03.2025 08:45 - 08.03.2025 09:00","410","0"
"08.03.2025 09:00 - 08.03.2025 09:15","387","0"
"08.03.2025 09:15 - 08.03.2025 09:30","383","0"
"08.03.2025 09:30 - 08.03.2025 09:45","390","0"
"08.03.2025 09:45 - 08.03.2025 10:00","403","0"
"08.03.2025 10:00 - 08.03.2025 10:15","371","0"
"08.03.2025 10:15 - 08.03.2025 10:30","374","0"
"08.03.2025 10:30 - 08.03.2025 10:45","404","0"
"08.03.2025 10:45 - 08.03.2025 11:00","380","0"
"08.03.2025 11:00 - 08.03.2025 11:15","348","0"
"08.03.2025 11:15 - 08.03.2025 11:30","341","0"
"08.03.2025 11:30 - 08.03.2025 11:45","327","0"
"08.03.2025 11:45 - 08.03.2025 12:00","335","0"
"08.03.2025 12:00 - 08.03.2025 12:15","357","0"
"08.03.2025 12:15 - 08.03.2025 12:30","347","0"
"08.03.2025 12:30 - 08.03.2025 12:45","343","0"
"08.03.2025 12:45 - 08.03.2025 13:00","338","0"
"08.03.2025 13:00 - 08.03.2025 13:15","321","0"
"08.03.2025 13:15 - 08.03.2025 13:30","317","0"
"08.03.2025 13:30 - 08.03.2025 13:45","312","0"
"08.03.2025 13:45 - 08.03.2025 14:00","304","0"
"08.03.2025 14:00 - 08.03.2025 14:15","319","0"
"08.03.2025 14:15 - 08.03.2025 14:30","327","0"
"08.03.2025 14:30 - 08.03.2025 14:45","328","0"
"08.03.2025 14:45 - 08.03.2025 15:00","296","0"
"08.03.2025 15:00 - 08.03.2025 15:15","286","0"
"08.03.2025 15:15 - 08.03.2025 15:30","297","0"
"08.03.2025 15:30 - 08.03.2025 15:45","316","0"
"08.03.2025 15:45 - 08.03.2025 16:00","336","0"
"08.03.2025 16:00 - 08.03.2025 16:15","294","0"
"08.03.2025 16:15 - 08.03.2025 16:30","297","0"
"08.03.2025 16:30 - 08.03.2025 16:45","317","0"
"08.03.2025 16:45 - 08.03.2025 17:00","305","0"
"08.03.2025 17:00 - 08.03.2025 17:15","260","0"
"08.03.2025 17:15 - 08.03.2025 17:30","264","0"
"08.03.2025 17:30 - 08.03.2025 17:45","250","0"
"08.03.2025 17:45 - 08.03.2025 18:00","263","0"
"08.03.2025 18:00 - 08.03.2025 18:15","267","0"
"08.03.2025 18:15 - 08.03.2025 18:30","275","0"
"08.03.2025 18:30 - 08.03.2025 18:45","268","0"
"08.03.2025 18:45 - 08.03.2025 19:00","268","0"
"08.03.2025 19:00 - 08.03.2025 19:15","270","0"
"08.03.2025 19:15 - 08.03.2025 19:30","269","0"
"08.03.2025 19:30 - 08.03.2025 19:45","266","0"
"08.03.2025 19:45 - 08.03.2025 20:00","259","0"
"08.03.2025 20:00 - 08.03.2025 20:15","269","0"
"08.03.2025 20:15 - 08.03.2025 20:30","271","0"
"08.03.2025 20:30 - 08.03.2025 20:45","280","0"
"08.03.2025 20:45 - 08.03.2025 21:00","269","0"
"08.03.2025 21:00 - 08.03.2025 21:15","298","0"
"08.03.2025 21:15 - 08.03.2025 21:30","301","0"
"08.03.2025 21:30 - 08.03.2025 21:45","324","0"
"08.03.2025 21:45 - 08.03.2025 22:00","317","0"
"08.03.2025 22:00 - 08.03.2025 22:15","337","0"
"08.03.2025 22:15 - 08.03.2025 22:30","338","0"
"08.03.2025 22:30 - 08.03.2025 22:45","362","0"
"08.03.2025 22:45 - 08.03.2025 23:00","356","0"
"08.03.2025 23:00 - 08.03.2025 23:15","338","0"
"08.03.2025 23:15 - 08.03.2025 23:30","317","0"
"08.03.2025 23:30 - 08.03.2025 23:45","321","0"
"08.03.2025 23:45 - 09.03.2025 00:00","339","0"
