"Time (CET/CEST)","BZN|NO3 > BZN|NO1 [MW]","BZN|NO1 > BZN|NO3 [MW]"
"24.03.2025 00:00 - 24.03.2025 00:15","223","0"
"24.03.2025 00:15 - 24.03.2025 00:30","232","0"
"24.03.2025 00:30 - 24.03.2025 00:45","257","0"
"24.03.2025 00:45 - 24.03.2025 01:00","260","0"
"24.03.2025 01:00 - 24.03.2025 01:15","246","0"
"24.03.2025 01:15 - 24.03.2025 01:30","239","0"
"24.03.2025 01:30 - 24.03.2025 01:45","249","0"
"24.03.2025 01:45 - 24.03.2025 02:00","247","0"
"24.03.2025 02:00 - 24.03.2025 02:15","238","0"
"24.03.2025 02:15 - 24.03.2025 02:30","252","0"
"24.03.2025 02:30 - 24.03.2025 02:45","258","0"
"24.03.2025 02:45 - 24.03.2025 03:00","263","0"
"24.03.2025 03:00 - 24.03.2025 03:15","271","0"
"24.03.2025 03:15 - 24.03.2025 03:30","267","0"
"24.03.2025 03:30 - 24.03.2025 03:45","271","0"
"24.03.2025 03:45 - 24.03.2025 04:00","264","0"
"24.03.2025 04:00 - 24.03.2025 04:15","273","0"
"24.03.2025 04:15 - 24.03.2025 04:30","296","0"
"24.03.2025 04:30 - 24.03.2025 04:45","298","0"
"24.03.2025 04:45 - 24.03.2025 05:00","273","0"
"24.03.2025 05:00 - 24.03.2025 05:15","266","0"
"24.03.2025 05:15 - 24.03.2025 05:30","253","0"
"24.03.2025 05:30 - 24.03.2025 05:45","272","0"
"24.03.2025 05:45 - 24.03.2025 06:00","313","0"
"24.03.2025 06:00 - 24.03.2025 06:15","111","0"
"24.03.2025 06:15 - 24.03.2025 06:30","73","0"
"24.03.2025 06:30 - 24.03.2025 06:45","80","0"
"24.03.2025 06:45 - 24.03.2025 07:00","71","0"
"24.03.2025 07:00 - 24.03.2025 07:15","149","0"
"24.03.2025 07:15 - 24.03.2025 07:30","149","0"
"24.03.2025 07:30 - 24.03.2025 07:45","169","0"
"24.03.2025 07:45 - 24.03.2025 08:00","181","0"
"24.03.2025 08:00 - 24.03.2025 08:15","188","0"
"24.03.2025 08:15 - 24.03.2025 08:30","188","0"
"24.03.2025 08:30 - 24.03.2025 08:45","182","0"
"24.03.2025 08:45 - 24.03.2025 09:00","187","0"
"24.03.2025 09:00 - 24.03.2025 09:15","222","0"
"24.03.2025 09:15 - 24.03.2025 09:30","226","0"
"24.03.2025 09:30 - 24.03.2025 09:45","220","0"
"24.03.2025 09:45 - 24.03.2025 10:00","159","0"
"24.03.2025 10:00 - 24.03.2025 10:15","224","0"
"24.03.2025 10:15 - 24.03.2025 10:30","232","0"
"24.03.2025 10:30 - 24.03.2025 10:45","202","0"
"24.03.2025 10:45 - 24.03.2025 11:00","198","0"
"24.03.2025 11:00 - 24.03.2025 11:15","208","0"
"24.03.2025 11:15 - 24.03.2025 11:30","195","0"
"24.03.2025 11:30 - 24.03.2025 11:45","203","0"
"24.03.2025 11:45 - 24.03.2025 12:00","196","0"
"24.03.2025 12:00 - 24.03.2025 12:15","216","0"
"24.03.2025 12:15 - 24.03.2025 12:30","235","0"
"24.03.2025 12:30 - 24.03.2025 12:45","221","0"
"24.03.2025 12:45 - 24.03.2025 13:00","226","0"
