"Time (CET/CEST)","BZN|NO2 > BZN|NO1 [MW]","BZN|NO1 > BZN|NO2 [MW]"
"03.03.2025 00:00 - 03.03.2025 00:15","0","1821"
"03.03.2025 00:15 - 03.03.2025 00:30","0","1865"
"03.03.2025 00:30 - 03.03.2025 00:45","0","1880"
"03.03.2025 00:45 - 03.03.2025 01:00","0","1871"
"03.03.2025 01:00 - 03.03.2025 01:15","0","1860"
"03.03.2025 01:15 - 03.03.2025 01:30","0","1927"
"03.03.2025 01:30 - 03.03.2025 01:45","0","1991"
"03.03.2025 01:45 - 03.03.2025 02:00","0","1996"
"03.03.2025 02:00 - 03.03.2025 02:15","0","1992"
"03.03.2025 02:15 - 03.03.2025 02:30","0","2058"
"03.03.2025 02:30 - 03.03.2025 02:45","0","2066"
"03.03.2025 02:45 - 03.03.2025 03:00","0","1978"
"03.03.2025 03:00 - 03.03.2025 03:15","0","2041"
"03.03.2025 03:15 - 03.03.2025 03:30","0","2026"
"03.03.2025 03:30 - 03.03.2025 03:45","0","2013"
"03.03.2025 03:45 - 03.03.2025 04:00","0","2014"
"03.03.2025 04:00 - 03.03.2025 04:15","0","2113"
"03.03.2025 04:15 - 03.03.2025 04:30","0","2011"
"03.03.2025 04:30 - 03.03.2025 04:45","0","1879"
"03.03.2025 04:45 - 03.03.2025 05:00","0","1841"
"03.03.2025 05:00 - 03.03.2025 05:15","0","1923"
"03.03.2025 05:15 - 03.03.2025 05:30","0","1913"
"03.03.2025 05:30 - 03.03.2025 05:45","0","1880"
"03.03.2025 05:45 - 03.03.2025 06:00","0","1696"
"03.03.2025 06:00 - 03.03.2025 06:15","0","1700"
"03.03.2025 06:15 - 03.03.2025 06:30","0","1730"
"03.03.2025 06:30 - 03.03.2025 06:45","0","1838"
"03.03.2025 06:45 - 03.03.2025 07:00","0","1725"
"03.03.2025 07:00 - 03.03.2025 07:15","0","1452"
"03.03.2025 07:15 - 03.03.2025 07:30","0","1420"
"03.03.2025 07:30 - 03.03.2025 07:45","0","1413"
"03.03.2025 07:45 - 03.03.2025 08:00","0","1421"
"03.03.2025 08:00 - 03.03.2025 08:15","0","1320"
"03.03.2025 08:15 - 03.03.2025 08:30","0","1226"
"03.03.2025 08:30 - 03.03.2025 08:45","0","1228"
"03.03.2025 08:45 - 03.03.2025 09:00","0","1209"
"03.03.2025 09:00 - 03.03.2025 09:15","0","1255"
"03.03.2025 09:15 - 03.03.2025 09:30","0","1260"
"03.03.2025 09:30 - 03.03.2025 09:45","0","1311"
"03.03.2025 09:45 - 03.03.2025 10:00","0","1327"
"03.03.2025 10:00 - 03.03.2025 10:15","0","1298"
"03.03.2025 10:15 - 03.03.2025 10:30","0","1205"
"03.03.2025 10:30 - 03.03.2025 10:45","0","1145"
"03.03.2025 10:45 - 03.03.2025 11:00","0","1255"
"03.03.2025 11:00 - 03.03.2025 11:15","0","872"
"03.03.2025 11:15 - 03.03.2025 11:30","0","749"
"03.03.2025 11:30 - 03.03.2025 11:45","0","681"
"03.03.2025 11:45 - 03.03.2025 12:00","0","717"
"03.03.2025 12:00 - 03.03.2025 12:15","0","292"
"03.03.2025 12:15 - 03.03.2025 12:30","0","157"
"03.03.2025 12:30 - 03.03.2025 12:45","0","220"
"03.03.2025 12:45 - 03.03.2025 13:00","0","299"
"03.03.2025 13:00 - 03.03.2025 13:15","0","603"
"03.03.2025 13:15 - 03.03.2025 13:30","0","635"
"03.03.2025 13:30 - 03.03.2025 13:45","0","694"
"03.03.2025 13:45 - 03.03.2025 14:00","0","832"
"03.03.2025 14:00 - 03.03.2025 14:15","0","1126"
"03.03.2025 14:15 - 03.03.2025 14:30","0","1173"
"03.03.2025 14:30 - 03.03.2025 14:45","0","1130"
"03.03.2025 14:45 - 03.03.2025 15:00","0","1211"
"03.03.2025 15:00 - 03.03.2025 15:15","0","1501"
"03.03.2025 15:15 - 03.03.2025 15:30","0","1507"
"03.03.2025 15:30 - 03.03.2025 15:45","0","1553"
"03.03.2025 15:45 - 03.03.2025 16:00","0","1643"
