"Time (CET/CEST)","BZN|NO2 > BZN|NO1 [MW]","BZN|NO1 > BZN|NO2 [MW]"
"25.03.2025 00:00 - 25.03.2025 00:15","0","1537"
"25.03.2025 00:15 - 25.03.2025 00:30","0","1573"
"25.03.2025 00:30 - 25.03.2025 00:45","0","1581"
"25.03.2025 00:45 - 25.03.2025 01:00","0","1648"
"25.03.2025 01:00 - 25.03.2025 01:15","0","1699"
"25.03.2025 01:15 - 25.03.2025 01:30","0","1626"
"25.03.2025 01:30 - 25.03.2025 01:45","0","1751"
"25.03.2025 01:45 - 25.03.2025 02:00","0","1682"
"25.03.2025 02:00 - 25.03.2025 02:15","0","1357"
"25.03.2025 02:15 - 25.03.2025 02:30","0","1456"
"25.03.2025 02:30 - 25.03.2025 02:45","0","1563"
"25.03.2025 02:45 - 25.03.2025 03:00","0","1579"
"25.03.2025 03:00 - 25.03.2025 03:15","0","1531"
"25.03.2025 03:15 - 25.03.2025 03:30","0","1545"
"25.03.2025 03:30 - 25.03.2025 03:45","0","1520"
"25.03.2025 03:45 - 25.03.2025 04:00","0","1496"
"25.03.2025 04:00 - 25.03.2025 04:15","0","1453"
"25.03.2025 04:15 - 25.03.2025 04:30","0","1422"
"25.03.2025 04:30 - 25.03.2025 04:45","0","1492"
"25.03.2025 04:45 - 25.03.2025 05:00","0","1355"
"25.03.2025 05:00 - 25.03.2025 05:15","0","1344"
"25.03.2025 05:15 - 25.03.2025 05:30","0","1367"
"25.03.2025 05:30 - 25.03.2025 05:45","0","1264"
"25.03.2025 05:45 - 25.03.2025 06:00","0","1109"
"25.03.2025 06:00 - 25.03.2025 06:15","0","710"
"25.03.2025 06:15 - 25.03.2025 06:30","0","586"
"25.03.2025 06:30 - 25.03.2025 06:45","0","452"
"25.03.2025 06:45 - 25.03.2025 07:00","0","320"
"25.03.2025 07:00 - 25.03.2025 07:15","167","0"
"25.03.2025 07:15 - 25.03.2025 07:30","303","0"
"25.03.2025 07:30 - 25.03.2025 07:45","257","0"
