"Time (CET/CEST)","BZN|SE3 > BZN|NO1 [MW]","BZN|NO1 > BZN|SE3 [MW]"
"18.03.2025 00:00 - 18.03.2025 01:00","509","0"
"18.03.2025 01:00 - 18.03.2025 02:00","721","0"
"18.03.2025 02:00 - 18.03.2025 03:00","772","0"
"18.03.2025 03:00 - 18.03.2025 04:00","764","0"
"18.03.2025 04:00 - 18.03.2025 05:00","828","0"
"18.03.2025 05:00 - 18.03.2025 06:00","692","0"
"18.03.2025 06:00 - 18.03.2025 07:00","0","146"
"18.03.2025 07:00 - 18.03.2025 08:00","0","121"
"18.03.2025 08:00 - 18.03.2025 09:00","346","0"
"18.03.2025 09:00 - 18.03.2025 10:00","377","0"
"18.03.2025 10:00 - 18.03.2025 11:00","1400","0"
"18.03.2025 11:00 - 18.03.2025 12:00","1828","0"
"18.03.2025 12:00 - 18.03.2025 13:00","1899","0"
"18.03.2025 13:00 - 18.03.2025 14:00","1885","0"
"18.03.2025 14:00 - 18.03.2025 15:00","1705","0"
"18.03.2025 15:00 - 18.03.2025 16:00","799","0"
"18.03.2025 16:00 - 18.03.2025 17:00","229","0"
"18.03.2025 17:00 - 18.03.2025 18:00","0","5"
"18.03.2025 18:00 - 18.03.2025 19:00","0","27"
"18.03.2025 19:00 - 18.03.2025 20:00","449","0"
"18.03.2025 20:00 - 18.03.2025 21:00","436","0"
"18.03.2025 21:00 - 18.03.2025 22:00","632","0"
"18.03.2025 22:00 - 18.03.2025 23:00","723","0"
"18.03.2025 23:00 - 19.03.2025 00:00","974","0"
