"Time (CET/CEST)","BZN|SE3 > BZN|NO1 [MW]","BZN|NO1 > BZN|SE3 [MW]"
"20.03.2025 00:00 - 20.03.2025 01:00","225","0"
"20.03.2025 01:00 - 20.03.2025 02:00","304","0"
"20.03.2025 02:00 - 20.03.2025 03:00","213","0"
"20.03.2025 03:00 - 20.03.2025 04:00","362","0"
"20.03.2025 04:00 - 20.03.2025 05:00","353","0"
"20.03.2025 05:00 - 20.03.2025 06:00","524","0"
"20.03.2025 06:00 - 20.03.2025 07:00","17","0"
"20.03.2025 07:00 - 20.03.2025 08:00","108","0"
"20.03.2025 08:00 - 20.03.2025 09:00","700","0"
"20.03.2025 09:00 - 20.03.2025 10:00","764","0"
"20.03.2025 10:00 - 20.03.2025 11:00","1387","0"
"20.03.2025 11:00 - 20.03.2025 12:00","1911","0"
"20.03.2025 12:00 - 20.03.2025 13:00","1724","0"
"20.03.2025 13:00 - 20.03.2025 14:00","1585","0"
"20.03.2025 14:00 - 20.03.2025 15:00","1866","0"
"20.03.2025 15:00 - 20.03.2025 16:00","923","0"
"20.03.2025 16:00 - 20.03.2025 17:00","449","0"
"20.03.2025 17:00 - 20.03.2025 18:00","0","941"
"20.03.2025 18:00 - 20.03.2025 19:00","0","1257"
"20.03.2025 19:00 - 20.03.2025 20:00","0","1031"
"20.03.2025 20:00 - 20.03.2025 21:00","0","391"
"20.03.2025 21:00 - 20.03.2025 22:00","107","0"
"20.03.2025 22:00 - 20.03.2025 23:00","630","0"
"20.03.2025 23:00 - 21.03.2025 00:00","529","0"
