"Time (CET/CEST)","BZN|SE3 > BZN|NO1 [MW]","BZN|NO1 > BZN|SE3 [MW]"
"03.03.2025 00:00 - 03.03.2025 01:00","1878","0"
"03.03.2025 01:00 - 03.03.2025 02:00","1877","0"
"03.03.2025 02:00 - 03.03.2025 03:00","2044","0"
"03.03.2025 03:00 - 03.03.2025 04:00","1932","0"
"03.03.2025 04:00 - 03.03.2025 05:00","1772","0"
"03.03.2025 05:00 - 03.03.2025 06:00","1814","0"
"03.03.2025 06:00 - 03.03.2025 07:00","1704","0"
"03.03.2025 07:00 - 03.03.2025 08:00","1832","0"
"03.03.2025 08:00 - 03.03.2025 09:00","1663","0"
"03.03.2025 09:00 - 03.03.2025 10:00","1630","0"
"03.03.2025 10:00 - 03.03.2025 11:00","1782","0"
"03.03.2025 11:00 - 03.03.2025 12:00","1761","0"
"03.03.2025 12:00 - 03.03.2025 13:00","1643","0"
"03.03.2025 13:00 - 03.03.2025 14:00","1795","0"
"03.03.2025 14:00 - 03.03.2025 15:00","1676","0"
"03.03.2025 15:00 - 03.03.2025 16:00","1581","0"
"03.03.2025 16:00 - 03.03.2025 17:00","1593","0"
"03.03.2025 17:00 - 03.03.2025 18:00","1518","0"
"03.03.2025 18:00 - 03.03.2025 19:00","1301","0"
"03.03.2025 19:00 - 03.03.2025 20:00","1730","0"
"03.03.2025 20:00 - 03.03.2025 21:00","1841","0"
"03.03.2025 21:00 - 03.03.2025 22:00","1726","0"
"03.03.2025 22:00 - 03.03.2025 23:00","1719","0"
"03.03.2025 23:00 - 04.03.2025 00:00","1871","0"
