"Time (CET/CEST)","BZN|NO3 > BZN|NO1 [MW]","BZN|NO1 > BZN|NO3 [MW]"
"16.03.2025 00:00 - 16.03.2025 00:15","293","0"
"16.03.2025 00:15 - 16.03.2025 00:30","293","0"
"16.03.2025 00:30 - 16.03.2025 00:45","289","0"
"16.03.2025 00:45 - 16.03.2025 01:00","284","0"
"16.03.2025 01:00 - 16.03.2025 01:15","303","0"
"16.03.2025 01:15 - 16.03.2025 01:30","310","0"
"16.03.2025 01:30 - 16.03.2025 01:45","314","0"
"16.03.2025 01:45 - 16.03.2025 02:00","308","0"
"16.03.2025 02:00 - 16.03.2025 02:15","330","0"
"16.03.2025 02:15 - 16.03.2025 02:30","329","0"
"16.03.2025 02:30 - 16.03.2025 02:45","328","0"
"16.03.2025 02:45 - 16.03.2025 03:00","327","0"
"16.03.2025 03:00 - 16.03.2025 03:15","342","0"
"16.03.2025 03:15 - 16.03.2025 03:30","352","0"
"16.03.2025 03:30 - 16.03.2025 03:45","337","0"
"16.03.2025 03:45 - 16.03.2025 04:00","329","0"
"16.03.2025 04:00 - 16.03.2025 04:15","353","0"
"16.03.2025 04:15 - 16.03.2025 04:30","364","0"
"16.03.2025 04:30 - 16.03.2025 04:45","349","0"
"16.03.2025 04:45 - 16.03.2025 05:00","334","0"
"16.03.2025 05:00 - 16.03.2025 05:15","293","0"
"16.03.2025 05:15 - 16.03.2025 05:30","301","0"
"16.03.2025 05:30 - 16.03.2025 05:45","299","0"
"16.03.2025 05:45 - 16.03.2025 06:00","299","0"
"16.03.2025 06:00 - 16.03.2025 06:15","264","0"
"16.03.2025 06:15 - 16.03.2025 06:30","238","0"
"16.03.2025 06:30 - 16.03.2025 06:45","216","0"
"16.03.2025 06:45 - 16.03.2025 07:00","215","0"
"16.03.2025 07:00 - 16.03.2025 07:15","240","0"
"16.03.2025 07:15 - 16.03.2025 07:30","239","0"
"16.03.2025 07:30 - 16.03.2025 07:45","264","0"
"16.03.2025 07:45 - 16.03.2025 08:00","278","0"
"16.03.2025 08:00 - 16.03.2025 08:15","275","0"
"16.03.2025 08:15 - 16.03.2025 08:30","263","0"
"16.03.2025 08:30 - 16.03.2025 08:45","279","0"
"16.03.2025 08:45 - 16.03.2025 09:00","261","0"
"16.03.2025 09:00 - 16.03.2025 09:15","270","0"
"16.03.2025 09:15 - 16.03.2025 09:30","277","0"
"16.03.2025 09:30 - 16.03.2025 09:45","250","0"
"16.03.2025 09:45 - 16.03.2025 10:00","246","0"
"16.03.2025 10:00 - 16.03.2025 10:15","263","0"
"16.03.2025 10:15 - 16.03.2025 10:30","253","0"
"16.03.2025 10:30 - 16.03.2025 10:45","248","0"
"16.03.2025 10:45 - 16.03.2025 11:00","249","0"
"16.03.2025 11:00 - 16.03.2025 11:15","242","0"
"16.03.2025 11:15 - 16.03.2025 11:30","253","0"
"16.03.2025 11:30 - 16.03.2025 11:45","258","0"
"16.03.2025 11:45 - 16.03.2025 12:00","264","0"
"16.03.2025 12:00 - 16.03.2025 12:15","231","0"
