"Time (CET/CEST)","BZN|SE3 > BZN|NO1 [MW]","BZN|NO1 > BZN|SE3 [MW]"
"16.03.2025 00:00 - 16.03.2025 01:00","1246","0"
"16.03.2025 01:00 - 16.03.2025 02:00","1303","0"
"16.03.2025 02:00 - 16.03.2025 03:00","1385","0"
"16.03.2025 03:00 - 16.03.2025 04:00","1323","0"
"16.03.2025 04:00 - 16.03.2025 05:00","1315","0"
"16.03.2025 05:00 - 16.03.2025 06:00","976","0"
"16.03.2025 06:00 - 16.03.2025 07:00","725","0"
"16.03.2025 07:00 - 16.03.2025 08:00","755","0"
"16.03.2025 08:00 - 16.03.2025 09:00","1032","0"
"16.03.2025 09:00 - 16.03.2025 10:00","1268","0"
"16.03.2025 10:00 - 16.03.2025 11:00","1903","0"
"16.03.2025 11:00 - 16.03.2025 12:00","1804","0"
"16.03.2025 12:00 - 16.03.2025 13:00","1927","0"
"16.03.2025 13:00 - 16.03.2025 14:00","1724","0"
"16.03.2025 14:00 - 16.03.2025 15:00","1893","0"
"16.03.2025 15:00 - 16.03.2025 16:00","1171","0"
"16.03.2025 16:00 - 16.03.2025 17:00","202","0"
"16.03.2025 17:00 - 16.03.2025 18:00","118","0"
"16.03.2025 18:00 - 16.03.2025 19:00","0","190"
"16.03.2025 19:00 - 16.03.2025 20:00","188","0"
"16.03.2025 20:00 - 16.03.2025 21:00","244","0"
"16.03.2025 21:00 - 16.03.2025 22:00","555","0"
"16.03.2025 22:00 - 16.03.2025 23:00","534","0"
"16.03.2025 23:00 - 17.03.2025 00:00","748","0"
