"Time (CET/CEST)","BZN|NO3 > BZN|NO1 [MW]","BZN|NO1 > BZN|NO3 [MW]"
"10.03.2025 00:00 - 10.03.2025 00:15","341","0"
"10.03.2025 00:15 - 10.03.2025 00:30","311","0"
"10.03.2025 00:30 - 10.03.2025 00:45","349","0"
"10.03.2025 00:45 - 10.03.2025 01:00","352","0"
"10.03.2025 01:00 - 10.03.2025 01:15","370","0"
"10.03.2025 01:15 - 10.03.2025 01:30","342","0"
"10.03.2025 01:30 - 10.03.2025 01:45","346","0"
"10.03.2025 01:45 - 10.03.2025 02:00","347","0"
"10.03.2025 02:00 - 10.03.2025 02:15","386","0"
"10.03.2025 02:15 - 10.03.2025 02:30","388","0"
"10.03.2025 02:30 - 10.03.2025 02:45","377","0"
"10.03.2025 02:45 - 10.03.2025 03:00","355","0"
"10.03.2025 03:00 - 10.03.2025 03:15","348","0"
"10.03.2025 03:15 - 10.03.2025 03:30","359","0"
"10.03.2025 03:30 - 10.03.2025 03:45","372","0"
"10.03.2025 03:45 - 10.03.2025 04:00","370","0"
"10.03.2025 04:00 - 10.03.2025 04:15","346","0"
"10.03.2025 04:15 - 10.03.2025 04:30","351","0"
"10.03.2025 04:30 - 10.03.2025 04:45","365","0"
"10.03.2025 04:45 - 10.03.2025 05:00","374","0"
"10.03.2025 05:00 - 10.03.2025 05:15","317","0"
"10.03.2025 05:15 - 10.03.2025 05:30","303","0"
"10.03.2025 05:30 - 10.03.2025 05:45","335","0"
"10.03.2025 05:45 - 10.03.2025 06:00","307","0"
"10.03.2025 06:00 - 10.03.2025 06:15","70","0"
"10.03.2025 06:15 - 10.03.2025 06:30","90","0"
"10.03.2025 06:30 - 10.03.2025 06:45","91","0"
"10.03.2025 06:45 - 10.03.2025 07:00","81","0"
"10.03.2025 07:00 - 10.03.2025 07:15","47","0"
"10.03.2025 07:15 - 10.03.2025 07:30","70","0"
"10.03.2025 07:30 - 10.03.2025 07:45","54","0"
"10.03.2025 07:45 - 10.03.2025 08:00","49","0"
"10.03.2025 08:00 - 10.03.2025 08:15","208","0"
"10.03.2025 08:15 - 10.03.2025 08:30","210","0"
"10.03.2025 08:30 - 10.03.2025 08:45","205","0"
"10.03.2025 08:45 - 10.03.2025 09:00","201","0"
"10.03.2025 09:00 - 10.03.2025 09:15","224","0"
"10.03.2025 09:15 - 10.03.2025 09:30","246","0"
"10.03.2025 09:30 - 10.03.2025 09:45","243","0"
"10.03.2025 09:45 - 10.03.2025 10:00","220","0"
"10.03.2025 10:00 - 10.03.2025 10:15","219","0"
"10.03.2025 10:15 - 10.03.2025 10:30","228","0"
"10.03.2025 10:30 - 10.03.2025 10:45","231","0"
"10.03.2025 10:45 - 10.03.2025 11:00","226","0"
"10.03.2025 11:00 - 10.03.2025 11:15","208","0"
"10.03.2025 11:15 - 10.03.2025 11:30","200","0"
"10.03.2025 11:30 - 10.03.2025 11:45","189","0"
"10.03.2025 11:45 - 10.03.2025 12:00","210","0"
"10.03.2025 12:00 - 10.03.2025 12:15","222","0"
"10.03.2025 12:15 - 10.03.2025 12:30","224","0"
"10.03.2025 12:30 - 10.03.2025 12:45","218","0"
"10.03.2025 12:45 - 10.03.2025 13:00","218","0"
"10.03.2025 13:00 - 10.03.2025 13:15","239","0"
"10.03.2025 13:15 - 10.03.2025 13:30","237","0"
"10.03.2025 13:30 - 10.03.2025 13:45","221","0"
"10.03.2025 13:45 - 10.03.2025 14:00","228","0"
"10.03.2025 14:00 - 10.03.2025 14:15","262","0"
"10.03.2025 14:15 - 10.03.2025 14:30","269","0"
"10.03.2025 14:30 - 10.03.2025 14:45","277","0"
"10.03.2025 14:45 - 10.03.2025 15:00","275","0"
"10.03.2025 15:00 - 10.03.2025 15:15","269","0"
"10.03.2025 15:15 - 10.03.2025 15:30","268","0"
"10.03.2025 15:30 - 10.03.2025 15:45","264","0"
"10.03.2025 15:45 - 10.03.2025 16:00","248","0"
"10.03.2025 16:00 - 10.03.2025 16:15","215","0"
"10.03.2025 16:15 - 10.03.2025 16:30","228","0"
"10.03.2025 16:30 - 10.03.2025 16:45","237","0"
"10.03.2025 16:45 - 10.03.2025 17:00","211","0"
"10.03.2025 17:00 - 10.03.2025 17:15","189","0"
"10.03.2025 17:15 - 10.03.2025 17:30","195","0"
"10.03.2025 17:30 - 10.03.2025 17:45","207","0"
"10.03.2025 17:45 - 10.03.2025 18:00","198","0"
"10.03.2025 18:00 - 10.03.2025 18:15","140","0"
"10.03.2025 18:15 - 10.03.2025 18:30","146","0"
"10.03.2025 18:30 - 10.03.2025 18:45","149","0"
"10.03.2025 18:45 - 10.03.2025 19:00","131","0"
"10.03.2025 19:00 - 10.03.2025 19:15","102","0"
"10.03.2025 19:15 - 10.03.2025 19:30","104","0"
"10.03.2025 19:30 - 10.03.2025 19:45","103","0"
"10.03.2025 19:45 - 10.03.2025 20:00","102","0"
"10.03.2025 20:00 - 10.03.2025 20:15","171","0"
"10.03.2025 20:15 - 10.03.2025 20:30","174","0"
"10.03.2025 20:30 - 10.03.2025 20:45","170","0"
"10.03.2025 20:45 - 10.03.2025 21:00","166","0"
"10.03.2025 21:00 - 10.03.2025 21:15","196","0"
"10.03.2025 21:15 - 10.03.2025 21:30","192","0"
"10.03.2025 21:30 - 10.03.2025 21:45","199","0"
"10.03.2025 21:45 - 10.03.2025 22:00","225","0"
"10.03.2025 22:00 - 10.03.2025 22:15","269","0"
"10.03.2025 22:15 - 10.03.2025 22:30","252","0"
"10.03.2025 22:30 - 10.03.2025 22:45","242","0"
"10.03.2025 22:45 - 10.03.2025 23:00","252","0"
"10.03.2025 23:00 - 10.03.2025 23:15","254","0"
"10.03.2025 23:15 - 10.03.2025 23:30","235","0"
"10.03.2025 23:30 - 10.03.2025 23:45","261","0"
"10.03.2025 23:45 - 11.03.2025 00:00","296","0"
