"Time (CET/CEST)","BZN|SE3 > BZN|NO1 [MW]","BZN|NO1 > BZN|SE3 [MW]"
"30.03.2025 00:00 - 30.03.2025 01:00","1285","0"
"30.03.2025 01:00 - 30.03.2025 02:00","1352","0"
"30.03.2025 02:00 - 30.03.2025 03:00","",""
"30.03.2025 03:00 - 30.03.2025 04:00","1291","0"
"30.03.2025 04:00 - 30.03.2025 05:00","1209","0"
"30.03.2025 05:00 - 30.03.2025 06:00","1557","0"
"30.03.2025 06:00 - 30.03.2025 07:00","1661","0"
"30.03.2025 07:00 - 30.03.2025 08:00","1396","0"
"30.03.2025 08:00 - 30.03.2025 09:00","1500","0"
"30.03.2025 09:00 - 30.03.2025 10:00","1736","0"
"30.03.2025 10:00 - 30.03.2025 11:00","1654","0"
"30.03.2025 11:00 - 30.03.2025 12:00","1456","0"
"30.03.2025 12:00 - 30.03.2025 13:00","750","0"
"30.03.2025 13:00 - 30.03.2025 14:00","1015","0"
"30.03.2025 14:00 - 30.03.2025 15:00","782","0"
"30.03.2025 15:00 - 30.03.2025 16:00","838","0"
"30.03.2025 16:00 - 30.03.2025 17:00","1087","0"
"30.03.2025 17:00 - 30.03.2025 18:00","1454","0"
"30.03.2025 18:00 - 30.03.2025 19:00","680","0"
"30.03.2025 19:00 - 30.03.2025 20:00","126","0"
"30.03.2025 20:00 - 30.03.2025 21:00","0","94"
"30.03.2025 21:00 - 30.03.2025 22:00","419","0"
"30.03.2025 22:00 - 30.03.2025 23:00","48","0"
"30.03.2025 23:00 - 31.03.2025 00:00","295","0"
