"Time (CET/CEST)","BZN|NO3 > BZN|NO1 [MW]","BZN|NO1 > BZN|NO3 [MW]"
"27.03.2025 00:00 - 27.03.2025 00:15","225","0"
"27.03.2025 00:15 - 27.03.2025 00:30","219","0"
"27.03.2025 00:30 - 27.03.2025 00:45","203","0"
"27.03.2025 00:45 - 27.03.2025 01:00","220","0"
"27.03.2025 01:00 - 27.03.2025 01:15","272","0"
"27.03.2025 01:15 - 27.03.2025 01:30","263","0"
"27.03.2025 01:30 - 27.03.2025 01:45","264","0"
"27.03.2025 01:45 - 27.03.2025 02:00","276","0"
"27.03.2025 02:00 - 27.03.2025 02:15","266","0"
"27.03.2025 02:15 - 27.03.2025 02:30","269","0"
"27.03.2025 02:30 - 27.03.2025 02:45","296","0"
"27.03.2025 02:45 - 27.03.2025 03:00","289","0"
"27.03.2025 03:00 - 27.03.2025 03:15","298","0"
"27.03.2025 03:15 - 27.03.2025 03:30","287","0"
"27.03.2025 03:30 - 27.03.2025 03:45","273","0"
"27.03.2025 03:45 - 27.03.2025 04:00","270","0"
"27.03.2025 04:00 - 27.03.2025 04:15","276","0"
"27.03.2025 04:15 - 27.03.2025 04:30","271","0"
"27.03.2025 04:30 - 27.03.2025 04:45","271","0"
"27.03.2025 04:45 - 27.03.2025 05:00","261","0"
"27.03.2025 05:00 - 27.03.2025 05:15","251","0"
"27.03.2025 05:15 - 27.03.2025 05:30","275","0"
"27.03.2025 05:30 - 27.03.2025 05:45","264","0"
"27.03.2025 05:45 - 27.03.2025 06:00","251","0"
"27.03.2025 06:00 - 27.03.2025 06:15","209","0"
"27.03.2025 06:15 - 27.03.2025 06:30","203","0"
"27.03.2025 06:30 - 27.03.2025 06:45","231","0"
"27.03.2025 06:45 - 27.03.2025 07:00","244","0"
"27.03.2025 07:00 - 27.03.2025 07:15","193","0"
"27.03.2025 07:15 - 27.03.2025 07:30","178","0"
"27.03.2025 07:30 - 27.03.2025 07:45","182","0"
"27.03.2025 07:45 - 27.03.2025 08:00","200","0"
"27.03.2025 08:00 - 27.03.2025 08:15","211","0"
"27.03.2025 08:15 - 27.03.2025 08:30","215","0"
"27.03.2025 08:30 - 27.03.2025 08:45","230","0"
"27.03.2025 08:45 - 27.03.2025 09:00","226","0"
"27.03.2025 09:00 - 27.03.2025 09:15","250","0"
"27.03.2025 09:15 - 27.03.2025 09:30","229","0"
"27.03.2025 09:30 - 27.03.2025 09:45","235","0"
"27.03.2025 09:45 - 27.03.2025 10:00","213","0"
"27.03.2025 10:00 - 27.03.2025 10:15","229","0"
"27.03.2025 10:15 - 27.03.2025 10:30","256","0"
"27.03.2025 10:30 - 27.03.2025 10:45","239","0"
"27.03.2025 10:45 - 27.03.2025 11:00","213","0"
"27.03.2025 11:00 - 27.03.2025 11:15","269","0"
"27.03.2025 11:15 - 27.03.2025 11:30","254","0"
"27.03.2025 11:30 - 27.03.2025 11:45","220","0"
"27.03.2025 11:45 - 27.03.2025 12:00","214","0"
"27.03.2025 12:00 - 27.03.2025 12:15","280","0"
"27.03.2025 12:15 - 27.03.2025 12:30","303","0"
"27.03.2025 12:30 - 27.03.2025 12:45","297","0"
"27.03.2025 12:45 - 27.03.2025 13:00","285","0"
"27.03.2025 13:00 - 27.03.2025 13:15","324","0"
"27.03.2025 13:15 - 27.03.2025 13:30","349","0"
"27.03.2025 13:30 - 27.03.2025 13:45","300","0"
"27.03.2025 13:45 - 27.03.2025 14:00","311","0"
"27.03.2025 14:00 - 27.03.2025 14:15","277","0"
"27.03.2025 14:15 - 27.03.2025 14:30","269","0"
"27.03.2025 14:30 - 27.03.2025 14:45","259","0"
"27.03.2025 14:45 - 27.03.2025 15:00","252","0"
"27.03.2025 15:00 - 27.03.2025 15:15","244","0"
"27.03.2025 15:15 - 27.03.2025 15:30","260","0"
"27.03.2025 15:30 - 27.03.2025 15:45","255","0"
"27.03.2025 15:45 - 27.03.2025 16:00","259","0"
"27.03.2025 16:00 - 27.03.2025 16:15","254","0"
"27.03.2025 16:15 - 27.03.2025 16:30","255","0"
"27.03.2025 16:30 - 27.03.2025 16:45","245","0"
"27.03.2025 16:45 - 27.03.2025 17:00","236","0"
"27.03.2025 17:00 - 27.03.2025 17:15","229","0"
"27.03.2025 17:15 - 27.03.2025 17:30","253","0"
"27.03.2025 17:30 - 27.03.2025 17:45","258","0"
"27.03.2025 17:45 - 27.03.2025 18:00","241","0"
"27.03.2025 18:00 - 27.03.2025 18:15","203","0"
"27.03.2025 18:15 - 27.03.2025 18:30","222","0"
"27.03.2025 18:30 - 27.03.2025 18:45","245","0"
"27.03.2025 18:45 - 27.03.2025 19:00","240","0"
"27.03.2025 19:00 - 27.03.2025 19:15","205","0"
"27.03.2025 19:15 - 27.03.2025 19:30","196","0"
"27.03.2025 19:30 - 27.03.2025 19:45","205","0"
"27.03.2025 19:45 - 27.03.2025 20:00","219","0"
"27.03.2025 20:00 - 27.03.2025 20:15","213","0"
"27.03.2025 20:15 - 27.03.2025 20:30","200","0"
"27.03.2025 20:30 - 27.03.2025 20:45","198","0"
"27.03.2025 20:45 - 27.03.2025 21:00","217","0"
"27.03.2025 21:00 - 27.03.2025 21:15","228","0"
"27.03.2025 21:15 - 27.03.2025 21:30","224","0"
"27.03.2025 21:30 - 27.03.2025 21:45","224","0"
"27.03.2025 21:45 - 27.03.2025 22:00","210","0"
"27.03.2025 22:00 - 27.03.2025 22:15","231","0"
"27.03.2025 22:15 - 27.03.2025 22:30","217","0"
"27.03.2025 22:30 - 27.03.2025 22:45","209","0"
"27.03.2025 22:45 - 27.03.2025 23:00","223","0"
"27.03.2025 23:00 - 27.03.2025 23:15","226","0"
"27.03.2025 23:15 - 27.03.2025 23:30","236","0"
"27.03.2025 23:30 - 27.03.2025 23:45","241","0"
"27.03.2025 23:45 - 28.03.2025 00:00","220","0"
