"Time (CET/CEST)","BZN|NO3 > BZN|NO1 [MW]","BZN|NO1 > BZN|NO3 [MW]"
"02.03.2025 00:00 - 02.03.2025 00:15","356","0"
"02.03.2025 00:15 - 02.03.2025 00:30","354","0"
"02.03.2025 00:30 - 02.03.2025 00:45","372","0"
"02.03.2025 00:45 - 02.03.2025 01:00","367","0"
"02.03.2025 01:00 - 02.03.2025 01:15","372","0"
"02.03.2025 01:15 - 02.03.2025 01:30","362","0"
"02.03.2025 01:30 - 02.03.2025 01:45","357","0"
"02.03.2025 01:45 - 02.03.2025 02:00","371","0"
"02.03.2025 02:00 - 02.03.2025 02:15","380","0"
"02.03.2025 02:15 - 02.03.2025 02:30","368","0"
"02.03.2025 02:30 - 02.03.2025 02:45","365","0"
"02.03.2025 02:45 - 02.03.2025 03:00","368","0"
"02.03.2025 03:00 - 02.03.2025 03:15","366","0"
"02.03.2025 03:15 - 02.03.2025 03:30","357","0"
"02.03.2025 03:30 - 02.03.2025 03:45","356","0"
"02.03.2025 03:45 - 02.03.2025 04:00","345","0"
"02.03.2025 04:00 - 02.03.2025 04:15","359","0"
"02.03.2025 04:15 - 02.03.2025 04:30","356","0"
"02.03.2025 04:30 - 02.03.2025 04:45","357","0"
"02.03.2025 04:45 - 02.03.2025 05:00","365","0"
"02.03.2025 05:00 - 02.03.2025 05:15","321","0"
"02.03.2025 05:15 - 02.03.2025 05:30","319","0"
"02.03.2025 05:30 - 02.03.2025 05:45","337","0"
"02.03.2025 05:45 - 02.03.2025 06:00","326","0"
"02.03.2025 06:00 - 02.03.2025 06:15","308","0"
"02.03.2025 06:15 - 02.03.2025 06:30","319","0"
"02.03.2025 06:30 - 02.03.2025 06:45","317","0"
"02.03.2025 06:45 - 02.03.2025 07:00","319","0"
"02.03.2025 07:00 - 02.03.2025 07:15","303","0"
"02.03.2025 07:15 - 02.03.2025 07:30","281","0"
"02.03.2025 07:30 - 02.03.2025 07:45","282","0"
"02.03.2025 07:45 - 02.03.2025 08:00","287","0"
"02.03.2025 08:00 - 02.03.2025 08:15","299","0"
"02.03.2025 08:15 - 02.03.2025 08:30","310","0"
"02.03.2025 08:30 - 02.03.2025 08:45","315","0"
"02.03.2025 08:45 - 02.03.2025 09:00","319","0"
"02.03.2025 09:00 - 02.03.2025 09:15","289","0"
"02.03.2025 09:15 - 02.03.2025 09:30","281","0"
"02.03.2025 09:30 - 02.03.2025 09:45","295","0"
"02.03.2025 09:45 - 02.03.2025 10:00","288","0"
