"Time (CET/CEST)","BZN|NO2 > BZN|NO1 [MW]","BZN|NO1 > BZN|NO2 [MW]"
"19.03.2025 00:00 - 19.03.2025 00:15","0","1315"
"19.03.2025 00:15 - 19.03.2025 00:30","0","1257"
"19.03.2025 00:30 - 19.03.2025 00:45","0","1201"
"19.03.2025 00:45 - 19.03.2025 01:00","0","1210"
"19.03.2025 01:00 - 19.03.2025 01:15","0","1254"
"19.03.2025 01:15 - 19.03.2025 01:30","0","1225"
"19.03.2025 01:30 - 19.03.2025 01:45","0","1296"
"19.03.2025 01:45 - 19.03.2025 02:00","0","1312"
"19.03.2025 02:00 - 19.03.2025 02:15","0","1318"
"19.03.2025 02:15 - 19.03.2025 02:30","0","1320"
"19.03.2025 02:30 - 19.03.2025 02:45","0","1319"
"19.03.2025 02:45 - 19.03.2025 03:00","0","1266"
"19.03.2025 03:00 - 19.03.2025 03:15","0","1359"
"19.03.2025 03:15 - 19.03.2025 03:30","0","1438"
"19.03.2025 03:30 - 19.03.2025 03:45","0","1383"
"19.03.2025 03:45 - 19.03.2025 04:00","0","1342"
"19.03.2025 04:00 - 19.03.2025 04:15","0","1381"
"19.03.2025 04:15 - 19.03.2025 04:30","0","1329"
"19.03.2025 04:30 - 19.03.2025 04:45","0","1374"
"19.03.2025 04:45 - 19.03.2025 05:00","0","1355"
"19.03.2025 05:00 - 19.03.2025 05:15","0","1011"
"19.03.2025 05:15 - 19.03.2025 05:30","0","915"
"19.03.2025 05:30 - 19.03.2025 05:45","0","977"
"19.03.2025 05:45 - 19.03.2025 06:00","0","1052"
"19.03.2025 06:00 - 19.03.2025 06:15","0","604"
"19.03.2025 06:15 - 19.03.2025 06:30","0","484"
"19.03.2025 06:30 - 19.03.2025 06:45","0","565"
"19.03.2025 06:45 - 19.03.2025 07:00","0","576"
"19.03.2025 07:00 - 19.03.2025 07:15","0","308"
"19.03.2025 07:15 - 19.03.2025 07:30","0","324"
"19.03.2025 07:30 - 19.03.2025 07:45","0","341"
"19.03.2025 07:45 - 19.03.2025 08:00","0","327"
"19.03.2025 08:00 - 19.03.2025 08:15","0","332"
"19.03.2025 08:15 - 19.03.2025 08:30","0","355"
"19.03.2025 08:30 - 19.03.2025 08:45","0","346"
"19.03.2025 08:45 - 19.03.2025 09:00","0","276"
"19.03.2025 09:00 - 19.03.2025 09:15","0","384"
"19.03.2025 09:15 - 19.03.2025 09:30","0","361"
