"Time (CET/CEST)","BZN|NO3 > BZN|NO1 [MW]","BZN|NO1 > BZN|NO3 [MW]"
"05.03.2025 00:00 - 05.03.2025 00:15","277","0"
"05.03.2025 00:15 - 05.03.2025 00:30","279","0"
"05.03.2025 00:30 - 05.03.2025 00:45","259","0"
"05.03.2025 00:45 - 05.03.2025 01:00","273","0"
"05.03.2025 01:00 - 05.03.2025 01:15","258","0"
"05.03.2025 01:15 - 05.03.2025 01:30","266","0"
"05.03.2025 01:30 - 05.03.2025 01:45","288","0"
"05.03.2025 01:45 - 05.03.2025 02:00","266","0"
"05.03.2025 02:00 - 05.03.2025 02:15","267","0"
"05.03.2025 02:15 - 05.03.2025 02:30","268","0"
"05.03.2025 02:30 - 05.03.2025 02:45","263","0"
"05.03.2025 02:45 - 05.03.2025 03:00","275","0"
"05.03.2025 03:00 - 05.03.2025 03:15","272","0"
"05.03.2025 03:15 - 05.03.2025 03:30","255","0"
"05.03.2025 03:30 - 05.03.2025 03:45","222","0"
"05.03.2025 03:45 - 05.03.2025 04:00","245","0"
"05.03.2025 04:00 - 05.03.2025 04:15","263","0"
"05.03.2025 04:15 - 05.03.2025 04:30","282","0"
"05.03.2025 04:30 - 05.03.2025 04:45","310","0"
"05.03.2025 04:45 - 05.03.2025 05:00","283","0"
"05.03.2025 05:00 - 05.03.2025 05:15","270","0"
"05.03.2025 05:15 - 05.03.2025 05:30","265","0"
"05.03.2025 05:30 - 05.03.2025 05:45","293","0"
"05.03.2025 05:45 - 05.03.2025 06:00","285","0"
"05.03.2025 06:00 - 05.03.2025 06:15","294","0"
"05.03.2025 06:15 - 05.03.2025 06:30","320","0"
"05.03.2025 06:30 - 05.03.2025 06:45","315","0"
"05.03.2025 06:45 - 05.03.2025 07:00","314","0"
"05.03.2025 07:00 - 05.03.2025 07:15","296","0"
"05.03.2025 07:15 - 05.03.2025 07:30","295","0"
"05.03.2025 07:30 - 05.03.2025 07:45","312","0"
"05.03.2025 07:45 - 05.03.2025 08:00","292","0"
"05.03.2025 08:00 - 05.03.2025 08:15","277","0"
"05.03.2025 08:15 - 05.03.2025 08:30","299","0"
"05.03.2025 08:30 - 05.03.2025 08:45","285","0"
"05.03.2025 08:45 - 05.03.2025 09:00","296","0"
"05.03.2025 09:00 - 05.03.2025 09:15","339","0"
"05.03.2025 09:15 - 05.03.2025 09:30","332","0"
"05.03.2025 09:30 - 05.03.2025 09:45","320","0"
"05.03.2025 09:45 - 05.03.2025 10:00","301","0"
"05.03.2025 10:00 - 05.03.2025 10:15","287","0"
"05.03.2025 10:15 - 05.03.2025 10:30","236","0"
"05.03.2025 10:30 - 05.03.2025 10:45","261","0"
"05.03.2025 10:45 - 05.03.2025 11:00","267","0"
"05.03.2025 11:00 - 05.03.2025 11:15","194","0"
"05.03.2025 11:15 - 05.03.2025 11:30","179","0"
"05.03.2025 11:30 - 05.03.2025 11:45","184","0"
"05.03.2025 11:45 - 05.03.2025 12:00","161","0"
"05.03.2025 12:00 - 05.03.2025 12:15","100","0"
"05.03.2025 12:15 - 05.03.2025 12:30","75","0"
"05.03.2025 12:30 - 05.03.2025 12:45","91","0"
"05.03.2025 12:45 - 05.03.2025 13:00","95","0"
"05.03.2025 13:00 - 05.03.2025 13:15","164","0"
"05.03.2025 13:15 - 05.03.2025 13:30","167","0"
"05.03.2025 13:30 - 05.03.2025 13:45","159","0"
"05.03.2025 13:45 - 05.03.2025 14:00","157","0"
"05.03.2025 14:00 - 05.03.2025 14:15","216","0"
"05.03.2025 14:15 - 05.03.2025 14:30","221","0"
"05.03.2025 14:30 - 05.03.2025 14:45","198","0"
"05.03.2025 14:45 - 05.03.2025 15:00","210","0"
"05.03.2025 15:00 - 05.03.2025 15:15","282","0"
"05.03.2025 15:15 - 05.03.2025 15:30","287","0"
"05.03.2025 15:30 - 05.03.2025 15:45","276","0"
"05.03.2025 15:45 - 05.03.2025 16:00","270","0"
"05.03.2025 16:00 - 05.03.2025 16:15","277","0"
"05.03.2025 16:15 - 05.03.2025 16:30","299","0"
"05.03.2025 16:30 - 05.03.2025 16:45","286","0"
"05.03.2025 16:45 - 05.03.2025 17:00","294","0"
"05.03.2025 17:00 - 05.03.2025 17:15","272","0"
"05.03.2025 17:15 - 05.03.2025 17:30","297","0"
"05.03.2025 17:30 - 05.03.2025 17:45","316","0"
"05.03.2025 17:45 - 05.03.2025 18:00","299","0"
"05.03.2025 18:00 - 05.03.2025 18:15","308","0"
"05.03.2025 18:15 - 05.03.2025 18:30","316","0"
"05.03.2025 18:30 - 05.03.2025 18:45","328","0"
"05.03.2025 18:45 - 05.03.2025 19:00","334","0"
"05.03.2025 19:00 - 05.03.2025 19:15","350","0"
"05.03.2025 19:15 - 05.03.2025 19:30","346","0"
"05.03.2025 19:30 - 05.03.2025 19:45","336","0"
"05.03.2025 19:45 - 05.03.2025 20:00","345","0"
"05.03.2025 20:00 - 05.03.2025 20:15","344","0"
"05.03.2025 20:15 - 05.03.2025 20:30","337","0"
"05.03.2025 20:30 - 05.03.2025 20:45","347","0"
"05.03.2025 20:45 - 05.03.2025 21:00","339","0"
"05.03.2025 21:00 - 05.03.2025 21:15","351","0"
"05.03.2025 21:15 - 05.03.2025 21:30","349","0"
"05.03.2025 21:30 - 05.03.2025 21:45","356","0"
"05.03.2025 21:45 - 05.03.2025 22:00","328","0"
"05.03.2025 22:00 - 05.03.2025 22:15","331","0"
"05.03.2025 22:15 - 05.03.2025 22:30","337","0"
"05.03.2025 22:30 - 05.03.2025 22:45","347","0"
"05.03.2025 22:45 - 05.03.2025 23:00","335","0"
"05.03.2025 23:00 - 05.03.2025 23:15","324","0"
"05.03.2025 23:15 - 05.03.2025 23:30","306","0"
"05.03.2025 23:30 - 05.03.2025 23:45","293","0"
"05.03.2025 23:45 - 06.03.2025 00:00","294","0"
