"Time (CET/CEST)","BZN|SE3 > BZN|NO1 [MW]","BZN|NO1 > BZN|SE3 [MW]"
"21.03.2025 00:00 - 21.03.2025 01:00","0","256"
"21.03.2025 01:00 - 21.03.2025 02:00","0","270"
"21.03.2025 02:00 - 21.03.2025 03:00","0","287"
"21.03.2025 03:00 - 21.03.2025 04:00","0","190"
"21.03.2025 04:00 - 21.03.2025 05:00","0","277"
"21.03.2025 05:00 - 21.03.2025 06:00","0","643"
"21.03.2025 06:00 - 21.03.2025 07:00","0","939"
"21.03.2025 07:00 - 21.03.2025 08:00","0","503"
"21.03.2025 08:00 - 21.03.2025 09:00","0","605"
"21.03.2025 09:00 - 21.03.2025 10:00","0","367"
"21.03.2025 10:00 - 21.03.2025 11:00","1043","0"
"21.03.2025 11:00 - 21.03.2025 12:00","1581","0"
"21.03.2025 12:00 - 21.03.2025 13:00","1788","0"
"21.03.2025 13:00 - 21.03.2025 14:00","1766","0"
"21.03.2025 14:00 - 21.03.2025 15:00","1691","0"
"21.03.2025 15:00 - 21.03.2025 16:00","1682","0"
"21.03.2025 16:00 - 21.03.2025 17:00","766","0"
"21.03.2025 17:00 - 21.03.2025 18:00","566","0"
"21.03.2025 18:00 - 21.03.2025 19:00","482","0"
"21.03.2025 19:00 - 21.03.2025 20:00","832","0"
"21.03.2025 20:00 - 21.03.2025 21:00","1017","0"
"21.03.2025 21:00 - 21.03.2025 22:00","1109","0"
"21.03.2025 22:00 - 21.03.2025 23:00","1343","0"
"21.03.2025 23:00 - 22.03.2025 00:00","1640","0"
