"Time (CET/CEST)","BZN|SE3 > BZN|NO1 [MW]","BZN|NO1 > BZN|SE3 [MW]"
"15.03.2025 00:00 - 15.03.2025 01:00","0","991"
"15.03.2025 01:00 - 15.03.2025 02:00","0","764"
"15.03.2025 02:00 - 15.03.2025 03:00","0","569"
"15.03.2025 03:00 - 15.03.2025 04:00","0","386"
"15.03.2025 04:00 - 15.03.2025 05:00","0","293"
"15.03.2025 05:00 - 15.03.2025 06:00","0","384"
"15.03.2025 06:00 - 15.03.2025 07:00","0","311"
"15.03.2025 07:00 - 15.03.2025 08:00","0","233"
"15.03.2025 08:00 - 15.03.2025 09:00","371","0"
"15.03.2025 09:00 - 15.03.2025 10:00","599","0"
"15.03.2025 10:00 - 15.03.2025 11:00","881","0"
"15.03.2025 11:00 - 15.03.2025 12:00","1094","0"
"15.03.2025 12:00 - 15.03.2025 13:00","1365","0"
"15.03.2025 13:00 - 15.03.2025 14:00","1370","0"
"15.03.2025 14:00 - 15.03.2025 15:00","1230","0"
"15.03.2025 15:00 - 15.03.2025 16:00","934","0"
"15.03.2025 16:00 - 15.03.2025 17:00","629","0"
"15.03.2025 17:00 - 15.03.2025 18:00","122","0"
"15.03.2025 18:00 - 15.03.2025 19:00","0","123"
"15.03.2025 19:00 - 15.03.2025 20:00","49","0"
"15.03.2025 20:00 - 15.03.2025 21:00","370","0"
"15.03.2025 21:00 - 15.03.2025 22:00","428","0"
"15.03.2025 22:00 - 15.03.2025 23:00","777","0"
"15.03.2025 23:00 - 16.03.2025 00:00","880","0"
