"Time (CET/CEST)","BZN|NO2 > BZN|NO1 [MW]","BZN|NO1 > BZN|NO2 [MW]"
"26.03.2025 00:00 - 26.03.2025 00:15","0","904"
"26.03.2025 00:15 - 26.03.2025 00:30","0","950"
"26.03.2025 00:30 - 26.03.2025 00:45","0","981"
"26.03.2025 00:45 - 26.03.2025 01:00","0","956"
"26.03.2025 01:00 - 26.03.2025 01:15","0","995"
"26.03.2025 01:15 - 26.03.2025 01:30","0","1061"
"26.03.2025 01:30 - 26.03.2025 01:45","0","1081"
"26.03.2025 01:45 - 26.03.2025 02:00","0","1119"
"26.03.2025 02:00 - 26.03.2025 02:15","0","1090"
"26.03.2025 02:15 - 26.03.2025 02:30","0","1052"
"26.03.2025 02:30 - 26.03.2025 02:45","0","1015"
"26.03.2025 02:45 - 26.03.2025 03:00","0","1040"
"26.03.2025 03:00 - 26.03.2025 03:15","0","1104"
"26.03.2025 03:15 - 26.03.2025 03:30","0","1102"
"26.03.2025 03:30 - 26.03.2025 03:45","0","1106"
"26.03.2025 03:45 - 26.03.2025 04:00","0","1146"
"26.03.2025 04:00 - 26.03.2025 04:15","0","1134"
"26.03.2025 04:15 - 26.03.2025 04:30","0","1102"
"26.03.2025 04:30 - 26.03.2025 04:45","0","1189"
"26.03.2025 04:45 - 26.03.2025 05:00","0","1254"
"26.03.2025 05:00 - 26.03.2025 05:15","0","883"
"26.03.2025 05:15 - 26.03.2025 05:30","0","809"
"26.03.2025 05:30 - 26.03.2025 05:45","0","849"
"26.03.2025 05:45 - 26.03.2025 06:00","0","781"
"26.03.2025 06:00 - 26.03.2025 06:15","0","229"
"26.03.2025 06:15 - 26.03.2025 06:30","0","122"
"26.03.2025 06:30 - 26.03.2025 06:45","0","40"
"26.03.2025 06:45 - 26.03.2025 07:00","1","0"
"26.03.2025 07:00 - 26.03.2025 07:15","40","0"
"26.03.2025 07:15 - 26.03.2025 07:30","23","0"
"26.03.2025 07:30 - 26.03.2025 07:45","0","8"
"26.03.2025 07:45 - 26.03.2025 08:00","5","0"
"26.03.2025 08:00 - 26.03.2025 08:15","0","119"
"26.03.2025 08:15 - 26.03.2025 08:30","0","266"
"26.03.2025 08:30 - 26.03.2025 08:45","0","316"
"26.03.2025 08:45 - 26.03.2025 09:00","0","311"
"26.03.2025 09:00 - 26.03.2025 09:15","0","615"
"26.03.2025 09:15 - 26.03.2025 09:30","0","673"
"26.03.2025 09:30 - 26.03.2025 09:45","0","675"
"26.03.2025 09:45 - 26.03.2025 10:00","0","741"
"26.03.2025 10:00 - 26.03.2025 10:15","0","757"
"26.03.2025 10:15 - 26.03.2025 10:30","0","759"
"26.03.2025 10:30 - 26.03.2025 10:45","0","777"
"26.03.2025 10:45 - 26.03.2025 11:00","0","745"
"26.03.2025 11:00 - 26.03.2025 11:15","0","764"
"26.03.2025 11:15 - 26.03.2025 11:30","0","796"
"26.03.2025 11:30 - 26.03.2025 11:45","0","801"
"26.03.2025 11:45 - 26.03.2025 12:00","0","786"
"26.03.2025 12:00 - 26.03.2025 12:15","0","838"
"26.03.2025 12:15 - 26.03.2025 12:30","0","796"
"26.03.2025 12:30 - 26.03.2025 12:45","0","909"
"26.03.2025 12:45 - 26.03.2025 13:00","0","946"
"26.03.2025 13:00 - 26.03.2025 13:15","0","957"
"26.03.2025 13:15 - 26.03.2025 13:30","0","958"
"26.03.2025 13:30 - 26.03.2025 13:45","0","966"
"26.03.2025 13:45 - 26.03.2025 14:00","0","994"
"26.03.2025 14:00 - 26.03.2025 14:15","0","893"
"26.03.2025 14:15 - 26.03.2025 14:30","0","868"
"26.03.2025 14:30 - 26.03.2025 14:45","0","854"
"26.03.2025 14:45 - 26.03.2025 15:00","0","898"
"26.03.2025 15:00 - 26.03.2025 15:15","0","703"
"26.03.2025 15:15 - 26.03.2025 15:30","0","668"
"26.03.2025 15:30 - 26.03.2025 15:45","0","647"
"26.03.2025 15:45 - 26.03.2025 16:00","0","659"
"26.03.2025 16:00 - 26.03.2025 16:15","0","629"
"26.03.2025 16:15 - 26.03.2025 16:30","0","640"
"26.03.2025 16:30 - 26.03.2025 16:45","0","570"
"26.03.2025 16:45 - 26.03.2025 17:00","0","510"
"26.03.2025 17:00 - 26.03.2025 17:15","277","0"
"26.03.2025 17:15 - 26.03.2025 17:30","450","0"
"26.03.2025 17:30 - 26.03.2025 17:45","437","0"
"26.03.2025 17:45 - 26.03.2025 18:00","305","0"
"26.03.2025 18:00 - 26.03.2025 18:15","594","0"
"26.03.2025 18:15 - 26.03.2025 18:30","383","0"
"26.03.2025 18:30 - 26.03.2025 18:45","353","0"
"26.03.2025 18:45 - 26.03.2025 19:00","463","0"
"26.03.2025 19:00 - 26.03.2025 19:15","747","0"
"26.03.2025 19:15 - 26.03.2025 19:30","745","0"
"26.03.2025 19:30 - 26.03.2025 19:45","692","0"
"26.03.2025 19:45 - 26.03.2025 20:00","727","0"
"26.03.2025 20:00 - 26.03.2025 20:15","692","0"
"26.03.2025 20:15 - 26.03.2025 20:30","524","0"
"26.03.2025 20:30 - 26.03.2025 20:45","658","0"
"26.03.2025 20:45 - 26.03.2025 21:00","653","0"
"26.03.2025 21:00 - 26.03.2025 21:15","312","0"
"26.03.2025 21:15 - 26.03.2025 21:30","365","0"
"26.03.2025 21:30 - 26.03.2025 21:45","462","0"
"26.03.2025 21:45 - 26.03.2025 22:00","320","0"
"26.03.2025 22:00 - 26.03.2025 22:15","0","428"
"26.03.2025 22:15 - 26.03.2025 22:30","0","500"
"26.03.2025 22:30 - 26.03.2025 22:45","0","370"
"26.03.2025 22:45 - 26.03.2025 23:00","0","421"
"26.03.2025 23:00 - 26.03.2025 23:15","0","970"
"26.03.2025 23:15 - 26.03.2025 23:30","0","926"
"26.03.2025 23:30 - 26.03.2025 23:45","0","957"
"26.03.2025 23:45 - 27.03.2025 00:00","0","955"
