"Time (CET/CEST)","BZN|SE3 > BZN|NO1 [MW]","BZN|NO1 > BZN|SE3 [MW]"
"05.03.2025 00:00 - 05.03.2025 01:00","1777","0"
"05.03.2025 01:00 - 05.03.2025 02:00","1848","0"
"05.03.2025 02:00 - 05.03.2025 03:00","1776","0"
"05.03.2025 03:00 - 05.03.2025 04:00","1719","0"
"05.03.2025 04:00 - 05.03.2025 05:00","1917","0"
"05.03.2025 05:00 - 05.03.2025 06:00","1802","0"
"05.03.2025 06:00 - 05.03.2025 07:00","1818","0"
"05.03.2025 07:00 - 05.03.2025 08:00","1909","0"
"05.03.2025 08:00 - 05.03.2025 09:00","1710","0"
"05.03.2025 09:00 - 05.03.2025 10:00","1779","0"
"05.03.2025 10:00 - 05.03.2025 11:00","1691","0"
"05.03.2025 11:00 - 05.03.2025 12:00","1576","0"
"05.03.2025 12:00 - 05.03.2025 13:00","1497","0"
"05.03.2025 13:00 - 05.03.2025 14:00","1618","0"
"05.03.2025 14:00 - 05.03.2025 15:00","1545","0"
"05.03.2025 15:00 - 05.03.2025 16:00","1630","0"
"05.03.2025 16:00 - 05.03.2025 17:00","1629","0"
"05.03.2025 17:00 - 05.03.2025 18:00","1344","0"
"05.03.2025 18:00 - 05.03.2025 19:00","1534","0"
"05.03.2025 19:00 - 05.03.2025 20:00","1776","0"
"05.03.2025 20:00 - 05.03.2025 21:00","1745","0"
"05.03.2025 21:00 - 05.03.2025 22:00","1976","0"
"05.03.2025 22:00 - 05.03.2025 23:00","1871","0"
"05.03.2025 23:00 - 06.03.2025 00:00","1895","0"
