"Time (CET/CEST)","BZN|SE3 > BZN|NO1 [MW]","BZN|NO1 > BZN|SE3 [MW]"
"27.03.2025 00:00 - 27.03.2025 01:00","228","0"
"27.03.2025 01:00 - 27.03.2025 02:00","573","0"
"27.03.2025 02:00 - 27.03.2025 03:00","787","0"
"27.03.2025 03:00 - 27.03.2025 04:00","868","0"
"27.03.2025 04:00 - 27.03.2025 05:00","839","0"
"27.03.2025 05:00 - 27.03.2025 06:00","719","0"
"27.03.2025 06:00 - 27.03.2025 07:00","160","0"
"27.03.2025 07:00 - 27.03.2025 08:00","0","208"
"27.03.2025 08:00 - 27.03.2025 09:00","28","0"
"27.03.2025 09:00 - 27.03.2025 10:00","227","0"
"27.03.2025 10:00 - 27.03.2025 11:00","491","0"
"27.03.2025 11:00 - 27.03.2025 12:00","854","0"
"27.03.2025 12:00 - 27.03.2025 13:00","1721","0"
"27.03.2025 13:00 - 27.03.2025 14:00","1776","0"
"27.03.2025 14:00 - 27.03.2025 15:00","1440","0"
"27.03.2025 15:00 - 27.03.2025 16:00","674","0"
"27.03.2025 16:00 - 27.03.2025 17:00","602","0"
"27.03.2025 17:00 - 27.03.2025 18:00","356","0"
"27.03.2025 18:00 - 27.03.2025 19:00","299","0"
"27.03.2025 19:00 - 27.03.2025 20:00","311","0"
"27.03.2025 20:00 - 27.03.2025 21:00","587","0"
"27.03.2025 21:00 - 27.03.2025 22:00","856","0"
"27.03.2025 22:00 - 27.03.2025 23:00","1071","0"
"27.03.2025 23:00 - 28.03.2025 00:00","1282","0"
