"Time (CET/CEST)","BZN|NO3 > BZN|NO1 [MW]","BZN|NO1 > BZN|NO3 [MW]"
"28.03.2025 00:00 - 28.03.2025 00:15","200","0"
"28.03.2025 00:15 - 28.03.2025 00:30","213","0"
"28.03.2025 00:30 - 28.03.2025 00:45","235","0"
"28.03.2025 00:45 - 28.03.2025 01:00","249","0"
"28.03.2025 01:00 - 28.03.2025 01:15","286","0"
"28.03.2025 01:15 - 28.03.2025 01:30","267","0"
"28.03.2025 01:30 - 28.03.2025 01:45","255","0"
"28.03.2025 01:45 - 28.03.2025 02:00","266","0"
"28.03.2025 02:00 - 28.03.2025 02:15","311","0"
"28.03.2025 02:15 - 28.03.2025 02:30","306","0"
"28.03.2025 02:30 - 28.03.2025 02:45","306","0"
"28.03.2025 02:45 - 28.03.2025 03:00","327","0"
"28.03.2025 03:00 - 28.03.2025 03:15","336","0"
"28.03.2025 03:15 - 28.03.2025 03:30","320","0"
"28.03.2025 03:30 - 28.03.2025 03:45","344","0"
"28.03.2025 03:45 - 28.03.2025 04:00","339","0"
"28.03.2025 04:00 - 28.03.2025 04:15","325","0"
"28.03.2025 04:15 - 28.03.2025 04:30","340","0"
"28.03.2025 04:30 - 28.03.2025 04:45","339","0"
"28.03.2025 04:45 - 28.03.2025 05:00","325","0"
"28.03.2025 05:00 - 28.03.2025 05:15","294","0"
"28.03.2025 05:15 - 28.03.2025 05:30","289","0"
"28.03.2025 05:30 - 28.03.2025 05:45","301","0"
"28.03.2025 05:45 - 28.03.2025 06:00","313","0"
"28.03.2025 06:00 - 28.03.2025 06:15","242","0"
"28.03.2025 06:15 - 28.03.2025 06:30","236","0"
"28.03.2025 06:30 - 28.03.2025 06:45","261","0"
"28.03.2025 06:45 - 28.03.2025 07:00","272","0"
"28.03.2025 07:00 - 28.03.2025 07:15","238","0"
"28.03.2025 07:15 - 28.03.2025 07:30","251","0"
"28.03.2025 07:30 - 28.03.2025 07:45","254","0"
"28.03.2025 07:45 - 28.03.2025 08:00","249","0"
"28.03.2025 08:00 - 28.03.2025 08:15","252","0"
"28.03.2025 08:15 - 28.03.2025 08:30","247","0"
"28.03.2025 08:30 - 28.03.2025 08:45","198","0"
"28.03.2025 08:45 - 28.03.2025 09:00","194","0"
"28.03.2025 09:00 - 28.03.2025 09:15","251","0"
"28.03.2025 09:15 - 28.03.2025 09:30","271","0"
"28.03.2025 09:30 - 28.03.2025 09:45","244","0"
