"Time (CET/CEST)","BZN|SE3 > BZN|NO1 [MW]","BZN|NO1 > BZN|SE3 [MW]"
"11.03.2025 00:00 - 11.03.2025 01:00","31","0"
"11.03.2025 01:00 - 11.03.2025 02:00","0","122"
"11.03.2025 02:00 - 11.03.2025 03:00","0","5"
"11.03.2025 03:00 - 11.03.2025 04:00","0","104"
"11.03.2025 04:00 - 11.03.2025 05:00","0","205"
"11.03.2025 05:00 - 11.03.2025 06:00","0","605"
"11.03.2025 06:00 - 11.03.2025 07:00","0","938"
"11.03.2025 07:00 - 11.03.2025 08:00","0","1044"
"11.03.2025 08:00 - 11.03.2025 09:00","0","1096"
"11.03.2025 09:00 - 11.03.2025 10:00","0","1264"
"11.03.2025 10:00 - 11.03.2025 11:00","0","1415"
"11.03.2025 11:00 - 11.03.2025 12:00","0","1395"
"11.03.2025 12:00 - 11.03.2025 13:00","0","818"
"11.03.2025 13:00 - 11.03.2025 14:00","0","951"
"11.03.2025 14:00 - 11.03.2025 15:00","0","1259"
"11.03.2025 15:00 - 11.03.2025 16:00","0","1451"
"11.03.2025 16:00 - 11.03.2025 17:00","0","1258"
"11.03.2025 17:00 - 11.03.2025 18:00","0","1029"
"11.03.2025 18:00 - 11.03.2025 19:00","0","1323"
"11.03.2025 19:00 - 11.03.2025 20:00","0","1219"
"11.03.2025 20:00 - 11.03.2025 21:00","0","1210"
"11.03.2025 21:00 - 11.03.2025 22:00","0","1275"
"11.03.2025 22:00 - 11.03.2025 23:00","0","1110"
"11.03.2025 23:00 - 12.03.2025 00:00","0","948"
