"Time (CET/CEST)","BZN|NO5 > BZN|NO1 [MW]","BZN|NO1 > BZN|NO5 [MW]"
"11.03.2025 00:00 - 11.03.2025 00:15","2161","0"
"11.03.2025 00:15 - 11.03.2025 00:30","2161","0"
"11.03.2025 00:30 - 11.03.2025 00:45","2174","0"
"11.03.2025 00:45 - 11.03.2025 01:00","2143","0"
"11.03.2025 01:00 - 11.03.2025 01:15","2221","0"
"11.03.2025 01:15 - 11.03.2025 01:30","2245","0"
"11.03.2025 01:30 - 11.03.2025 01:45","2218","0"
"11.03.2025 01:45 - 11.03.2025 02:00","2144","0"
"11.03.2025 02:00 - 11.03.2025 02:15","2133","0"
"11.03.2025 02:15 - 11.03.2025 02:30","2143","0"
"11.03.2025 02:30 - 11.03.2025 02:45","2095","0"
"11.03.2025 02:45 - 11.03.2025 03:00","2064","0"
"11.03.2025 03:00 - 11.03.2025 03:15","2119","0"
"11.03.2025 03:15 - 11.03.2025 03:30","2127","0"
"11.03.2025 03:30 - 11.03.2025 03:45","2126","0"
"11.03.2025 03:45 - 11.03.2025 04:00","2154","0"
"11.03.2025 04:00 - 11.03.2025 04:15","2216","0"
"11.03.2025 04:15 - 11.03.2025 04:30","2231","0"
"11.03.2025 04:30 - 11.03.2025 04:45","2180","0"
"11.03.2025 04:45 - 11.03.2025 05:00","2193","0"
"11.03.2025 05:00 - 11.03.2025 05:15","2217","0"
"11.03.2025 05:15 - 11.03.2025 05:30","2346","0"
"11.03.2025 05:30 - 11.03.2025 05:45","2437","0"
"11.03.2025 05:45 - 11.03.2025 06:00","2449","0"
"11.03.2025 06:00 - 11.03.2025 06:15","2475","0"
"11.03.2025 06:15 - 11.03.2025 06:30","2531","0"
"11.03.2025 06:30 - 11.03.2025 06:45","2681","0"
"11.03.2025 06:45 - 11.03.2025 07:00","2792","0"
"11.03.2025 07:00 - 11.03.2025 07:15","2708","0"
"11.03.2025 07:15 - 11.03.2025 07:30","2716","0"
"11.03.2025 07:30 - 11.03.2025 07:45","2825","0"
"11.03.2025 07:45 - 11.03.2025 08:00","2965","0"
"11.03.2025 08:00 - 11.03.2025 08:15","2825","0"
"11.03.2025 08:15 - 11.03.2025 08:30","2778","0"
"11.03.2025 08:30 - 11.03.2025 08:45","2778","0"
"11.03.2025 08:45 - 11.03.2025 09:00","2791","0"
"11.03.2025 09:00 - 11.03.2025 09:15","2880","0"
"11.03.2025 09:15 - 11.03.2025 09:30","2824","0"
"11.03.2025 09:30 - 11.03.2025 09:45","2840","0"
"11.03.2025 09:45 - 11.03.2025 10:00","2801","0"
"11.03.2025 10:00 - 11.03.2025 10:15","2898","0"
"11.03.2025 10:15 - 11.03.2025 10:30","2869","0"
"11.03.2025 10:30 - 11.03.2025 10:45","2884","0"
"11.03.2025 10:45 - 11.03.2025 11:00","2847","0"
"11.03.2025 11:00 - 11.03.2025 11:15","2947","0"
"11.03.2025 11:15 - 11.03.2025 11:30","2946","0"
