"Time (CET/CEST)","BZN|NO2 > BZN|NO1 [MW]","BZN|NO1 > BZN|NO2 [MW]"
"23.03.2025 00:00 - 23.03.2025 00:15","0","671"
"23.03.2025 00:15 - 23.03.2025 00:30","0","655"
"23.03.2025 00:30 - 23.03.2025 00:45","0","669"
"23.03.2025 00:45 - 23.03.2025 01:00","0","586"
"23.03.2025 01:00 - 23.03.2025 01:15","0","542"
"23.03.2025 01:15 - 23.03.2025 01:30","0","529"
"23.03.2025 01:30 - 23.03.2025 01:45","0","511"
"23.03.2025 01:45 - 23.03.2025 02:00","0","493"
"23.03.2025 02:00 - 23.03.2025 02:15","0","500"
"23.03.2025 02:15 - 23.03.2025 02:30","0","427"
"23.03.2025 02:30 - 23.03.2025 02:45","0","453"
"23.03.2025 02:45 - 23.03.2025 03:00","0","463"
"23.03.2025 03:00 - 23.03.2025 03:15","0","587"
"23.03.2025 03:15 - 23.03.2025 03:30","0","607"
"23.03.2025 03:30 - 23.03.2025 03:45","0","616"
"23.03.2025 03:45 - 23.03.2025 04:00","0","592"
"23.03.2025 04:00 - 23.03.2025 04:15","0","662"
"23.03.2025 04:15 - 23.03.2025 04:30","0","672"
"23.03.2025 04:30 - 23.03.2025 04:45","0","686"
"23.03.2025 04:45 - 23.03.2025 05:00","0","656"
"23.03.2025 05:00 - 23.03.2025 05:15","0","624"
"23.03.2025 05:15 - 23.03.2025 05:30","0","605"
"23.03.2025 05:30 - 23.03.2025 05:45","0","574"
"23.03.2025 05:45 - 23.03.2025 06:00","0","583"
"23.03.2025 06:00 - 23.03.2025 06:15","0","649"
"23.03.2025 06:15 - 23.03.2025 06:30","0","620"
"23.03.2025 06:30 - 23.03.2025 06:45","0","517"
"23.03.2025 06:45 - 23.03.2025 07:00","0","484"
"23.03.2025 07:00 - 23.03.2025 07:15","0","456"
"23.03.2025 07:15 - 23.03.2025 07:30","0","421"
"23.03.2025 07:30 - 23.03.2025 07:45","0","449"
"23.03.2025 07:45 - 23.03.2025 08:00","0","484"
"23.03.2025 08:00 - 23.03.2025 08:15","0","422"
"23.03.2025 08:15 - 23.03.2025 08:30","0","343"
"23.03.2025 08:30 - 23.03.2025 08:45","0","409"
"23.03.2025 08:45 - 23.03.2025 09:00","0","371"
"23.03.2025 09:00 - 23.03.2025 09:15","0","471"
"23.03.2025 09:15 - 23.03.2025 09:30","0","496"
"23.03.2025 09:30 - 23.03.2025 09:45","0","516"
"23.03.2025 09:45 - 23.03.2025 10:00","0","525"
"23.03.2025 10:00 - 23.03.2025 10:15","0","594"
"23.03.2025 10:15 - 23.03.2025 10:30","0","608"
"23.03.2025 10:30 - 23.03.2025 10:45","0","588"
"23.03.2025 10:45 - 23.03.2025 11:00","0","599"
"23.03.2025 11:00 - 23.03.2025 11:15","0","584"
"23.03.2025 11:15 - 23.03.2025 11:30","0","597"
"23.03.2025 11:30 - 23.03.2025 11:45","0","597"
"23.03.2025 11:45 - 23.03.2025 12:00","0","659"
"23.03.2025 12:00 - 23.03.2025 12:15","0","547"
"23.03.2025 12:15 - 23.03.2025 12:30","0","453"
"23.03.2025 12:30 - 23.03.2025 12:45","0","478"
"23.03.2025 12:45 - 23.03.2025 13:00","0","443"
"23.03.2025 13:00 - 23.03.2025 13:15","0","490"
"23.03.2025 13:15 - 23.03.2025 13:30","0","530"
"23.03.2025 13:30 - 23.03.2025 13:45","0","554"
"23.03.2025 13:45 - 23.03.2025 14:00","0","595"
"23.03.2025 14:00 - 23.03.2025 14:15","0","601"
"23.03.2025 14:15 - 23.03.2025 14:30","0","571"
"23.03.2025 14:30 - 23.03.2025 14:45","0","614"
"23.03.2025 14:45 - 23.03.2025 15:00","0","742"
"23.03.2025 15:00 - 23.03.2025 15:15","0","863"
"23.03.2025 15:15 - 23.03.2025 15:30","0","1061"
"23.03.2025 15:30 - 23.03.2025 15:45","0","1141"
"23.03.2025 15:45 - 23.03.2025 16:00","0","1074"
"23.03.2025 16:00 - 23.03.2025 16:15","0","1138"
"23.03.2025 16:15 - 23.03.2025 16:30","0","1281"
"23.03.2025 16:30 - 23.03.2025 16:45","0","1297"
"23.03.2025 16:45 - 23.03.2025 17:00","0","1307"
"23.03.2025 17:00 - 23.03.2025 17:15","0","1171"
"23.03.2025 17:15 - 23.03.2025 17:30","0","1118"
"23.03.2025 17:30 - 23.03.2025 17:45","0","1086"
"23.03.2025 17:45 - 23.03.2025 18:00","0","1107"
"23.03.2025 18:00 - 23.03.2025 18:15","0","789"
"23.03.2025 18:15 - 23.03.2025 18:30","0","725"
"23.03.2025 18:30 - 23.03.2025 18:45","0","764"
"23.03.2025 18:45 - 23.03.2025 19:00","0","744"
"23.03.2025 19:00 - 23.03.2025 19:15","0","655"
"23.03.2025 19:15 - 23.03.2025 19:30","0","717"
"23.03.2025 19:30 - 23.03.2025 19:45","0","773"
"23.03.2025 19:45 - 23.03.2025 20:00","0","776"
"23.03.2025 20:00 - 23.03.2025 20:15","0","741"
"23.03.2025 20:15 - 23.03.2025 20:30","0","668"
"23.03.2025 20:30 - 23.03.2025 20:45","0","650"
"23.03.2025 20:45 - 23.03.2025 21:00","0","713"
"23.03.2025 21:00 - 23.03.2025 21:15","0","887"
"23.03.2025 21:15 - 23.03.2025 21:30","0","942"
