"Time (CET/CEST)","BZN|NO3 > BZN|NO1 [MW]","BZN|NO1 > BZN|NO3 [MW]"
"06.03.2025 00:00 - 06.03.2025 00:15","297","0"
"06.03.2025 00:15 - 06.03.2025 00:30","309","0"
"06.03.2025 00:30 - 06.03.2025 00:45","311","0"
"06.03.2025 00:45 - 06.03.2025 01:00","293","0"
"06.03.2025 01:00 - 06.03.2025 01:15","311","0"
"06.03.2025 01:15 - 06.03.2025 01:30","310","0"
"06.03.2025 01:30 - 06.03.2025 01:45","290","0"
"06.03.2025 01:45 - 06.03.2025 02:00","289","0"
"06.03.2025 02:00 - 06.03.2025 02:15","295","0"
"06.03.2025 02:15 - 06.03.2025 02:30","277","0"
"06.03.2025 02:30 - 06.03.2025 02:45","265","0"
"06.03.2025 02:45 - 06.03.2025 03:00","261","0"
"06.03.2025 03:00 - 06.03.2025 03:15","246","0"
"06.03.2025 03:15 - 06.03.2025 03:30","243","0"
"06.03.2025 03:30 - 06.03.2025 03:45","260","0"
"06.03.2025 03:45 - 06.03.2025 04:00","265","0"
"06.03.2025 04:00 - 06.03.2025 04:15","203","0"
"06.03.2025 04:15 - 06.03.2025 04:30","178","0"
"06.03.2025 04:30 - 06.03.2025 04:45","183","0"
"06.03.2025 04:45 - 06.03.2025 05:00","206","0"
"06.03.2025 05:00 - 06.03.2025 05:15","188","0"
"06.03.2025 05:15 - 06.03.2025 05:30","220","0"
"06.03.2025 05:30 - 06.03.2025 05:45","244","0"
"06.03.2025 05:45 - 06.03.2025 06:00","266","0"
"06.03.2025 06:00 - 06.03.2025 06:15","241","0"
"06.03.2025 06:15 - 06.03.2025 06:30","258","0"
"06.03.2025 06:30 - 06.03.2025 06:45","303","0"
"06.03.2025 06:45 - 06.03.2025 07:00","290","0"
"06.03.2025 07:00 - 06.03.2025 07:15","250","0"
"06.03.2025 07:15 - 06.03.2025 07:30","212","0"
"06.03.2025 07:30 - 06.03.2025 07:45","189","0"
"06.03.2025 07:45 - 06.03.2025 08:00","182","0"
"06.03.2025 08:00 - 06.03.2025 08:15","200","0"
"06.03.2025 08:15 - 06.03.2025 08:30","206","0"
"06.03.2025 08:30 - 06.03.2025 08:45","211","0"
"06.03.2025 08:45 - 06.03.2025 09:00","208","0"
"06.03.2025 09:00 - 06.03.2025 09:15","242","0"
"06.03.2025 09:15 - 06.03.2025 09:30","289","0"
"06.03.2025 09:30 - 06.03.2025 09:45","260","0"
"06.03.2025 09:45 - 06.03.2025 10:00","232","0"
"06.03.2025 10:00 - 06.03.2025 10:15","258","0"
"06.03.2025 10:15 - 06.03.2025 10:30","263","0"
"06.03.2025 10:30 - 06.03.2025 10:45","226","0"
"06.03.2025 10:45 - 06.03.2025 11:00","222","0"
"06.03.2025 11:00 - 06.03.2025 11:15","233","0"
"06.03.2025 11:15 - 06.03.2025 11:30","240","0"
"06.03.2025 11:30 - 06.03.2025 11:45","229","0"
"06.03.2025 11:45 - 06.03.2025 12:00","230","0"
"06.03.2025 12:00 - 06.03.2025 12:15","231","0"
"06.03.2025 12:15 - 06.03.2025 12:30","209","0"
"06.03.2025 12:30 - 06.03.2025 12:45","204","0"
"06.03.2025 12:45 - 06.03.2025 13:00","220","0"
"06.03.2025 13:00 - 06.03.2025 13:15","261","0"
"06.03.2025 13:15 - 06.03.2025 13:30","277","0"
"06.03.2025 13:30 - 06.03.2025 13:45","272","0"
"06.03.2025 13:45 - 06.03.2025 14:00","285","0"
"06.03.2025 14:00 - 06.03.2025 14:15","276","0"
"06.03.2025 14:15 - 06.03.2025 14:30","307","0"
"06.03.2025 14:30 - 06.03.2025 14:45","282","0"
"06.03.2025 14:45 - 06.03.2025 15:00","292","0"
"06.03.2025 15:00 - 06.03.2025 15:15","264","0"
"06.03.2025 15:15 - 06.03.2025 15:30","246","0"
"06.03.2025 15:30 - 06.03.2025 15:45","261","0"
"06.03.2025 15:45 - 06.03.2025 16:00","249","0"
"06.03.2025 16:00 - 06.03.2025 16:15","253","0"
"06.03.2025 16:15 - 06.03.2025 16:30","297","0"
"06.03.2025 16:30 - 06.03.2025 16:45","357","0"
"06.03.2025 16:45 - 06.03.2025 17:00","369","0"
"06.03.2025 17:00 - 06.03.2025 17:15","387","0"
"06.03.2025 17:15 - 06.03.2025 17:30","376","0"
"06.03.2025 17:30 - 06.03.2025 17:45","375","0"
"06.03.2025 17:45 - 06.03.2025 18:00","359","0"
"06.03.2025 18:00 - 06.03.2025 18:15","341","0"
"06.03.2025 18:15 - 06.03.2025 18:30","356","0"
"06.03.2025 18:30 - 06.03.2025 18:45","387","0"
"06.03.2025 18:45 - 06.03.2025 19:00","389","0"
"06.03.2025 19:00 - 06.03.2025 19:15","361","0"
"06.03.2025 19:15 - 06.03.2025 19:30","344","0"
"06.03.2025 19:30 - 06.03.2025 19:45","336","0"
"06.03.2025 19:45 - 06.03.2025 20:00","324","0"
"06.03.2025 20:00 - 06.03.2025 20:15","332","0"
"06.03.2025 20:15 - 06.03.2025 20:30","341","0"
"06.03.2025 20:30 - 06.03.2025 20:45","336","0"
"06.03.2025 20:45 - 06.03.2025 21:00","327","0"
"06.03.2025 21:00 - 06.03.2025 21:15","351","0"
"06.03.2025 21:15 - 06.03.2025 21:30","331","0"
"06.03.2025 21:30 - 06.03.2025 21:45","319","0"
"06.03.2025 21:45 - 06.03.2025 22:00","315","0"
"06.03.2025 22:00 - 06.03.2025 22:15","367","0"
"06.03.2025 22:15 - 06.03.2025 22:30","369","0"
"06.03.2025 22:30 - 06.03.2025 22:45","386","0"
"06.03.2025 22:45 - 06.03.2025 23:00","405","0"
"06.03.2025 23:00 - 06.03.2025 23:15","386","0"
"06.03.2025 23:15 - 06.03.2025 23:30","376","0"
"06.03.2025 23:30 - 06.03.2025 23:45","369","0"
"06.03.2025 23:45 - 07.03.2025 00:00","360","0"
