"Time (CET/CEST)","BZN|NO2 > BZN|NO1 [MW]","BZN|NO1 > BZN|NO2 [MW]"
"11.03.2025 00:00 - 11.03.2025 00:15","0","337"
"11.03.2025 00:15 - 11.03.2025 00:30","0","434"
"11.03.2025 00:30 - 11.03.2025 00:45","0","472"
"11.03.2025 00:45 - 11.03.2025 01:00","0","470"
"11.03.2025 01:00 - 11.03.2025 01:15","0","375"
"11.03.2025 01:15 - 11.03.2025 01:30","0","324"
"11.03.2025 01:30 - 11.03.2025 01:45","0","441"
"11.03.2025 01:45 - 11.03.2025 02:00","0","444"
"11.03.2025 02:00 - 11.03.2025 02:15","0","423"
"11.03.2025 02:15 - 11.03.2025 02:30","0","476"
"11.03.2025 02:30 - 11.03.2025 02:45","0","442"
"11.03.2025 02:45 - 11.03.2025 03:00","0","437"
"11.03.2025 03:00 - 11.03.2025 03:15","0","427"
"11.03.2025 03:15 - 11.03.2025 03:30","0","441"
"11.03.2025 03:30 - 11.03.2025 03:45","0","417"
"11.03.2025 03:45 - 11.03.2025 04:00","0","430"
"11.03.2025 04:00 - 11.03.2025 04:15","0","341"
"11.03.2025 04:15 - 11.03.2025 04:30","0","294"
"11.03.2025 04:30 - 11.03.2025 04:45","0","343"
"11.03.2025 04:45 - 11.03.2025 05:00","0","299"
"11.03.2025 05:00 - 11.03.2025 05:15","41","0"
"11.03.2025 05:15 - 11.03.2025 05:30","71","0"
"11.03.2025 05:30 - 11.03.2025 05:45","2","0"
"11.03.2025 05:45 - 11.03.2025 06:00","0","6"
"11.03.2025 06:00 - 11.03.2025 06:15","564","0"
"11.03.2025 06:15 - 11.03.2025 06:30","711","0"
"11.03.2025 06:30 - 11.03.2025 06:45","619","0"
"11.03.2025 06:45 - 11.03.2025 07:00","569","0"
"11.03.2025 07:00 - 11.03.2025 07:15","773","0"
"11.03.2025 07:15 - 11.03.2025 07:30","840","0"
"11.03.2025 07:30 - 11.03.2025 07:45","945","0"
"11.03.2025 07:45 - 11.03.2025 08:00","933","0"
"11.03.2025 08:00 - 11.03.2025 08:15","914","0"
"11.03.2025 08:15 - 11.03.2025 08:30","931","0"
"11.03.2025 08:30 - 11.03.2025 08:45","835","0"
"11.03.2025 08:45 - 11.03.2025 09:00","994","0"
"11.03.2025 09:00 - 11.03.2025 09:15","1049","0"
"11.03.2025 09:15 - 11.03.2025 09:30","1136","0"
"11.03.2025 09:30 - 11.03.2025 09:45","1138","0"
"11.03.2025 09:45 - 11.03.2025 10:00","1131","0"
"11.03.2025 10:00 - 11.03.2025 10:15","1272","0"
"11.03.2025 10:15 - 11.03.2025 10:30","1275","0"
"11.03.2025 10:30 - 11.03.2025 10:45","1283","0"
"11.03.2025 10:45 - 11.03.2025 11:00","1304","0"
"11.03.2025 11:00 - 11.03.2025 11:15","1180","0"
"11.03.2025 11:15 - 11.03.2025 11:30","1188","0"
"11.03.2025 11:30 - 11.03.2025 11:45","1207","0"
"11.03.2025 11:45 - 11.03.2025 12:00","1172","0"
"11.03.2025 12:00 - 11.03.2025 12:15","958","0"
"11.03.2025 12:15 - 11.03.2025 12:30","1002","0"
"11.03.2025 12:30 - 11.03.2025 12:45","946","0"
"11.03.2025 12:45 - 11.03.2025 13:00","972","0"
"11.03.2025 13:00 - 11.03.2025 13:15","1196","0"
"11.03.2025 13:15 - 11.03.2025 13:30","1216","0"
"11.03.2025 13:30 - 11.03.2025 13:45","1205","0"
"11.03.2025 13:45 - 11.03.2025 14:00","1303","0"
"11.03.2025 14:00 - 11.03.2025 14:15","1316","0"
"11.03.2025 14:15 - 11.03.2025 14:30","1295","0"
"11.03.2025 14:30 - 11.03.2025 14:45","1300","0"
"11.03.2025 14:45 - 11.03.2025 15:00","1334","0"
"11.03.2025 15:00 - 11.03.2025 15:15","1161","0"
"11.03.2025 15:15 - 11.03.2025 15:30","1194","0"
"11.03.2025 15:30 - 11.03.2025 15:45","1180","0"
"11.03.2025 15:45 - 11.03.2025 16:00","1112","0"
"11.03.2025 16:00 - 11.03.2025 16:15","1063","0"
"11.03.2025 16:15 - 11.03.2025 16:30","1057","0"
"11.03.2025 16:30 - 11.03.2025 16:45","1069","0"
"11.03.2025 16:45 - 11.03.2025 17:00","1038","0"
"11.03.2025 17:00 - 11.03.2025 17:15","919","0"
"11.03.2025 17:15 - 11.03.2025 17:30","945","0"
"11.03.2025 17:30 - 11.03.2025 17:45","1055","0"
