"Time (CET/CEST)","BZN|NO2 > BZN|NO1 [MW]","BZN|NO1 > BZN|NO2 [MW]"
"05.03.2025 00:00 - 05.03.2025 00:15","0","1312"
"05.03.2025 00:15 - 05.03.2025 00:30","0","1240"
"05.03.2025 00:30 - 05.03.2025 00:45","0","1214"
"05.03.2025 00:45 - 05.03.2025 01:00","0","1262"
"05.03.2025 01:00 - 05.03.2025 01:15","0","1096"
"05.03.2025 01:15 - 05.03.2025 01:30","0","1195"
"05.03.2025 01:30 - 05.03.2025 01:45","0","1286"
"05.03.2025 01:45 - 05.03.2025 02:00","0","1332"
"05.03.2025 02:00 - 05.03.2025 02:15","0","1277"
"05.03.2025 02:15 - 05.03.2025 02:30","0","1246"
"05.03.2025 02:30 - 05.03.2025 02:45","0","1325"
"05.03.2025 02:45 - 05.03.2025 03:00","0","1314"
"05.03.2025 03:00 - 05.03.2025 03:15","0","1333"
"05.03.2025 03:15 - 05.03.2025 03:30","0","1255"
"05.03.2025 03:30 - 05.03.2025 03:45","0","1097"
"05.03.2025 03:45 - 05.03.2025 04:00","0","1149"
"05.03.2025 04:00 - 05.03.2025 04:15","0","1278"
"05.03.2025 04:15 - 05.03.2025 04:30","0","1276"
"05.03.2025 04:30 - 05.03.2025 04:45","0","1371"
"05.03.2025 04:45 - 05.03.2025 05:00","0","1362"
"05.03.2025 05:00 - 05.03.2025 05:15","0","1244"
"05.03.2025 05:15 - 05.03.2025 05:30","0","1154"
"05.03.2025 05:30 - 05.03.2025 05:45","0","1223"
"05.03.2025 05:45 - 05.03.2025 06:00","0","1192"
"05.03.2025 06:00 - 05.03.2025 06:15","0","1117"
"05.03.2025 06:15 - 05.03.2025 06:30","0","1096"
"05.03.2025 06:30 - 05.03.2025 06:45","0","1052"
"05.03.2025 06:45 - 05.03.2025 07:00","0","924"
"05.03.2025 07:00 - 05.03.2025 07:15","0","921"
"05.03.2025 07:15 - 05.03.2025 07:30","0","917"
"05.03.2025 07:30 - 05.03.2025 07:45","0","823"
"05.03.2025 07:45 - 05.03.2025 08:00","0","781"
"05.03.2025 08:00 - 05.03.2025 08:15","0","674"
"05.03.2025 08:15 - 05.03.2025 08:30","0","660"
"05.03.2025 08:30 - 05.03.2025 08:45","0","657"
"05.03.2025 08:45 - 05.03.2025 09:00","0","678"
"05.03.2025 09:00 - 05.03.2025 09:15","0","577"
"05.03.2025 09:15 - 05.03.2025 09:30","0","559"
"05.03.2025 09:30 - 05.03.2025 09:45","0","549"
"05.03.2025 09:45 - 05.03.2025 10:00","0","582"
"05.03.2025 10:00 - 05.03.2025 10:15","0","470"
"05.03.2025 10:15 - 05.03.2025 10:30","0","240"
"05.03.2025 10:30 - 05.03.2025 10:45","0","334"
"05.03.2025 10:45 - 05.03.2025 11:00","0","306"
"05.03.2025 11:00 - 05.03.2025 11:15","140","0"
"05.03.2025 11:15 - 05.03.2025 11:30","105","0"
"05.03.2025 11:30 - 05.03.2025 11:45","116","0"
"05.03.2025 11:45 - 05.03.2025 12:00","195","0"
"05.03.2025 12:00 - 05.03.2025 12:15","447","0"
"05.03.2025 12:15 - 05.03.2025 12:30","446","0"
"05.03.2025 12:30 - 05.03.2025 12:45","489","0"
"05.03.2025 12:45 - 05.03.2025 13:00","444","0"
"05.03.2025 13:00 - 05.03.2025 13:15","83","0"
"05.03.2025 13:15 - 05.03.2025 13:30","0","0"
"05.03.2025 13:30 - 05.03.2025 13:45","0","5"
"05.03.2025 13:45 - 05.03.2025 14:00","0","60"
"05.03.2025 14:00 - 05.03.2025 14:15","0","484"
"05.03.2025 14:15 - 05.03.2025 14:30","0","569"
"05.03.2025 14:30 - 05.03.2025 14:45","0","411"
"05.03.2025 14:45 - 05.03.2025 15:00","0","270"
"05.03.2025 15:00 - 05.03.2025 15:15","0","678"
"05.03.2025 15:15 - 05.03.2025 15:30","0","722"
"05.03.2025 15:30 - 05.03.2025 15:45","0","673"
"05.03.2025 15:45 - 05.03.2025 16:00","0","682"
"05.03.2025 16:00 - 05.03.2025 16:15","0","957"
"05.03.2025 16:15 - 05.03.2025 16:30","0","859"
"05.03.2025 16:30 - 05.03.2025 16:45","0","717"
"05.03.2025 16:45 - 05.03.2025 17:00","0","810"
"05.03.2025 17:00 - 05.03.2025 17:15","0","710"
"05.03.2025 17:15 - 05.03.2025 17:30","0","712"
"05.03.2025 17:30 - 05.03.2025 17:45","0","815"
"05.03.2025 17:45 - 05.03.2025 18:00","0","767"
"05.03.2025 18:00 - 05.03.2025 18:15","0","967"
"05.03.2025 18:15 - 05.03.2025 18:30","0","924"
"05.03.2025 18:30 - 05.03.2025 18:45","0","993"
"05.03.2025 18:45 - 05.03.2025 19:00","0","1046"
"05.03.2025 19:00 - 05.03.2025 19:15","0","1188"
"05.03.2025 19:15 - 05.03.2025 19:30","0","1178"
"05.03.2025 19:30 - 05.03.2025 19:45","0","1204"
"05.03.2025 19:45 - 05.03.2025 20:00","0","1244"
"05.03.2025 20:00 - 05.03.2025 20:15","0","1135"
