"Time (CET/CEST)","BZN|SE3 > BZN|NO1 [MW]","BZN|NO1 > BZN|SE3 [MW]"
"06.03.2025 00:00 - 06.03.2025 01:00","1893","0"
"06.03.2025 01:00 - 06.03.2025 02:00","1954","0"
"06.03.2025 02:00 - 06.03.2025 03:00","1732","0"
"06.03.2025 03:00 - 06.03.2025 04:00","1822","0"
"06.03.2025 04:00 - 06.03.2025 05:00","1762","0"
"06.03.2025 05:00 - 06.03.2025 06:00","1890","0"
"06.03.2025 06:00 - 06.03.2025 07:00","1706","0"
"06.03.2025 07:00 - 06.03.2025 08:00","1128","0"
"06.03.2025 08:00 - 06.03.2025 09:00","1394","0"
"06.03.2025 09:00 - 06.03.2025 10:00","1793","0"
"06.03.2025 10:00 - 06.03.2025 11:00","1744","0"
"06.03.2025 11:00 - 06.03.2025 12:00","1838","0"
"06.03.2025 12:00 - 06.03.2025 13:00","1717","0"
"06.03.2025 13:00 - 06.03.2025 14:00","1729","0"
"06.03.2025 14:00 - 06.03.2025 15:00","1819","0"
"06.03.2025 15:00 - 06.03.2025 16:00","1599","0"
"06.03.2025 16:00 - 06.03.2025 17:00","1236","0"
"06.03.2025 17:00 - 06.03.2025 18:00","698","0"
"06.03.2025 18:00 - 06.03.2025 19:00","731","0"
"06.03.2025 19:00 - 06.03.2025 20:00","640","0"
"06.03.2025 20:00 - 06.03.2025 21:00","793","0"
"06.03.2025 21:00 - 06.03.2025 22:00","954","0"
"06.03.2025 22:00 - 06.03.2025 23:00","1437","0"
"06.03.2025 23:00 - 07.03.2025 00:00","1656","0"
