"Time (CET/CEST)","BZN|NO2 > BZN|NO1 [MW]","BZN|NO1 > BZN|NO2 [MW]"
"15.03.2025 00:00 - 15.03.2025 00:15","318","0"
"15.03.2025 00:15 - 15.03.2025 00:30","211","0"
"15.03.2025 00:30 - 15.03.2025 00:45","277","0"
"15.03.2025 00:45 - 15.03.2025 01:00","264","0"
"15.03.2025 01:00 - 15.03.2025 01:15","16","0"
"15.03.2025 01:15 - 15.03.2025 01:30","42","0"
"15.03.2025 01:30 - 15.03.2025 01:45","86","0"
"15.03.2025 01:45 - 15.03.2025 02:00","57","0"
"15.03.2025 02:00 - 15.03.2025 02:15","0","146"
"15.03.2025 02:15 - 15.03.2025 02:30","0","140"
"15.03.2025 02:30 - 15.03.2025 02:45","0","144"
"15.03.2025 02:45 - 15.03.2025 03:00","0","158"
"15.03.2025 03:00 - 15.03.2025 03:15","0","263"
"15.03.2025 03:15 - 15.03.2025 03:30","0","308"
"15.03.2025 03:30 - 15.03.2025 03:45","0","266"
"15.03.2025 03:45 - 15.03.2025 04:00","0","287"
"15.03.2025 04:00 - 15.03.2025 04:15","0","427"
"15.03.2025 04:15 - 15.03.2025 04:30","0","408"
"15.03.2025 04:30 - 15.03.2025 04:45","0","323"
"15.03.2025 04:45 - 15.03.2025 05:00","0","271"
"15.03.2025 05:00 - 15.03.2025 05:15","0","250"
"15.03.2025 05:15 - 15.03.2025 05:30","0","282"
"15.03.2025 05:30 - 15.03.2025 05:45","0","89"
"15.03.2025 05:45 - 15.03.2025 06:00","0","75"
"15.03.2025 06:00 - 15.03.2025 06:15","0","64"
"15.03.2025 06:15 - 15.03.2025 06:30","0","26"
"15.03.2025 06:30 - 15.03.2025 06:45","0","101"
"15.03.2025 06:45 - 15.03.2025 07:00","0","96"
"15.03.2025 07:00 - 15.03.2025 07:15","0","75"
"15.03.2025 07:15 - 15.03.2025 07:30","0","0"
"15.03.2025 07:30 - 15.03.2025 07:45","0","142"
"15.03.2025 07:45 - 15.03.2025 08:00","0","261"
"15.03.2025 08:00 - 15.03.2025 08:15","0","459"
"15.03.2025 08:15 - 15.03.2025 08:30","0","489"
"15.03.2025 08:30 - 15.03.2025 08:45","0","547"
"15.03.2025 08:45 - 15.03.2025 09:00","0","493"
"15.03.2025 09:00 - 15.03.2025 09:15","0","743"
"15.03.2025 09:15 - 15.03.2025 09:30","0","741"
"15.03.2025 09:30 - 15.03.2025 09:45","0","641"
"15.03.2025 09:45 - 15.03.2025 10:00","0","724"
"15.03.2025 10:00 - 15.03.2025 10:15","0","904"
"15.03.2025 10:15 - 15.03.2025 10:30","0","957"
"15.03.2025 10:30 - 15.03.2025 10:45","0","974"
"15.03.2025 10:45 - 15.03.2025 11:00","0","926"
"15.03.2025 11:00 - 15.03.2025 11:15","0","1112"
"15.03.2025 11:15 - 15.03.2025 11:30","0","1137"
"15.03.2025 11:30 - 15.03.2025 11:45","0","1095"
"15.03.2025 11:45 - 15.03.2025 12:00","0","1128"
"15.03.2025 12:00 - 15.03.2025 12:15","0","1288"
"15.03.2025 12:15 - 15.03.2025 12:30","0","1391"
"15.03.2025 12:30 - 15.03.2025 12:45","0","1455"
"15.03.2025 12:45 - 15.03.2025 13:00","0","1453"
"15.03.2025 13:00 - 15.03.2025 13:15","0","1404"
"15.03.2025 13:15 - 15.03.2025 13:30","0","1450"
"15.03.2025 13:30 - 15.03.2025 13:45","0","1438"
"15.03.2025 13:45 - 15.03.2025 14:00","0","1256"
"15.03.2025 14:00 - 15.03.2025 14:15","0","1245"
"15.03.2025 14:15 - 15.03.2025 14:30","0","1281"
"15.03.2025 14:30 - 15.03.2025 14:45","0","1317"
"15.03.2025 14:45 - 15.03.2025 15:00","0","1337"
"15.03.2025 15:00 - 15.03.2025 15:15","0","1275"
"15.03.2025 15:15 - 15.03.2025 15:30","0","1114"
"15.03.2025 15:30 - 15.03.2025 15:45","0","1076"
"15.03.2025 15:45 - 15.03.2025 16:00","0","1069"
"15.03.2025 16:00 - 15.03.2025 16:15","0","924"
