"Time (CET/CEST)","BZN|SE3 > BZN|NO1 [MW]","BZN|NO1 > BZN|SE3 [MW]"
"25.03.2025 00:00 - 25.03.2025 01:00","1071","0"
"25.03.2025 01:00 - 25.03.2025 02:00","1222","0"
"25.03.2025 02:00 - 25.03.2025 03:00","1090","0"
"25.03.2025 03:00 - 25.03.2025 04:00","1112","0"
"25.03.2025 04:00 - 25.03.2025 05:00","864","0"
"25.03.2025 05:00 - 25.03.2025 06:00","681","0"
"25.03.2025 06:00 - 25.03.2025 07:00","61","0"
"25.03.2025 07:00 - 25.03.2025 08:00","0","502"
"25.03.2025 08:00 - 25.03.2025 09:00","0","415"
"25.03.2025 09:00 - 25.03.2025 10:00","0","367"
"25.03.2025 10:00 - 25.03.2025 11:00","0","246"
"25.03.2025 11:00 - 25.03.2025 12:00","0","183"
"25.03.2025 12:00 - 25.03.2025 13:00","0","222"
"25.03.2025 13:00 - 25.03.2025 14:00","0","208"
"25.03.2025 14:00 - 25.03.2025 15:00","0","255"
"25.03.2025 15:00 - 25.03.2025 16:00","0","378"
"25.03.2025 16:00 - 25.03.2025 17:00","0","81"
"25.03.2025 17:00 - 25.03.2025 18:00","0","486"
"25.03.2025 18:00 - 25.03.2025 19:00","0","980"
"25.03.2025 19:00 - 25.03.2025 20:00","0","156"
"25.03.2025 20:00 - 25.03.2025 21:00","223","0"
"25.03.2025 21:00 - 25.03.2025 22:00","51","0"
"25.03.2025 22:00 - 25.03.2025 23:00","64","0"
"25.03.2025 23:00 - 26.03.2025 00:00","45","0"
