"Time (CET/CEST)","BZN|SE3 > BZN|NO1 [MW]","BZN|NO1 > BZN|SE3 [MW]"
"28.03.2025 00:00 - 28.03.2025 01:00","1269","0"
"28.03.2025 01:00 - 28.03.2025 02:00","1525","0"
"28.03.2025 02:00 - 28.03.2025 03:00","1460","0"
"28.03.2025 03:00 - 28.03.2025 04:00","1475","0"
"28.03.2025 04:00 - 28.03.2025 05:00","1540","0"
"28.03.2025 05:00 - 28.03.2025 06:00","1243","0"
"28.03.2025 06:00 - 28.03.2025 07:00","1059","0"
"28.03.2025 07:00 - 28.03.2025 08:00","792","0"
"28.03.2025 08:00 - 28.03.2025 09:00","695","0"
"28.03.2025 09:00 - 28.03.2025 10:00","1352","0"
"28.03.2025 10:00 - 28.03.2025 11:00","1983","0"
"28.03.2025 11:00 - 28.03.2025 12:00","1983","0"
"28.03.2025 12:00 - 28.03.2025 13:00","1775","0"
"28.03.2025 13:00 - 28.03.2025 14:00","1980","0"
"28.03.2025 14:00 - 28.03.2025 15:00","1807","0"
"28.03.2025 15:00 - 28.03.2025 16:00","1774","0"
"28.03.2025 16:00 - 28.03.2025 17:00","1258","0"
"28.03.2025 17:00 - 28.03.2025 18:00","1404","0"
"28.03.2025 18:00 - 28.03.2025 19:00","997","0"
"28.03.2025 19:00 - 28.03.2025 20:00","1220","0"
"28.03.2025 20:00 - 28.03.2025 21:00","1489","0"
"28.03.2025 21:00 - 28.03.2025 22:00","1687","0"
"28.03.2025 22:00 - 28.03.2025 23:00","1742","0"
"28.03.2025 23:00 - 29.03.2025 00:00","1844","0"
