"Time (CET/CEST)","BZN|NO2 > BZN|NO1 [MW]","BZN|NO1 > BZN|NO2 [MW]"
"09.03.2025 00:00 - 09.03.2025 00:15","0","531"
"09.03.2025 00:15 - 09.03.2025 00:30","0","467"
"09.03.2025 00:30 - 09.03.2025 00:45","0","534"
"09.03.2025 00:45 - 09.03.2025 01:00","0","605"
"09.03.2025 01:00 - 09.03.2025 01:15","0","654"
"09.03.2025 01:15 - 09.03.2025 01:30","0","661"
"09.03.2025 01:30 - 09.03.2025 01:45","0","702"
"09.03.2025 01:45 - 09.03.2025 02:00","0","746"
"09.03.2025 02:00 - 09.03.2025 02:15","0","707"
"09.03.2025 02:15 - 09.03.2025 02:30","0","710"
"09.03.2025 02:30 - 09.03.2025 02:45","0","707"
"09.03.2025 02:45 - 09.03.2025 03:00","0","756"
"09.03.2025 03:00 - 09.03.2025 03:15","0","878"
"09.03.2025 03:15 - 09.03.2025 03:30","0","850"
"09.03.2025 03:30 - 09.03.2025 03:45","0","856"
"09.03.2025 03:45 - 09.03.2025 04:00","0","914"
"09.03.2025 04:00 - 09.03.2025 04:15","0","969"
"09.03.2025 04:15 - 09.03.2025 04:30","0","968"
"09.03.2025 04:30 - 09.03.2025 04:45","0","934"
"09.03.2025 04:45 - 09.03.2025 05:00","0","966"
"09.03.2025 05:00 - 09.03.2025 05:15","0","967"
"09.03.2025 05:15 - 09.03.2025 05:30","0","911"
"09.03.2025 05:30 - 09.03.2025 05:45","0","967"
"09.03.2025 05:45 - 09.03.2025 06:00","0","942"
"09.03.2025 06:00 - 09.03.2025 06:15","0","948"
"09.03.2025 06:15 - 09.03.2025 06:30","0","953"
"09.03.2025 06:30 - 09.03.2025 06:45","0","931"
"09.03.2025 06:45 - 09.03.2025 07:00","0","932"
"09.03.2025 07:00 - 09.03.2025 07:15","0","790"
"09.03.2025 07:15 - 09.03.2025 07:30","0","750"
"09.03.2025 07:30 - 09.03.2025 07:45","0","728"
"09.03.2025 07:45 - 09.03.2025 08:00","0","782"
"09.03.2025 08:00 - 09.03.2025 08:15","0","604"
"09.03.2025 08:15 - 09.03.2025 08:30","0","521"
"09.03.2025 08:30 - 09.03.2025 08:45","0","541"
"09.03.2025 08:45 - 09.03.2025 09:00","0","539"
"09.03.2025 09:00 - 09.03.2025 09:15","0","500"
"09.03.2025 09:15 - 09.03.2025 09:30","0","538"
"09.03.2025 09:30 - 09.03.2025 09:45","0","567"
"09.03.2025 09:45 - 09.03.2025 10:00","0","489"
"09.03.2025 10:00 - 09.03.2025 10:15","0","879"
"09.03.2025 10:15 - 09.03.2025 10:30","0","938"
"09.03.2025 10:30 - 09.03.2025 10:45","0","895"
"09.03.2025 10:45 - 09.03.2025 11:00","0","695"
"09.03.2025 11:00 - 09.03.2025 11:15","0","484"
"09.03.2025 11:15 - 09.03.2025 11:30","0","457"
"09.03.2025 11:30 - 09.03.2025 11:45","0","425"
"09.03.2025 11:45 - 09.03.2025 12:00","0","310"
"09.03.2025 12:00 - 09.03.2025 12:15","0","319"
"09.03.2025 12:15 - 09.03.2025 12:30","0","334"
"09.03.2025 12:30 - 09.03.2025 12:45","0","310"
"09.03.2025 12:45 - 09.03.2025 13:00","0","472"
"09.03.2025 13:00 - 09.03.2025 13:15","0","705"
"09.03.2025 13:15 - 09.03.2025 13:30","0","739"
"09.03.2025 13:30 - 09.03.2025 13:45","0","839"
"09.03.2025 13:45 - 09.03.2025 14:00","0","978"
"09.03.2025 14:00 - 09.03.2025 14:15","0","985"
"09.03.2025 14:15 - 09.03.2025 14:30","0","1140"
"09.03.2025 14:30 - 09.03.2025 14:45","0","1090"
"09.03.2025 14:45 - 09.03.2025 15:00","0","1146"
"09.03.2025 15:00 - 09.03.2025 15:15","0","857"
"09.03.2025 15:15 - 09.03.2025 15:30","0","692"
"09.03.2025 15:30 - 09.03.2025 15:45","0","863"
"09.03.2025 15:45 - 09.03.2025 16:00","0","490"
"09.03.2025 16:00 - 09.03.2025 16:15","0","9"
"09.03.2025 16:15 - 09.03.2025 16:30","170","0"
"09.03.2025 16:30 - 09.03.2025 16:45","232","0"
"09.03.2025 16:45 - 09.03.2025 17:00","490","0"
"09.03.2025 17:00 - 09.03.2025 17:15","881","0"
"09.03.2025 17:15 - 09.03.2025 17:30","890","0"
"09.03.2025 17:30 - 09.03.2025 17:45","855","0"
"09.03.2025 17:45 - 09.03.2025 18:00","890","0"
"09.03.2025 18:00 - 09.03.2025 18:15","1042","0"
"09.03.2025 18:15 - 09.03.2025 18:30","1094","0"
"09.03.2025 18:30 - 09.03.2025 18:45","1079","0"
"09.03.2025 18:45 - 09.03.2025 19:00","1018","0"
"09.03.2025 19:00 - 09.03.2025 19:15","1033","0"
"09.03.2025 19:15 - 09.03.2025 19:30","1029","0"
"09.03.2025 19:30 - 09.03.2025 19:45","1011","0"
"09.03.2025 19:45 - 09.03.2025 20:00","1006","0"
"09.03.2025 20:00 - 09.03.2025 20:15","614","0"
"09.03.2025 20:15 - 09.03.2025 20:30","547","0"
"09.03.2025 20:30 - 09.03.2025 20:45","569","0"
"09.03.2025 20:45 - 09.03.2025 21:00","584","0"
"09.03.2025 21:00 - 09.03.2025 21:15","385","0"
"09.03.2025 21:15 - 09.03.2025 21:30","369","0"
"09.03.2025 21:30 - 09.03.2025 21:45","297","0"
"09.03.2025 21:45 - 09.03.2025 22:00","320","0"
"09.03.2025 22:00 - 09.03.2025 22:15","119","0"
"09.03.2025 22:15 - 09.03.2025 22:30","127","0"
