"Time (CET/CEST)","BZN|NO2 > BZN|NO1 [MW]","BZN|NO1 > BZN|NO2 [MW]"
"16.03.2025 00:00 - 16.03.2025 00:15","0","1399"
"16.03.2025 00:15 - 16.03.2025 00:30","0","1461"
"16.03.2025 00:30 - 16.03.2025 00:45","0","1456"
"16.03.2025 00:45 - 16.03.2025 01:00","0","1439"
"16.03.2025 01:00 - 16.03.2025 01:15","0","1541"
"16.03.2025 01:15 - 16.03.2025 01:30","0","1518"
"16.03.2025 01:30 - 16.03.2025 01:45","0","1535"
"16.03.2025 01:45 - 16.03.2025 02:00","0","1518"
"16.03.2025 02:00 - 16.03.2025 02:15","0","1587"
"16.03.2025 02:15 - 16.03.2025 02:30","0","1572"
"16.03.2025 02:30 - 16.03.2025 02:45","0","1525"
"16.03.2025 02:45 - 16.03.2025 03:00","0","1531"
"16.03.2025 03:00 - 16.03.2025 03:15","0","1600"
"16.03.2025 03:15 - 16.03.2025 03:30","0","1629"
"16.03.2025 03:30 - 16.03.2025 03:45","0","1609"
"16.03.2025 03:45 - 16.03.2025 04:00","0","1552"
"16.03.2025 04:00 - 16.03.2025 04:15","0","1575"
"16.03.2025 04:15 - 16.03.2025 04:30","0","1602"
"16.03.2025 04:30 - 16.03.2025 04:45","0","1574"
"16.03.2025 04:45 - 16.03.2025 05:00","0","1525"
"16.03.2025 05:00 - 16.03.2025 05:15","0","1295"
"16.03.2025 05:15 - 16.03.2025 05:30","0","1285"
"16.03.2025 05:30 - 16.03.2025 05:45","0","1275"
"16.03.2025 05:45 - 16.03.2025 06:00","0","1292"
"16.03.2025 06:00 - 16.03.2025 06:15","0","1194"
"16.03.2025 06:15 - 16.03.2025 06:30","0","1096"
"16.03.2025 06:30 - 16.03.2025 06:45","0","1007"
"16.03.2025 06:45 - 16.03.2025 07:00","0","994"
"16.03.2025 07:00 - 16.03.2025 07:15","0","1142"
"16.03.2025 07:15 - 16.03.2025 07:30","0","1148"
"16.03.2025 07:30 - 16.03.2025 07:45","0","1175"
"16.03.2025 07:45 - 16.03.2025 08:00","0","1224"
"16.03.2025 08:00 - 16.03.2025 08:15","0","1032"
"16.03.2025 08:15 - 16.03.2025 08:30","0","979"
"16.03.2025 08:30 - 16.03.2025 08:45","0","891"
"16.03.2025 08:45 - 16.03.2025 09:00","0","789"
"16.03.2025 09:00 - 16.03.2025 09:15","0","774"
"16.03.2025 09:15 - 16.03.2025 09:30","0","821"
"16.03.2025 09:30 - 16.03.2025 09:45","0","741"
"16.03.2025 09:45 - 16.03.2025 10:00","0","734"
"16.03.2025 10:00 - 16.03.2025 10:15","0","922"
"16.03.2025 10:15 - 16.03.2025 10:30","0","998"
"16.03.2025 10:30 - 16.03.2025 10:45","0","889"
"16.03.2025 10:45 - 16.03.2025 11:00","0","746"
"16.03.2025 11:00 - 16.03.2025 11:15","0","490"
"16.03.2025 11:15 - 16.03.2025 11:30","0","501"
"16.03.2025 11:30 - 16.03.2025 11:45","0","577"
"16.03.2025 11:45 - 16.03.2025 12:00","0","562"
"16.03.2025 12:00 - 16.03.2025 12:15","0","404"
"16.03.2025 12:15 - 16.03.2025 12:30","0","372"
"16.03.2025 12:30 - 16.03.2025 12:45","0","514"
"16.03.2025 12:45 - 16.03.2025 13:00","0","626"
"16.03.2025 13:00 - 16.03.2025 13:15","0","471"
"16.03.2025 13:15 - 16.03.2025 13:30","0","474"
"16.03.2025 13:30 - 16.03.2025 13:45","0","541"
"16.03.2025 13:45 - 16.03.2025 14:00","0","798"
"16.03.2025 14:00 - 16.03.2025 14:15","0","910"
"16.03.2025 14:15 - 16.03.2025 14:30","0","969"
"16.03.2025 14:30 - 16.03.2025 14:45","0","994"
"16.03.2025 14:45 - 16.03.2025 15:00","0","1032"
"16.03.2025 15:00 - 16.03.2025 15:15","0","788"
"16.03.2025 15:15 - 16.03.2025 15:30","0","784"
"16.03.2025 15:30 - 16.03.2025 15:45","0","787"
"16.03.2025 15:45 - 16.03.2025 16:00","0","640"
"16.03.2025 16:00 - 16.03.2025 16:15","0","436"
"16.03.2025 16:15 - 16.03.2025 16:30","0","353"
"16.03.2025 16:30 - 16.03.2025 16:45","0","309"
"16.03.2025 16:45 - 16.03.2025 17:00","0","408"
"16.03.2025 17:00 - 16.03.2025 17:15","0","215"
"16.03.2025 17:15 - 16.03.2025 17:30","0","296"
"16.03.2025 17:30 - 16.03.2025 17:45","0","353"
"16.03.2025 17:45 - 16.03.2025 18:00","0","381"
"16.03.2025 18:00 - 16.03.2025 18:15","0","155"
"16.03.2025 18:15 - 16.03.2025 18:30","0","121"
"16.03.2025 18:30 - 16.03.2025 18:45","0","130"
"16.03.2025 18:45 - 16.03.2025 19:00","0","134"
"16.03.2025 19:00 - 16.03.2025 19:15","0","290"
"16.03.2025 19:15 - 16.03.2025 19:30","0","350"
"16.03.2025 19:30 - 16.03.2025 19:45","0","356"
"16.03.2025 19:45 - 16.03.2025 20:00","0","358"
"16.03.2025 20:00 - 16.03.2025 20:15","0","219"
"16.03.2025 20:15 - 16.03.2025 20:30","0","205"
"16.03.2025 20:30 - 16.03.2025 20:45","0","212"
"16.03.2025 20:45 - 16.03.2025 21:00","0","246"
"16.03.2025 21:00 - 16.03.2025 21:15","0","556"
"16.03.2025 21:15 - 16.03.2025 21:30","0","556"
"16.03.2025 21:30 - 16.03.2025 21:45","0","428"
"16.03.2025 21:45 - 16.03.2025 22:00","0","394"
"16.03.2025 22:00 - 16.03.2025 22:15","0","414"
"16.03.2025 22:15 - 16.03.2025 22:30","0","479"
"16.03.2025 22:30 - 16.03.2025 22:45","0","558"
"16.03.2025 22:45 - 16.03.2025 23:00","0","623"
"16.03.2025 23:00 - 16.03.2025 23:15","0","702"
"16.03.2025 23:15 - 16.03.2025 23:30","0","736"
"16.03.2025 23:30 - 16.03.2025 23:45","0","717"
"16.03.2025 23:45 - 17.03.2025 00:00","0","654"
