"Time (CET/CEST)","BZN|SE3 > BZN|NO1 [MW]","BZN|NO1 > BZN|SE3 [MW]"
"22.03.2025 00:00 - 22.03.2025 01:00","1703","0"
"22.03.2025 01:00 - 22.03.2025 02:00","1654","0"
"22.03.2025 02:00 - 22.03.2025 03:00","1508","0"
"22.03.2025 03:00 - 22.03.2025 04:00","1559","0"
"22.03.2025 04:00 - 22.03.2025 05:00","1403","0"
"22.03.2025 05:00 - 22.03.2025 06:00","994","0"
"22.03.2025 06:00 - 22.03.2025 07:00","1050","0"
"22.03.2025 07:00 - 22.03.2025 08:00","845","0"
"22.03.2025 08:00 - 22.03.2025 09:00","1277","0"
"22.03.2025 09:00 - 22.03.2025 10:00","1498","0"
"22.03.2025 10:00 - 22.03.2025 11:00","1409","0"
"22.03.2025 11:00 - 22.03.2025 12:00","1527","0"
"22.03.2025 12:00 - 22.03.2025 13:00","1656","0"
"22.03.2025 13:00 - 22.03.2025 14:00","1635","0"
"22.03.2025 14:00 - 22.03.2025 15:00","1687","0"
"22.03.2025 15:00 - 22.03.2025 16:00","1646","0"
"22.03.2025 16:00 - 22.03.2025 17:00","1591","0"
"22.03.2025 17:00 - 22.03.2025 18:00","1013","0"
"22.03.2025 18:00 - 22.03.2025 19:00","1204","0"
"22.03.2025 19:00 - 22.03.2025 20:00","1357","0"
"22.03.2025 20:00 - 22.03.2025 21:00","1639","0"
"22.03.2025 21:00 - 22.03.2025 22:00","1839","0"
"22.03.2025 22:00 - 22.03.2025 23:00","1800","0"
"22.03.2025 23:00 - 23.03.2025 00:00","1952","0"
