"Time (CET/CEST)","BZN|NO2 > BZN|NO1 [MW]","BZN|NO1 > BZN|NO2 [MW]"
"28.03.2025 00:00 - 28.03.2025 00:15","0","1489"
"28.03.2025 00:15 - 28.03.2025 00:30","0","1547"
"28.03.2025 00:30 - 28.03.2025 00:45","0","1624"
"28.03.2025 00:45 - 28.03.2025 01:00","0","1676"
"28.03.2025 01:00 - 28.03.2025 01:15","0","1615"
"28.03.2025 01:15 - 28.03.2025 01:30","0","1499"
"28.03.2025 01:30 - 28.03.2025 01:45","0","1520"
"28.03.2025 01:45 - 28.03.2025 02:00","0","1528"
"28.03.2025 02:00 - 28.03.2025 02:15","0","1473"
"28.03.2025 02:15 - 28.03.2025 02:30","0","1439"
"28.03.2025 02:30 - 28.03.2025 02:45","0","1451"
"28.03.2025 02:45 - 28.03.2025 03:00","0","1515"
"28.03.2025 03:00 - 28.03.2025 03:15","0","1466"
"28.03.2025 03:15 - 28.03.2025 03:30","0","1475"
"28.03.2025 03:30 - 28.03.2025 03:45","0","1574"
"28.03.2025 03:45 - 28.03.2025 04:00","0","1578"
"28.03.2025 04:00 - 28.03.2025 04:15","0","1821"
"28.03.2025 04:15 - 28.03.2025 04:30","0","1952"
"28.03.2025 04:30 - 28.03.2025 04:45","0","1921"
"28.03.2025 04:45 - 28.03.2025 05:00","0","1819"
"28.03.2025 05:00 - 28.03.2025 05:15","0","1674"
"28.03.2025 05:15 - 28.03.2025 05:30","0","1620"
"28.03.2025 05:30 - 28.03.2025 05:45","0","1635"
"28.03.2025 05:45 - 28.03.2025 06:00","0","1679"
"28.03.2025 06:00 - 28.03.2025 06:15","0","1528"
"28.03.2025 06:15 - 28.03.2025 06:30","0","1472"
"28.03.2025 06:30 - 28.03.2025 06:45","0","1480"
"28.03.2025 06:45 - 28.03.2025 07:00","0","1417"
"28.03.2025 07:00 - 28.03.2025 07:15","0","971"
"28.03.2025 07:15 - 28.03.2025 07:30","0","774"
"28.03.2025 07:30 - 28.03.2025 07:45","0","648"
"28.03.2025 07:45 - 28.03.2025 08:00","0","585"
"28.03.2025 08:00 - 28.03.2025 08:15","0","518"
"28.03.2025 08:15 - 28.03.2025 08:30","0","464"
"28.03.2025 08:30 - 28.03.2025 08:45","0","383"
"28.03.2025 08:45 - 28.03.2025 09:00","0","307"
"28.03.2025 09:00 - 28.03.2025 09:15","0","805"
"28.03.2025 09:15 - 28.03.2025 09:30","0","891"
"28.03.2025 09:30 - 28.03.2025 09:45","0","894"
"28.03.2025 09:45 - 28.03.2025 10:00","0","760"
"28.03.2025 10:00 - 28.03.2025 10:15","0","1120"
"28.03.2025 10:15 - 28.03.2025 10:30","0","1094"
"28.03.2025 10:30 - 28.03.2025 10:45","0","991"
"28.03.2025 10:45 - 28.03.2025 11:00","0","1090"
"28.03.2025 11:00 - 28.03.2025 11:15","0","748"
"28.03.2025 11:15 - 28.03.2025 11:30","0","473"
"28.03.2025 11:30 - 28.03.2025 11:45","0","385"
"28.03.2025 11:45 - 28.03.2025 12:00","0","507"
"28.03.2025 12:00 - 28.03.2025 12:15","0","344"
"28.03.2025 12:15 - 28.03.2025 12:30","0","60"
"28.03.2025 12:30 - 28.03.2025 12:45","0","182"
"28.03.2025 12:45 - 28.03.2025 13:00","0","232"
"28.03.2025 13:00 - 28.03.2025 13:15","0","226"
"28.03.2025 13:15 - 28.03.2025 13:30","0","349"
"28.03.2025 13:30 - 28.03.2025 13:45","0","513"
