"Time (CET/CEST)","BZN|SE3 > BZN|NO1 [MW]","BZN|NO1 > BZN|SE3 [MW]"
"31.03.2025 00:00 - 31.03.2025 01:00","189","0"
"31.03.2025 01:00 - 31.03.2025 02:00","400","0"
"31.03.2025 02:00 - 31.03.2025 03:00","624","0"
"31.03.2025 03:00 - 31.03.2025 04:00","1047","0"
"31.03.2025 04:00 - 31.03.2025 05:00","987","0"
"31.03.2025 05:00 - 31.03.2025 06:00","548","0"
"31.03.2025 06:00 - 31.03.2025 07:00","772","0"
"31.03.2025 07:00 - 31.03.2025 08:00","593","0"
"31.03.2025 08:00 - 31.03.2025 09:00","374","0"
"31.03.2025 09:00 - 31.03.2025 10:00","520","0"
"31.03.2025 10:00 - 31.03.2025 11:00","679","0"
"31.03.2025 11:00 - 31.03.2025 12:00","526","0"
"31.03.2025 12:00 - 31.03.2025 13:00","524","0"
"31.03.2025 13:00 - 31.03.2025 14:00","272","0"
"31.03.2025 14:00 - 31.03.2025 15:00","370","0"
"31.03.2025 15:00 - 31.03.2025 16:00","241","0"
"31.03.2025 16:00 - 31.03.2025 17:00","317","0"
"31.03.2025 17:00 - 31.03.2025 18:00","401","0"
"31.03.2025 18:00 - 31.03.2025 19:00","84","0"
"31.03.2025 19:00 - 31.03.2025 20:00","0","44"
"31.03.2025 20:00 - 31.03.2025 21:00","0","60"
"31.03.2025 21:00 - 31.03.2025 22:00","139","0"
"31.03.2025 22:00 - 31.03.2025 23:00","595","0"
"31.03.2025 23:00 - 01.04.2025 00:00","747","0"
