"Time (CET/CEST)","BZN|NO3 > BZN|NO1 [MW]","BZN|NO1 > BZN|NO3 [MW]"
"14.03.2025 00:00 - 14.03.2025 00:15","176","0"
"14.03.2025 00:15 - 14.03.2025 00:30","186","0"
"14.03.2025 00:30 - 14.03.2025 00:45","162","0"
"14.03.2025 00:45 - 14.03.2025 01:00","142","0"
"14.03.2025 01:00 - 14.03.2025 01:15","167","0"
"14.03.2025 01:15 - 14.03.2025 01:30","165","0"
"14.03.2025 01:30 - 14.03.2025 01:45","163","0"
"14.03.2025 01:45 - 14.03.2025 02:00","158","0"
"14.03.2025 02:00 - 14.03.2025 02:15","160","0"
"14.03.2025 02:15 - 14.03.2025 02:30","171","0"
"14.03.2025 02:30 - 14.03.2025 02:45","193","0"
"14.03.2025 02:45 - 14.03.2025 03:00","140","0"
"14.03.2025 03:00 - 14.03.2025 03:15","120","0"
"14.03.2025 03:15 - 14.03.2025 03:30","131","0"
"14.03.2025 03:30 - 14.03.2025 03:45","164","0"
"14.03.2025 03:45 - 14.03.2025 04:00","194","0"
"14.03.2025 04:00 - 14.03.2025 04:15","222","0"
"14.03.2025 04:15 - 14.03.2025 04:30","220","0"
"14.03.2025 04:30 - 14.03.2025 04:45","221","0"
"14.03.2025 04:45 - 14.03.2025 05:00","202","0"
"14.03.2025 05:00 - 14.03.2025 05:15","141","0"
"14.03.2025 05:15 - 14.03.2025 05:30","121","0"
"14.03.2025 05:30 - 14.03.2025 05:45","167","0"
"14.03.2025 05:45 - 14.03.2025 06:00","176","0"
"14.03.2025 06:00 - 14.03.2025 06:15","159","0"
"14.03.2025 06:15 - 14.03.2025 06:30","134","0"
"14.03.2025 06:30 - 14.03.2025 06:45","151","0"
"14.03.2025 06:45 - 14.03.2025 07:00","177","0"
"14.03.2025 07:00 - 14.03.2025 07:15","226","0"
"14.03.2025 07:15 - 14.03.2025 07:30","239","0"
"14.03.2025 07:30 - 14.03.2025 07:45","240","0"
"14.03.2025 07:45 - 14.03.2025 08:00","205","0"
"14.03.2025 08:00 - 14.03.2025 08:15","206","0"
"14.03.2025 08:15 - 14.03.2025 08:30","209","0"
"14.03.2025 08:30 - 14.03.2025 08:45","181","0"
"14.03.2025 08:45 - 14.03.2025 09:00","179","0"
"14.03.2025 09:00 - 14.03.2025 09:15","194","0"
"14.03.2025 09:15 - 14.03.2025 09:30","206","0"
"14.03.2025 09:30 - 14.03.2025 09:45","210","0"
"14.03.2025 09:45 - 14.03.2025 10:00","194","0"
"14.03.2025 10:00 - 14.03.2025 10:15","184","0"
"14.03.2025 10:15 - 14.03.2025 10:30","221","0"
"14.03.2025 10:30 - 14.03.2025 10:45","259","0"
"14.03.2025 10:45 - 14.03.2025 11:00","252","0"
"14.03.2025 11:00 - 14.03.2025 11:15","236","0"
"14.03.2025 11:15 - 14.03.2025 11:30","214","0"
"14.03.2025 11:30 - 14.03.2025 11:45","236","0"
"14.03.2025 11:45 - 14.03.2025 12:00","250","0"
"14.03.2025 12:00 - 14.03.2025 12:15","247","0"
"14.03.2025 12:15 - 14.03.2025 12:30","200","0"
"14.03.2025 12:30 - 14.03.2025 12:45","200","0"
"14.03.2025 12:45 - 14.03.2025 13:00","250","0"
"14.03.2025 13:00 - 14.03.2025 13:15","285","0"
"14.03.2025 13:15 - 14.03.2025 13:30","264","0"
"14.03.2025 13:30 - 14.03.2025 13:45","256","0"
"14.03.2025 13:45 - 14.03.2025 14:00","223","0"
"14.03.2025 14:00 - 14.03.2025 14:15","204","0"
"14.03.2025 14:15 - 14.03.2025 14:30","199","0"
"14.03.2025 14:30 - 14.03.2025 14:45","205","0"
"14.03.2025 14:45 - 14.03.2025 15:00","200","0"
"14.03.2025 15:00 - 14.03.2025 15:15","210","0"
"14.03.2025 15:15 - 14.03.2025 15:30","237","0"
"14.03.2025 15:30 - 14.03.2025 15:45","232","0"
"14.03.2025 15:45 - 14.03.2025 16:00","214","0"
"14.03.2025 16:00 - 14.03.2025 16:15","176","0"
"14.03.2025 16:15 - 14.03.2025 16:30","183","0"
"14.03.2025 16:30 - 14.03.2025 16:45","183","0"
"14.03.2025 16:45 - 14.03.2025 17:00","182","0"
"14.03.2025 17:00 - 14.03.2025 17:15","131","0"
"14.03.2025 17:15 - 14.03.2025 17:30","145","0"
"14.03.2025 17:30 - 14.03.2025 17:45","146","0"
"14.03.2025 17:45 - 14.03.2025 18:00","144","0"
"14.03.2025 18:00 - 14.03.2025 18:15","112","0"
"14.03.2025 18:15 - 14.03.2025 18:30","123","0"
"14.03.2025 18:30 - 14.03.2025 18:45","138","0"
"14.03.2025 18:45 - 14.03.2025 19:00","146","0"
"14.03.2025 19:00 - 14.03.2025 19:15","164","0"
"14.03.2025 19:15 - 14.03.2025 19:30","160","0"
